Revenue Item Sales Report
"Dec 09, 2019 12:00 am - Dec 09, 2019 11:59 pm"
"Requested on: Apr 16, 2020 4:40 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$3,138.10"
Net Sales,"$3,019.47"
COGS,$26.85
Gross Profit,$565.12
Gross Profit Margin,18.72%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
Item 1,1,0,"$1,886.00",$0.00,-$0.00,"$1,886.00",62.46%,"$1,886.00",$0.00,$0.00
Item 1,1,0,$435.00,$0.00,-$0.00,$435.00,14.41%,$435.00,$0.00,$0.00
Combination de Tres,7,0,$87.65,$0.00,-$0.00,$87.65,2.90%,$12.52,$0.00,$87.65
MONDAY Margarita,17,0,$119.00,-$68.00,-$0.00,$51.00,1.69%,$3.00,$0.00,$51.00
Combination de Dos,5,0,$49.75,$0.00,-$0.00,$49.75,1.65%,$9.95,$0.00,$49.75
Molcajete Mar Y Terra,1,0,$44.95,$0.00,-$0.00,$44.95,1.49%,$44.95,$0.00,$44.95
Parrilla Para Dos,1,0,$39.95,$0.00,-$0.00,$39.95,1.32%,$39.95,$0.00,$39.95
Menudo Soup,3,0,$35.85,$0.00,-$0.00,$35.85,1.19%,$11.95,$0.00,$35.85
Don Julio,2,0,$28.00,$0.00,-$0.00,$28.00,0.93%,$14.00,$0.00,$0.00
Soft Drink,8,0,$26.00,$0.00,-$0.00,$26.00,0.86%,$3.25,$0.00,$26.00
Tostada De Ceviche,4,0,$47.80,-$23.90,-$0.00,$23.90,0.79%,$5.98,$0.00,$23.90
Taco A La Carte,8,0,$23.50,$0.00,-$0.00,$23.50,0.78%,$2.94,$0.00,$0.00
Guacamole Full Size,3,0,$22.90,$0.00,-$0.00,$22.90,0.76%,$7.63,$26.85,-$3.95
"Flauta Appetizer ",2,0,$18.90,$0.00,-$0.00,$18.90,0.63%,$9.45,$0.00,$18.90
Carne Asada Plate,1,0,$17.95,$0.00,-$0.00,$17.95,0.59%,$17.95,$0.00,$17.95
White Russian,2,0,$16.00,$0.00,-$0.00,$16.00,0.53%,$8.00,$0.00,$0.00
Shrimp a la cart Costa Azul (1),6,0,$15.00,$0.00,-$0.00,$15.00,0.50%,$2.50,$0.00,$15.00
Carne Asada Burrito,1,0,$14.95,$0.00,-$0.00,$14.95,0.50%,$14.95,$0.00,$14.95
Shrimp Enchilada Plate,1,0,$14.95,$0.00,-$0.00,$14.95,0.50%,$14.95,$0.00,$14.95
Horchata,3,0,$13.50,$0.00,-$0.00,$13.50,0.45%,$4.50,$0.00,$13.50
Champagne,4,0,$12.00,$0.00,-$0.00,$12.00,0.40%,$3.00,$0.00,$12.00
Nachos Vaqueros,1,0,$11.95,$0.00,-$0.00,$11.95,0.40%,$11.95,$0.00,$11.95
HH Flauta Appetizer,2,0,$15.90,-$4.78,-$0.00,$11.12,0.37%,$5.56,$0.00,$11.12
Pacifico,2,0,$13.00,-$2.00,-$0.00,$11.00,0.36%,$5.50,$0.00,$0.00
Patron,1,0,$10.00,$0.00,-$0.00,$10.00,0.33%,$10.00,$0.00,$10.00
Queso Fundido,1,0,$9.95,$0.00,-$0.00,$9.95,0.33%,$9.95,$0.00,$9.95
large salsa,1,0,$9.00,$0.00,-$0.00,$9.00,0.30%,$9.00,$0.00,$0.00
Double Dare Tacos,1,0,$8.95,$0.00,-$0.00,$8.95,0.30%,$8.95,$0.00,$8.95
KIDS Cheeseburger,1,0,$8.95,$0.00,-$0.00,$8.95,0.30%,$8.95,$0.00,$8.95
KIDS Chicken Strips,1,0,$8.95,$0.00,-$0.00,$8.95,0.30%,$8.95,$0.00,$8.95
The Classic Enchiladas,1,0,$8.95,$0.00,-$0.00,$8.95,0.30%,$8.95,$0.00,$8.95
Bloody Mary,1,0,$8.00,$0.00,-$0.00,$8.00,0.26%,$8.00,$0.00,$0.00
Combination de Uno,1,0,$7.95,$0.00,-$0.00,$7.95,0.26%,$7.95,$0.00,$7.95
Guacamole half order,1,0,$6.00,$0.00,-$0.00,$6.00,0.20%,$6.00,$0.00,$6.00
Side Guacamole,3,0,$9.00,-$3.00,-$0.00,$6.00,0.20%,$2.00,$0.00,$6.00
Bud Light,1,0,$4.00,$0.00,-$0.00,$4.00,0.13%,$4.00,$0.00,$0.00
house wsky,1,0,$4.00,$0.00,-$0.00,$4.00,0.13%,$4.00,$0.00,$0.00
chips,1,0,$3.00,$0.00,-$0.00,$3.00,0.10%,$3.00,$0.00,$0.00
Side Cheese,1,0,$2.50,$0.00,-$0.00,$2.50,0.08%,$2.50,$0.00,$2.50
Sour Cream,1,0,$1.50,$0.00,-$0.00,$1.50,0.05%,$1.50,$0.00,$1.50
Cocktail De Camaron,1,0,$16.95,-$16.95,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00
Water,4,0,$0.00,$0.00,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00

TOTAL,109,0,"$3,138.10",-$118.63,$0.00,"$3,019.47",100.00%,$27.70,$26.85,$565.12
