Revenue Item Sales Report
"Dec 12, 2019 12:00 am - Dec 12, 2019 11:59 pm"
"Requested on: Apr 16, 2020 4:41 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,$807.30
Net Sales,$759.61
COGS,$26.85
Gross Profit,$594.26
Gross Profit Margin,78.23%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
House Margarita,12,0,$84.00,-$8.00,-$0.00,$76.00,10.01%,$6.33,$0.00,$76.00
Combination de Dos,5,0,$49.75,$0.00,-$0.00,$49.75,6.55%,$9.95,$0.00,$49.75
Combination de Tres,5,0,$59.75,-$11.95,-$0.00,$47.80,6.29%,$9.56,$0.00,$47.80
Cocktail De Camaron,2,0,$33.90,$0.00,-$0.00,$33.90,4.46%,$16.95,$0.00,$33.90
Combination de Uno,4,0,$31.80,$0.00,-$0.00,$31.80,4.19%,$7.95,$0.00,$31.80
Baja Fish Tacos,2,0,$29.90,$0.00,-$0.00,$29.90,3.94%,$14.95,$0.00,$29.90
Tostadas Mixtas,2,0,$27.90,$0.00,-$0.00,$27.90,3.67%,$13.95,$0.00,$27.90
"Flauta Appetizer ",3,0,$26.85,$0.00,-$0.00,$26.85,3.53%,$8.95,$0.00,$26.85
Guacamole Full Size,3,0,$26.85,$0.00,-$0.00,$26.85,3.53%,$8.95,$26.85,$0.00
Negra Modelo,5,0,$28.00,-$2.00,-$0.00,$26.00,3.42%,$5.20,$0.00,$0.00
Grande Mixed Fajitas,1,0,$24.95,$0.00,-$0.00,$24.95,3.28%,$24.95,$0.00,$24.95
White Russian,4,0,$32.00,-$8.00,-$0.00,$24.00,3.16%,$6.00,$0.00,$0.00
Carne Asada Fries,2,0,$23.90,$0.00,-$0.00,$23.90,3.15%,$11.95,$0.00,$23.90
Modelo Especial,4,0,$26.00,-$3.00,-$0.00,$23.00,3.03%,$5.75,$0.00,$0.00
Dos XX,4,0,$20.00,$0.00,-$0.00,$20.00,2.63%,$5.00,$0.00,$0.00
"Cocktail ""Vuelve A La Vida""",1,0,$18.95,$0.00,-$0.00,$18.95,2.49%,$18.95,$0.00,$18.95
piña colada,3,0,$18.00,$0.00,-$0.00,$18.00,2.37%,$6.00,$0.00,$0.00
Carne Asada Plate,1,0,$17.95,$0.00,-$0.00,$17.95,2.36%,$17.95,$0.00,$17.95
The Great Panino,2,0,$17.90,$0.00,-$0.00,$17.90,2.36%,$8.95,$0.00,$17.90
Chicken Fettuccini,1,0,$15.95,$0.00,-$0.00,$15.95,2.10%,$15.95,$0.00,$15.95
Shrimp Enchilada Plate,1,0,$14.95,$0.00,-$0.00,$14.95,1.97%,$14.95,$0.00,$14.95
Shred Chicken Burrito,1,0,$13.95,$0.00,-$0.00,$13.95,1.84%,$13.95,$0.00,$13.95
Soft Drink,5,0,$16.25,-$3.25,-$0.00,$13.00,1.71%,$2.60,$0.00,$13.00
Large Chile Relleno,1,0,$12.95,$0.00,-$0.00,$12.95,1.70%,$12.95,$0.00,$12.95
Tropical Tostada,1,0,$12.95,$0.00,-$0.00,$12.95,1.70%,$12.95,$0.00,$12.95
Champagne,4,0,$12.00,$0.00,-$0.00,$12.00,1.58%,$3.00,$0.00,$12.00
Menudo Soup,1,0,$11.95,$0.00,-$0.00,$11.95,1.57%,$11.95,$0.00,$11.95
Nachos Vaqueros,1,0,$11.95,$0.00,-$0.00,$11.95,1.57%,$11.95,$0.00,$11.95
Tostada De Ceviche,1,0,$11.95,$0.00,-$0.00,$11.95,1.57%,$11.95,$0.00,$11.95
Coors Light,3,0,$12.00,-$2.00,-$0.00,$10.00,1.32%,$3.33,$0.00,$0.00
Huevos Rancheros,1,0,$9.95,$0.00,-$0.00,$9.95,1.31%,$9.95,$0.00,$9.95
Jamaica,2,0,$9.00,$0.00,-$0.00,$9.00,1.18%,$4.50,$0.00,$9.00
Burrito A La Carte,1,0,$9.95,-$2.49,-$0.00,$7.46,0.98%,$7.46,$0.00,$7.46
Bud Light,1,0,$7.00,$0.00,-$0.00,$7.00,0.92%,$7.00,$0.00,$0.00
Deep Fried Ice Cream,1,0,$6.95,$0.00,-$0.00,$6.95,0.91%,$6.95,$0.00,$6.95
piña colafa,1,0,$6.00,$0.00,-$0.00,$6.00,0.79%,$6.00,$0.00,$0.00
Taco A La Carte,1,0,$3.00,$0.00,-$0.00,$3.00,0.39%,$3.00,$0.00,$0.00
Side Pico de Gallo,1,0,$1.75,$0.00,-$0.00,$1.75,0.23%,$1.75,$0.00,$1.75
Cabernet Sauvigon,1,0,$7.00,-$5.50,-$0.00,$1.50,0.20%,$1.50,$0.00,$0.00
Sour Cream,1,0,$1.50,-$1.50,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00
Water,7,0,$0.00,$0.00,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00

TOTAL,103,0,$807.30,-$47.69,$0.00,$759.61,100.00%,$7.37,$26.85,$594.26
