Revenue Item Sales Report
"Dec 13, 2019 12:00 am - Dec 13, 2019 11:59 pm"
"Requested on: Apr 16, 2020 4:41 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$1,211.15"
Net Sales,"$1,185.53"
COGS,$53.70
Gross Profit,"$1,023.33"
Gross Profit Margin,86.32%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
Cadillac Margarita,7,0,$126.00,$0.00,-$0.00,$126.00,10.63%,$18.00,$0.00,$126.00
Combination de Dos,8,0,$79.60,$0.00,-$0.00,$79.60,6.71%,$9.95,$0.00,$79.60
House Margarita,11,0,$77.00,-$10.00,-$0.00,$67.00,5.65%,$6.09,$0.00,$67.00
Camarones Costa Azul,3,0,$59.85,$0.00,-$0.00,$59.85,5.05%,$19.95,$0.00,$59.85
Carne Asada Burrito,4,0,$55.80,$0.00,-$0.00,$55.80,4.71%,$13.95,$0.00,$55.80
Carne Asada Plate,3,0,$53.85,$0.00,-$0.00,$53.85,4.54%,$17.95,$0.00,$53.85
Guacamole Full Size,6,0,$53.70,$0.00,-$0.00,$53.70,4.53%,$8.95,$53.70,$0.00
KIDS Cheeseburger,6,0,$53.70,$0.00,-$0.00,$53.70,4.53%,$8.95,$0.00,$53.70
Molcajete Mar Y Terra,1,0,$44.95,$0.00,-$0.00,$44.95,3.79%,$44.95,$0.00,$44.95
Cocktail De Camaron,2,0,$33.90,$0.00,-$0.00,$33.90,2.86%,$16.95,$0.00,$33.90
Tostada De Ceviche,3,0,$33.85,$0.00,-$0.00,$33.85,2.86%,$11.28,$0.00,$33.85
Baja Fish Tacos,2,0,$29.90,$0.00,-$0.00,$29.90,2.52%,$14.95,$0.00,$29.90
Soft Drink,9,0,$29.25,$0.00,-$0.00,$29.25,2.47%,$3.25,$0.00,$29.25
Happy hour margarita,2,0,$28.00,$0.00,-$0.00,$28.00,2.36%,$14.00,$0.00,$0.00
Combination de Tres,2,0,$25.90,$0.00,-$0.00,$25.90,2.18%,$12.95,$0.00,$25.90
Grande Mixed Fajitas,1,0,$24.95,$0.00,-$0.00,$24.95,2.10%,$24.95,$0.00,$24.95
Combination de Uno,3,0,$23.85,$0.00,-$0.00,$23.85,2.01%,$7.95,$0.00,$23.85
"Flauta Appetizer ",3,0,$23.85,$0.00,-$0.00,$23.85,2.01%,$7.95,$0.00,$23.85
Taco A La Carte,7,0,$20.00,$0.00,-$0.00,$20.00,1.69%,$2.86,$0.00,$0.00
Camarones,1,0,$17.95,$0.00,-$0.00,$17.95,1.51%,$17.95,$0.00,$17.95
Grilled Steak Fajitas,1,0,$17.95,$0.00,-$0.00,$17.95,1.51%,$17.95,$0.00,$17.95
Dos XX,4,0,$20.00,-$4.00,-$0.00,$16.00,1.35%,$4.00,$0.00,$0.00
Mojarra,1,0,$15.95,$0.00,-$0.00,$15.95,1.35%,$15.95,$0.00,$15.95
House Cadillac Margarita,2,0,$19.00,-$4.00,-$0.00,$15.00,1.27%,$7.50,$0.00,$15.00
Carnitas Burrito,1,0,$14.95,$0.00,-$0.00,$14.95,1.26%,$14.95,$0.00,$14.95
Shrimp Enchilada Plate,1,0,$14.95,$0.00,-$0.00,$14.95,1.26%,$14.95,$0.00,$14.95
Cazadores,2,0,$14.00,$0.00,-$0.00,$14.00,1.18%,$7.00,$0.00,$14.00
Shred Beef Burrito,1,0,$13.95,$0.00,-$0.00,$13.95,1.18%,$13.95,$0.00,$13.95
Taco Salad,1,0,$13.95,$0.00,-$0.00,$13.95,1.18%,$13.95,$0.00,$13.95
Cabernet Sauvigon,2,0,$14.00,-$2.00,-$0.00,$12.00,1.01%,$6.00,$0.00,$0.00
Montejo,1,0,$14.00,-$2.00,-$0.00,$12.00,1.01%,$12.00,$0.00,$12.00
Bacon Cheeseburger,1,0,$11.95,$0.00,-$0.00,$11.95,1.01%,$11.95,$0.00,$11.95
Margarita's Spicy Burger,1,0,$11.95,$0.00,-$0.00,$11.95,1.01%,$11.95,$0.00,$11.95
The Green Burrito,1,0,$10.95,$0.00,-$0.00,$10.95,0.92%,$10.95,$0.00,$10.95
Negra Modelo,2,0,$10.00,$0.00,-$0.00,$10.00,0.84%,$5.00,$0.00,$0.00
Double Dare Tacos,1,0,$8.95,$0.00,-$0.00,$8.95,0.75%,$8.95,$0.00,$8.95
KIDS Bean & Cheese Burrito,1,0,$8.95,$0.00,-$0.00,$8.95,0.75%,$8.95,$0.00,$8.95
KIDS Chicken Strips,1,0,$8.95,$0.00,-$0.00,$8.95,0.75%,$8.95,$0.00,$8.95
The Classic Enchiladas,1,0,$8.95,$0.00,-$0.00,$8.95,0.75%,$8.95,$0.00,$8.95
KIDS Ice Cream,4,0,$8.00,$0.00,-$0.00,$8.00,0.67%,$2.00,$0.00,$8.00
Modelo Especial,2,0,$10.00,-$2.00,-$0.00,$8.00,0.67%,$4.00,$0.00,$0.00
bean dip,1,0,$6.00,$0.00,-$0.00,$6.00,0.51%,$6.00,$0.00,$0.00
Side Guacamole,2,0,$6.00,-$0.75,-$0.00,$5.25,0.44%,$2.63,$0.00,$5.25
