Revenue Item Sales Report
"Feb 06, 2020 12:00 am - Feb 06, 2020 11:59 pm"
"Requested on: Apr 16, 2020 5:10 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,$847.55
Net Sales,$750.07
COGS,$26.85
Gross Profit,$628.72
Gross Profit Margin,83.82%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
House Margarita,17,4,$119.00,-$6.00,-$28.00,$85.00,11.33%,$6.54,$0.00,$85.00
Carne Asada Plate,4,0,$71.80,$0.00,-$0.00,$71.80,9.57%,$17.95,$0.00,$71.80
Combination de Tres,5,0,$59.75,$0.00,-$0.00,$59.75,7.97%,$11.95,$0.00,$59.75
Steak Tampiqueno,2,0,$39.90,$0.00,-$0.00,$39.90,5.32%,$19.95,$0.00,$39.90
"Flauta Appetizer ",5,0,$39.75,$0.00,-$0.00,$39.75,5.30%,$7.95,$0.00,$39.75
Taco A La Carte,13,0,$38.75,$0.00,-$0.00,$38.75,5.17%,$2.98,$0.00,$0.00
Albondigas Soup,4,0,$35.80,$0.00,-$0.00,$35.80,4.77%,$8.95,$0.00,$35.80
Guacamole Full Size,4,1,$43.80,$0.00,-$10.95,$32.85,4.38%,$10.95,$26.85,$6.00
Shrimp Enchilada Plate,4,2,$59.80,$0.00,-$29.90,$29.90,3.99%,$14.95,$0.00,$29.90
Combination de Dos,3,0,$29.85,$0.00,-$0.00,$29.85,3.98%,$9.95,$0.00,$29.85
Chardonnay,4,0,$28.00,-$8.00,-$0.00,$20.00,2.67%,$5.00,$0.00,$0.00
Blackened Salmon,1,0,$19.95,$0.00,-$0.00,$19.95,2.66%,$19.95,$0.00,$19.95
Camarones Aguachiles,1,0,$19.95,$0.00,-$0.00,$19.95,2.66%,$19.95,$0.00,$19.95
Shrimp Fajitas,1,0,$19.95,$0.00,-$0.00,$19.95,2.66%,$19.95,$0.00,$19.95
Combination de Uno,2,0,$19.90,$0.00,-$0.00,$19.90,2.65%,$9.95,$0.00,$19.90
Tostada De Ceviche,2,0,$21.90,-$2.49,-$0.00,$19.41,2.59%,$9.71,$0.00,$19.41
Jack Daniels,2,0,$18.00,$0.00,-$0.00,$18.00,2.40%,$9.00,$0.00,$0.00
Camarones,1,0,$17.95,$0.00,-$0.00,$17.95,2.39%,$17.95,$0.00,$17.95
KIDS Chicken Strips,2,0,$17.90,$0.00,-$0.00,$17.90,2.39%,$8.95,$0.00,$17.90
Cocktail De Camaron,1,0,$16.95,$0.00,-$0.00,$16.95,2.26%,$16.95,$0.00,$16.95
Soft Drink,5,0,$16.25,$0.00,-$0.00,$16.25,2.17%,$3.25,$0.00,$16.25
Horchata,3,0,$13.50,$0.00,-$0.00,$13.50,1.80%,$4.50,$0.00,$13.50
Bud Light,1,0,$14.00,-$2.00,-$0.00,$12.00,1.60%,$12.00,$0.00,$12.00
Bacon Cheeseburger,1,0,$11.95,$0.00,-$0.00,$11.95,1.59%,$11.95,$0.00,$11.95
Corona,2,0,$10.00,-$2.00,-$0.00,$8.00,1.07%,$4.00,$0.00,$0.00
Coors Light,2,0,$8.00,-$2.00,-$0.00,$6.00,0.80%,$3.00,$0.00,$0.00
Side Guacamole,2,0,$6.00,$0.00,-$0.00,$6.00,0.80%,$3.00,$0.00,$6.00
HH Quesadilla,1,0,$7.95,-$2.39,-$0.00,$5.56,0.74%,$5.56,$0.00,$5.56
Mexican Flan,1,0,$4.50,$0.00,-$0.00,$4.50,0.60%,$4.50,$0.00,$4.50
Enchilada A La Carte,2,1,$7.50,$0.00,-$3.75,$3.75,0.50%,$3.75,$0.00,$0.00
Side French Fries,1,0,$3.50,$0.00,-$0.00,$3.50,0.47%,$3.50,$0.00,$3.50
S Carrot Cake,1,0,$3.00,$0.00,-$0.00,$3.00,0.40%,$3.00,$0.00,$3.00
Tea,1,0,$2.75,$0.00,-$0.00,$2.75,0.37%,$2.75,$0.00,$2.75

TOTAL,101,8,$847.55,-$24.88,-$72.60,$750.07,100.00%,$8.07,$26.85,$628.72
