Revenue Item Sales Report
"Feb 08, 2020 12:00 am - Feb 08, 2020 11:59 pm"
"Requested on: Apr 16, 2020 5:12 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$1,160.00"
Net Sales,"$1,085.16"
COGS,$53.70
Gross Profit,$964.21
Gross Profit Margin,88.85%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
Cadillac Margarita,8,0,$112.00,-$1.20,-$0.00,$110.80,10.21%,$13.85,$0.00,$110.80
Grande Mixed Fajitas,4,0,$99.80,-$2.49,-$0.00,$97.31,8.97%,$24.33,$0.00,$97.31
House Margarita,10,0,$88.00,-$1.40,-$0.00,$86.60,7.98%,$8.66,$0.00,$86.60
Guacamole Full Size,6,0,$65.70,$0.00,-$0.00,$65.70,6.05%,$10.95,$53.70,$12.00
Combination de Dos,6,0,$59.70,$0.00,-$0.00,$59.70,5.50%,$9.95,$0.00,$59.70
Camarones Aguachiles,2,0,$39.90,$0.00,-$0.00,$39.90,3.68%,$19.95,$0.00,$39.90
Shrimp Fajitas,2,0,$39.90,$0.00,-$0.00,$39.90,3.68%,$19.95,$0.00,$39.90
Camarones,2,0,$35.90,$0.00,-$0.00,$35.90,3.31%,$17.95,$0.00,$35.90
Menudo Soup,3,0,$35.85,$0.00,-$0.00,$35.85,3.30%,$11.95,$0.00,$35.85
Mojarra,2,0,$31.90,$0.00,-$0.00,$31.90,2.94%,$15.95,$0.00,$31.90
Carnitas Burrito,2,0,$27.90,$0.00,-$0.00,$27.90,2.57%,$13.95,$0.00,$27.90
Large Chile Relleno,2,0,$25.90,$0.00,-$0.00,$25.90,2.39%,$12.95,$0.00,$25.90
Combination de Tres,2,0,$23.90,$0.00,-$0.00,$23.90,2.20%,$11.95,$0.00,$23.90
Soft Drink,7,0,$22.75,$0.00,-$0.00,$22.75,2.10%,$3.25,$0.00,$22.75
Patron,2,0,$20.00,$0.00,-$0.00,$20.00,1.84%,$10.00,$0.00,$20.00
"Cocktail ""Vuelve A La Vida""",1,0,$18.95,$0.00,-$0.00,$18.95,1.75%,$18.95,$0.00,$18.95
Carne Asada Plate,1,0,$17.95,$0.00,-$0.00,$17.95,1.65%,$17.95,$0.00,$17.95
KIDS Cheeseburger,2,0,$17.90,$0.00,-$0.00,$17.90,1.65%,$8.95,$0.00,$17.90
KIDS Chicken Strips,2,0,$17.90,$0.00,-$0.00,$17.90,1.65%,$8.95,$0.00,$17.90
The Classic Enchiladas,2,0,$17.90,$0.00,-$0.00,$17.90,1.65%,$8.95,$0.00,$17.90
Grilled Chicken Fajitas,1,0,$16.95,$0.00,-$0.00,$16.95,1.56%,$16.95,$0.00,$16.95
Corona,3,0,$15.00,$0.00,-$0.00,$15.00,1.38%,$5.00,$0.00,$0.00
Carne Asada Burrito,3,0,$44.85,-$29.90,-$0.00,$14.95,1.38%,$4.98,$0.00,$14.95
Filet,1,0,$14.95,$0.00,-$0.00,$14.95,1.38%,$14.95,$0.00,$14.95
Grilled Chicken Burrito,1,0,$14.95,$0.00,-$0.00,$14.95,1.38%,$14.95,$0.00,$14.95
Horchata,3,0,$13.50,$0.00,-$0.00,$13.50,1.24%,$4.50,$0.00,$13.50
Enchilada A La Carte,6,0,$14.50,-$2.50,-$0.00,$12.00,1.11%,$2.00,$0.00,$0.00
