Revenue Item Sales Report
"Feb 16, 2020 12:00 am - Feb 16, 2020 11:59 pm"
"Requested on: Apr 16, 2020 5:15 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$3,066.75"
Net Sales,"$2,966.04"
COGS,$35.80
Gross Profit,"$2,774.99"
Gross Profit Margin,93.56%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
Sunday Brunch (Adult),69,0,"$1,376.55",$0.00,-$0.00,"$1,376.55",46.41%,$19.95,$0.00,"$1,376.55"
Combination de Dos,13,0,$139.35,$0.00,-$0.00,$139.35,4.70%,$10.72,$0.00,$139.35
Grande Mixed Fajitas,7,0,$174.65,-$54.89,-$0.00,$119.76,4.04%,$17.11,$0.00,$119.76
House Margarita,14,0,$110.00,$0.00,-$0.00,$110.00,3.71%,$7.86,$0.00,$110.00
Soft Drink,21,0,$68.25,$0.00,-$0.00,$68.25,2.30%,$3.25,$0.00,$68.25
Dona Margarita,5,0,$60.00,$0.00,-$0.00,$60.00,2.02%,$12.00,$0.00,$60.00
V Filet Mignon,2,0,$50.00,$0.00,-$0.00,$50.00,1.69%,$25.00,$0.00,$50.00
Menudo Soup,4,0,$47.80,$0.00,-$0.00,$47.80,1.61%,$11.95,$0.00,$47.80
Blackened Salmon,2,0,$39.90,$0.00,-$0.00,$39.90,1.35%,$19.95,$0.00,$39.90
Sunday Brunch (Kids),4,0,$39.80,$0.00,-$0.00,$39.80,1.34%,$9.95,$0.00,$39.80
Carne Asada Burrito,3,0,$38.85,-$1.29,-$0.00,$37.56,1.27%,$12.52,$0.00,$37.56
Guacamole Full Size,4,0,$37.90,-$0.80,-$0.00,$37.10,1.25%,$9.28,$35.80,$1.30
Cocktail De Camaron,2,0,$33.90,$0.00,-$0.00,$33.90,1.14%,$16.95,$0.00,$33.90
Bud Light,7,0,$28.00,$0.00,-$0.00,$28.00,0.94%,$4.00,$0.00,$0.00
Modelo Especial,5,0,$28.00,$0.00,-$0.00,$28.00,0.94%,$5.60,$0.00,$0.00
Combination de Tres,2,0,$27.90,-$1.19,-$0.00,$26.71,0.90%,$13.36,$0.00,$26.71
Corona,5,0,$25.00,$0.00,-$0.00,$25.00,0.84%,$5.00,$0.00,$0.00
KIDS Cheese Quesadilla,3,0,$26.85,-$2.24,-$0.00,$24.61,0.83%,$8.20,$0.00,$24.61
Carne Asada Fries,2,0,$23.90,$0.00,-$0.00,$23.90,0.81%,$11.95,$0.00,$23.90
Combination de Uno,3,0,$23.85,$0.00,-$0.00,$23.85,0.80%,$7.95,$0.00,$23.85
Cheese Quesadilla,2,0,$22.90,$0.00,-$0.00,$22.90,0.77%,$11.45,$0.00,$22.90
Taco A La Carte,8,0,$22.00,$0.00,-$0.00,$22.00,0.74%,$2.75,$0.00,$0.00
"Flauta Appetizer ",2,0,$21.90,$0.00,-$0.00,$21.90,0.74%,$10.95,$0.00,$21.90
Machaca Con Huevo,2,0,$21.90,$0.00,-$0.00,$21.90,0.74%,$10.95,$0.00,$21.90
Camarones Costa Azul,1,0,$19.95,$0.00,-$0.00,$19.95,0.67%,$19.95,$0.00,$19.95
Shrimp Fajitas,1,0,$19.95,$0.00,-$0.00,$19.95,0.67%,$19.95,$0.00,$19.95
Steak Tampiqueno,1,0,$19.95,$0.00,-$0.00,$19.95,0.67%,$19.95,$0.00,$19.95
"Cocktail ""Vuelve A La Vida""",1,0,$18.95,$0.00,-$0.00,$18.95,0.64%,$18.95,$0.00,$18.95
Camarones,1,0,$17.95,$0.00,-$0.00,$17.95,0.61%,$17.95,$0.00,$17.95
Carnitas Burrito,1,0,$17.95,$0.00,-$0.00,$17.95,0.61%,$17.95,$0.00,$17.95
Grilled Steak Fajitas,1,0,$17.95,$0.00,-$0.00,$17.95,0.61%,$17.95,$0.00,$17.95
Tequila Shrimp Fettuccini,1,0,$17.95,$0.00,-$0.00,$17.95,0.61%,$17.95,$0.00,$17.95
KIDS Chicken Strips,2,0,$17.90,$0.00,-$0.00,$17.90,0.60%,$8.95,$0.00,$17.90
Jamaica,4,0,$18.00,-$0.45,-$0.00,$17.55,0.59%,$4.39,$0.00,$17.55
Carnitas Plate,1,0,$16.95,$0.00,-$0.00,$16.95,0.57%,$16.95,$0.00,$16.95
Grilled Chicken Fajitas,1,0,$16.95,$0.00,-$0.00,$16.95,0.57%,$16.95,$0.00,$16.95
Grilled Chicken Plate,3,0,$50.85,-$33.90,-$0.00,$16.95,0.57%,$5.65,$0.00,$16.95
Mojito,2,0,$16.00,-$0.80,-$0.00,$15.20,0.51%,$7.60,$0.00,$0.00
Baja Fish Tacos,1,0,$14.95,$0.00,-$0.00,$14.95,0.50%,$14.95,$0.00,$14.95
Shrimp Burrito,1,0,$14.95,$0.00,-$0.00,$14.95,0.50%,$14.95,$0.00,$14.95
Mercadito Margarita Don Julio,1,0,$14.00,$0.00,-$0.00,$14.00,0.47%,$14.00,$0.00,$14.00
Shred Beef Burrito,1,0,$13.95,$0.00,-$0.00,$13.95,0.47%,$13.95,$0.00,$13.95
Horchata,3,0,$13.50,-$0.45,-$0.00,$13.05,0.44%,$4.35,$0.00,$13.05
Chicken Cilantro Salad,1,0,$12.95,$0.00,-$0.00,$12.95,0.44%,$12.95,$0.00,$12.95
S Shrimp Enchiladas,1,0,$12.95,$0.00,-$0.00,$12.95,0.44%,$12.95,$0.00,$12.95
Cadillac Margarita,1,0,$12.00,$0.00,-$0.00,$12.00,0.40%,$12.00,$0.00,$12.00
Guacamole half order,2,0,$12.00,$0.00,-$0.00,$12.00,0.40%,$6.00,$0.00,$12.00
Mimosa,4,0,$12.00,$0.00,-$0.00,$12.00,0.40%,$3.00,$0.00,$12.00
Bacon Cheeseburger,1,0,$11.95,$0.00,-$0.00,$11.95,0.40%,$11.95,$0.00,$11.95
Pozole,1,0,$10.95,$0.00,-$0.00,$10.95,0.37%,$10.95,$0.00,$10.95
Huevos Rancheros,1,0,$9.95,$0.00,-$0.00,$9.95,0.34%,$9.95,$0.00,$9.95
Tostada De Ceviche,1,0,$9.95,$0.00,-$0.00,$9.95,0.34%,$9.95,$0.00,$9.95
Side Shrimp 3 shrimp=16/20,4,0,$12.00,-$3.00,-$0.00,$9.00,0.30%,$2.25,$0.00,$9.00
Albondigas Soup,1,0,$8.95,$0.00,-$0.00,$8.95,0.30%,$8.95,$0.00,$8.95
Breakfast Burrito,1,0,$8.95,$0.00,-$0.00,$8.95,0.30%,$8.95,$0.00,$8.95
KIDS Cheeseburger,1,0,$8.95,$0.00,-$0.00,$8.95,0.30%,$8.95,$0.00,$8.95
Long Island Iced Tea,1,0,$9.00,-$0.90,-$0.00,$8.10,0.27%,$8.10,$0.00,$0.00
Midori sour,1,0,$8.00,$0.00,-$0.00,$8.00,0.27%,$8.00,$0.00,$0.00
IPA Pale Ale,1,0,$7.95,$0.00,-$0.00,$7.95,0.27%,$7.95,$0.00,$0.00
Juices,2,0,$7.00,$0.00,-$0.00,$7.00,0.24%,$3.50,$0.00,$7.00
Coffee,2,0,$5.50,$0.00,-$0.00,$5.50,0.19%,$2.75,$0.00,$5.50
Champagne with Sunday Brunch,1,0,$5.00,$0.00,-$0.00,$5.00,0.17%,$5.00,$0.00,$5.00
Mimosa with Sunday Brunch,1,0,$5.00,$0.00,-$0.00,$5.00,0.17%,$5.00,$0.00,$5.00
Enchilada A La Carte,2,0,$4.50,$0.00,-$0.00,$4.50,0.15%,$2.25,$0.00,$0.00
VIRGIN MARGARITA,1,0,$4.50,$0.00,-$0.00,$4.50,0.15%,$4.50,$0.00,$0.00
Sour Cream,3,0,$4.50,-$0.30,-$0.00,$4.20,0.14%,$1.40,$0.00,$4.20
Taquito A La Carte,2,0,$4.00,$0.00,-$0.00,$4.00,0.13%,$2.00,$0.00,$0.00
Side Avocado,1,0,$2.00,$0.00,-$0.00,$2.00,0.07%,$2.00,$0.00,$2.00
Side Beans,1,0,$2.00,$0.00,-$0.00,$2.00,0.07%,$2.00,$0.00,$2.00
Side Chile Toreado,1,0,$1.50,$0.00,-$0.00,$1.50,0.05%,$1.50,$0.00,$1.50
Side Flour Tortillas,1,0,$1.50,$0.00,-$0.00,$1.50,0.05%,$1.50,$0.00,$1.50
Side Rice,1,0,$2.00,-$0.50,-$0.00,$1.50,0.05%,$1.50,$0.00,$1.50
Side Spicy Salsa,1,0,$1.50,$0.00,-$0.00,$1.50,0.05%,$1.50,$0.00,$1.50
Water,10,0,$0.00,$0.00,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00

TOTAL,272,0,"$3,066.75",-$100.71,$0.00,"$2,966.04",100.00%,$10.90,$35.80,"$2,774.99"
