Revenue Item Sales Report
"Feb 27, 2020 12:00 am - Feb 27, 2020 11:59 pm"
"Requested on: Apr 16, 2020 5:18 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$1,007.90"
Net Sales,$963.71
COGS,$8.95
Gross Profit,$900.81
Gross Profit Margin,93.47%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
Combination de Dos,11,0,$111.45,-$9.95,-$0.00,$101.50,10.53%,$9.23,$0.00,$101.50
House Margarita,12,0,$84.00,-$20.00,-$0.00,$64.00,6.64%,$5.33,$0.00,$64.00
Molcajete Mar Y Terra,1,0,$44.95,$0.00,-$0.00,$44.95,4.66%,$44.95,$0.00,$44.95
Combination de Tres,3,0,$41.85,$0.00,-$0.00,$41.85,4.34%,$13.95,$0.00,$41.85
"Cocktail ""Vuelve A La Vida""",2,0,$37.90,$0.00,-$0.00,$37.90,3.93%,$18.95,$0.00,$37.90
Cadillac Margarita,3,0,$36.00,$0.00,-$0.00,$36.00,3.74%,$12.00,$0.00,$36.00
Soft Drink,12,0,$39.00,-$3.25,-$0.00,$35.75,3.71%,$2.98,$0.00,$35.75
Patron,3,0,$30.00,$0.00,-$0.00,$30.00,3.11%,$10.00,$0.00,$30.00
KIDS Cheese Enchilada,3,0,$26.85,$0.00,-$0.00,$26.85,2.79%,$8.95,$0.00,$26.85
KIDS Cheese Quesadilla,3,0,$26.85,$0.00,-$0.00,$26.85,2.79%,$8.95,$0.00,$26.85
Chicken Cilantro Salad,2,0,$25.90,$0.00,-$0.00,$25.90,2.69%,$12.95,$0.00,$25.90
V Filet Mignon,1,0,$25.00,$0.00,-$0.00,$25.00,2.59%,$25.00,$0.00,$25.00
Grande Mixed Fajitas,1,0,$24.95,$0.00,-$0.00,$24.95,2.59%,$24.95,$0.00,$24.95
"Flauta Appetizer ",3,0,$23.85,$0.00,-$0.00,$23.85,2.47%,$7.95,$0.00,$23.85
Deep Fried Ice Cream,3,0,$20.85,$0.00,-$0.00,$20.85,2.16%,$6.95,$0.00,$20.85
Blackened Salmon,1,0,$19.95,$0.00,-$0.00,$19.95,2.07%,$19.95,$0.00,$19.95
Montejo,3,0,$21.90,-$2.00,-$0.00,$19.90,2.06%,$6.63,$0.00,$19.90
Camarones,1,0,$17.95,$0.00,-$0.00,$17.95,1.86%,$17.95,$0.00,$17.95
S Camarones Margaritas,1,0,$17.95,$0.00,-$0.00,$17.95,1.86%,$17.95,$0.00,$17.95
KIDS Cheeseburger,2,0,$17.90,$0.00,-$0.00,$17.90,1.86%,$8.95,$0.00,$17.90
The Classic Enchiladas,2,0,$17.90,$0.00,-$0.00,$17.90,1.86%,$8.95,$0.00,$17.90
Modelo Especial,3,0,$18.00,-$1.00,-$0.00,$17.00,1.76%,$5.67,$0.00,$0.00
Al Pastor Plate,1,0,$16.95,$0.00,-$0.00,$16.95,1.76%,$16.95,$0.00,$16.95
Mojarra,1,0,$15.95,$0.00,-$0.00,$15.95,1.66%,$15.95,$0.00,$15.95
Combination de Uno,2,0,$15.90,$0.00,-$0.00,$15.90,1.65%,$7.95,$0.00,$15.90
Carne Asada Burrito,1,0,$14.95,$0.00,-$0.00,$14.95,1.55%,$14.95,$0.00,$14.95
Shrimp Enchilada Plate,1,0,$14.95,$0.00,-$0.00,$14.95,1.55%,$14.95,$0.00,$14.95
Shred Beef Burrito,1,0,$13.95,$0.00,-$0.00,$13.95,1.45%,$13.95,$0.00,$13.95
Chicken Caesar Salad,1,0,$12.95,$0.00,-$0.00,$12.95,1.34%,$12.95,$0.00,$12.95
Large Chile Relleno,1,0,$12.95,$0.00,-$0.00,$12.95,1.34%,$12.95,$0.00,$12.95
Guacamole half order,2,0,$12.00,$0.00,-$0.00,$12.00,1.25%,$6.00,$0.00,$12.00
Carne Asada Fries,1,0,$11.95,$0.00,-$0.00,$11.95,1.24%,$11.95,$0.00,$11.95
Guacamole Full Size,1,0,$10.95,$0.00,-$0.00,$10.95,1.14%,$10.95,$8.95,$2.00
Double Dare Tacos,1,0,$8.95,$0.00,-$0.00,$8.95,0.93%,$8.95,$0.00,$8.95
KIDS Chicken Strips,1,0,$8.95,$0.00,-$0.00,$8.95,0.93%,$8.95,$0.00,$8.95
Shrimp a la cart Costa Azul (1),3,0,$7.50,$0.00,-$0.00,$7.50,0.78%,$2.50,$0.00,$7.50
Midori sour,1,0,$7.00,$0.00,-$0.00,$7.00,0.73%,$7.00,$0.00,$0.00
Negra Modelo,1,0,$8.00,-$1.00,-$0.00,$7.00,0.73%,$7.00,$0.00,$0.00
HH Queso Fundido,1,0,$9.95,-$2.99,-$0.00,$6.96,0.72%,$6.96,$0.00,$6.96
Bloody Mary,1,0,$8.00,-$2.00,-$0.00,$6.00,0.62%,$6.00,$0.00,$0.00
Chile Relleno,1,0,$6.00,$0.00,-$0.00,$6.00,0.62%,$6.00,$0.00,$6.00
White Zinfandel,1,0,$6.00,$0.00,-$0.00,$6.00,0.62%,$6.00,$0.00,$0.00
Michelo Ultra Light,1,0,$7.95,-$2.00,-$0.00,$5.95,0.62%,$5.95,$0.00,$0.00
Tea,2,0,$5.50,$0.00,-$0.00,$5.50,0.57%,$2.75,$0.00,$5.50
BAR CODE,1,0,$5.00,$0.00,-$0.00,$5.00,0.52%,$5.00,$0.00,$5.00
Bohemia,1,0,$5.00,$0.00,-$0.00,$5.00,0.52%,$5.00,$0.00,$0.00
Dinner Salad,1,0,$4.95,$0.00,-$0.00,$4.95,0.51%,$4.95,$0.00,$4.95
Horchata,1,0,$4.50,$0.00,-$0.00,$4.50,0.47%,$4.50,$0.00,$4.50
Jamaica,1,0,$4.50,$0.00,-$0.00,$4.50,0.47%,$4.50,$0.00,$4.50
Side French Fries,1,0,$3.50,$0.00,-$0.00,$3.50,0.36%,$3.50,$0.00,$3.50
Side Guacamole,1,0,$3.00,$0.00,-$0.00,$3.00,0.31%,$3.00,$0.00,$3.00
Sour Cream,2,0,$3.00,$0.00,-$0.00,$3.00,0.31%,$1.50,$0.00,$3.00
Coffee,1,0,$2.75,$0.00,-$0.00,$2.75,0.29%,$2.75,$0.00,$2.75
Side Beans,1,0,$2.00,$0.00,-$0.00,$2.00,0.21%,$2.00,$0.00,$2.00
Side Flour Tortillas,1,0,$1.50,$0.00,-$0.00,$1.50,0.16%,$1.50,$0.00,$1.50
Water,7,0,$0.00,$0.00,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00

TOTAL,122,0,"$1,007.90",-$44.19,$0.00,$963.71,100.00%,$7.90,$8.95,$900.81
