Revenue Item Sales Report
"Jan 17, 2020 12:00 am - Jan 17, 2020 11:59 pm"
"Requested on: Apr 16, 2020 5:04 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$1,607.55"
Net Sales,"$1,559.12"
COGS,$26.85
Gross Profit,"$1,312.27"
Gross Profit Margin,84.17%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
House Margarita,24,0,$168.00,-$22.00,-$0.00,$146.00,9.36%,$6.08,$0.00,$146.00
Grande Mixed Fajitas,5,0,$124.75,$0.00,-$0.00,$124.75,8.00%,$24.95,$0.00,$124.75
Combination de Dos,12,0,$119.40,-$5.66,-$0.00,$113.74,7.30%,$9.48,$0.00,$113.74
Modelo Especial,14,0,$91.00,-$2.00,-$0.00,$89.00,5.71%,$6.36,$0.00,$0.00
Grilled Steak Fajitas,4,0,$71.80,$0.00,-$0.00,$71.80,4.61%,$17.95,$0.00,$71.80
Special Large Chile,4,0,$59.80,$0.00,-$0.00,$59.80,3.84%,$14.95,$0.00,$59.80
Albondigas Soup,6,0,$53.70,$0.00,-$0.00,$53.70,3.44%,$8.95,$0.00,$53.70
Soft Drink,17,0,$55.25,-$2.77,-$0.00,$52.48,3.37%,$3.09,$0.00,$52.48
Molcajete Mar Y Terra,1,0,$44.95,$0.00,-$0.00,$44.95,2.88%,$44.95,$0.00,$44.95
Parrilla Para Dos,1,0,$39.95,$0.00,-$0.00,$39.95,2.56%,$39.95,$0.00,$39.95
Carne Asada Plate,2,0,$35.90,$0.00,-$0.00,$35.90,2.30%,$17.95,$0.00,$35.90
Double Dare Tacos,4,0,$35.80,$0.00,-$0.00,$35.80,2.30%,$8.95,$0.00,$35.80
Grilled Chicken Fajitas,2,0,$33.90,$0.00,-$0.00,$33.90,2.17%,$16.95,$0.00,$33.90
Guacamole Full Size,3,0,$32.85,$0.00,-$0.00,$32.85,2.11%,$10.95,$26.85,$6.00
Combination de Uno,4,0,$33.80,-$2.26,-$0.00,$31.54,2.02%,$7.89,$0.00,$31.54
Camarones,2,0,$35.90,-$4.49,-$0.00,$31.41,2.01%,$15.71,$0.00,$31.41
Carne Asada Burrito,2,0,$25.90,$0.00,-$0.00,$25.90,1.66%,$12.95,$0.00,$25.90
Carne Asada Fries,2,0,$23.90,$0.00,-$0.00,$23.90,1.53%,$11.95,$0.00,$23.90
Camarones Costa Azul,1,0,$19.95,$0.00,-$0.00,$19.95,1.28%,$19.95,$0.00,$19.95
Montejo,3,0,$21.90,-$2.00,-$0.00,$19.90,1.28%,$6.63,$0.00,$19.90
