Revenue Item Sales Report
"Jan 20, 2020 12:00 am - Jan 20, 2020 11:59 pm"
"Requested on: Apr 16, 2020 5:05 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$1,625.75"
Net Sales,"$1,559.42"
COGS,$0.00
Gross Profit,$966.47
Gross Profit Margin,61.98%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
Item 1,1,0,$513.00,$0.00,-$0.00,$513.00,32.90%,$513.00,$0.00,$0.00
Combination de Dos,9,0,$91.55,$0.00,-$0.00,$91.55,5.87%,$10.17,$0.00,$91.55
Camarones,4,0,$71.80,$0.00,-$0.00,$71.80,4.60%,$17.95,$0.00,$71.80
Grande Mixed Fajitas,2,0,$49.90,$0.00,-$0.00,$49.90,3.20%,$24.95,$0.00,$49.90
Soft Drink,14,0,$45.50,$0.00,-$0.00,$45.50,2.92%,$3.25,$0.00,$45.50
Parrilla Para Dos,1,0,$39.95,$0.00,-$0.00,$39.95,2.56%,$39.95,$0.00,$39.95
Camarones Costa Azul,2,0,$39.90,$0.00,-$0.00,$39.90,2.56%,$19.95,$0.00,$39.90
Carne Asada Burrito,3,0,$38.85,$0.00,-$0.00,$38.85,2.49%,$12.95,$0.00,$38.85
Cadillac Margarita,3,0,$36.00,$0.00,-$0.00,$36.00,2.31%,$12.00,$0.00,$36.00
Carne Asada Plate,2,0,$35.90,$0.00,-$0.00,$35.90,2.30%,$17.95,$0.00,$35.90
Tequila Shrimp Fettuccini,2,0,$35.90,$0.00,-$0.00,$35.90,2.30%,$17.95,$0.00,$35.90
Combination de Tres,3,0,$35.85,$0.00,-$0.00,$35.85,2.30%,$11.95,$0.00,$35.85
Grilled Chicken Fajitas,2,0,$33.90,$0.00,-$0.00,$33.90,2.17%,$16.95,$0.00,$33.90
MONDAY Margarita,9,0,$63.00,-$36.00,-$0.00,$27.00,1.73%,$3.00,$0.00,$27.00
House Margarita,2,0,$24.00,$0.00,-$0.00,$24.00,1.54%,$12.00,$0.00,$24.00
Carne Asada Fries,2,0,$23.90,$0.00,-$0.00,$23.90,1.53%,$11.95,$0.00,$23.90
Horchata,5,0,$22.50,$0.00,-$0.00,$22.50,1.44%,$4.50,$0.00,$22.50
Deep Fried Ice Cream,3,0,$20.85,$0.00,-$0.00,$20.85,1.34%,$6.95,$0.00,$20.85
Blackened Salmon,1,0,$19.95,$0.00,-$0.00,$19.95,1.28%,$19.95,$0.00,$19.95
Camarones Aguachiles,2,0,$39.90,-$19.95,-$0.00,$19.95,1.28%,$9.98,$0.00,$19.95
Grilled Steak Fajitas,1,0,$17.95,$0.00,-$0.00,$17.95,1.15%,$17.95,$0.00,$17.95
Modelo Especial,3,0,$18.00,-$1.00,-$0.00,$17.00,1.09%,$5.67,$0.00,$0.00
Al Pastor Plate,1,0,$16.95,$0.00,-$0.00,$16.95,1.09%,$16.95,$0.00,$16.95
Carnitas Plate,1,0,$16.95,$0.00,-$0.00,$16.95,1.09%,$16.95,$0.00,$16.95
Chicken Fettuccini,1,0,$15.95,$0.00,-$0.00,$15.95,1.02%,$15.95,$0.00,$15.95
