Revenue Item Sales Report
"Jan 23, 2020 12:00 am - Jan 23, 2020 11:59 pm"
"Requested on: Apr 16, 2020 5:06 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$1,021.35"
Net Sales,$990.11
COGS,$35.80
Gross Profit,$854.11
Gross Profit Margin,86.26%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
Combination de Dos,8,0,$85.60,$0.00,-$0.00,$85.60,8.65%,$10.70,$0.00,$85.60
Carne Asada Fries,7,0,$83.65,$0.00,-$0.00,$83.65,8.45%,$11.95,$0.00,$83.65
Cadillac Margarita,4,0,$80.00,$0.00,-$0.00,$80.00,8.08%,$20.00,$0.00,$80.00
Grande Mixed Fajitas,3,0,$74.85,$0.00,-$0.00,$74.85,7.56%,$24.95,$0.00,$74.85
House Margarita,7,0,$67.00,-$6.00,-$0.00,$61.00,6.16%,$8.71,$0.00,$61.00
Dona Margarita,5,0,$60.00,$0.00,-$0.00,$60.00,6.06%,$12.00,$0.00,$60.00
Nachos Vaqueros,5,0,$59.75,$0.00,-$0.00,$59.75,6.03%,$11.95,$0.00,$59.75
Coffee,18,0,$49.50,$0.00,-$0.00,$49.50,5.00%,$2.75,$0.00,$49.50
Cheese Quesadilla,6,0,$47.70,$0.00,-$0.00,$47.70,4.82%,$7.95,$0.00,$47.70
Guacamole Full Size,4,0,$38.95,$0.00,-$0.00,$38.95,3.93%,$9.74,$35.80,$3.15
Montejo,4,0,$31.80,-$2.00,-$0.00,$29.80,3.01%,$7.45,$0.00,$29.80
Bud Light,4,0,$31.80,-$6.00,-$0.00,$25.80,2.61%,$6.45,$0.00,$25.80
Corona,4,0,$26.00,-$4.00,-$0.00,$22.00,2.22%,$5.50,$0.00,$0.00
Camarones Costa Azul,1,0,$19.95,$0.00,-$0.00,$19.95,2.01%,$19.95,$0.00,$19.95
Maker's Mark,2,0,$18.00,$0.00,-$0.00,$18.00,1.82%,$9.00,$0.00,$18.00
Camarones,1,0,$17.95,$0.00,-$0.00,$17.95,1.81%,$17.95,$0.00,$17.95
Grilled Steak Fajitas,1,0,$17.95,$0.00,-$0.00,$17.95,1.81%,$17.95,$0.00,$17.95
Soft Drink,5,0,$16.25,$0.00,-$0.00,$16.25,1.64%,$3.25,$0.00,$16.25
Paloma Cazadores,2,0,$16.00,$0.00,-$0.00,$16.00,1.62%,$8.00,$0.00,$0.00
Albondigas Soup,2,0,$17.90,-$2.24,-$0.00,$15.66,1.58%,$7.83,$0.00,$15.66
L.A. Water,2,0,$18.00,-$4.00,-$0.00,$14.00,1.41%,$7.00,$0.00,$0.00
Taco Salad,1,0,$13.95,$0.00,-$0.00,$13.95,1.41%,$13.95,$0.00,$13.95
Large Chile Relleno,1,0,$12.95,$0.00,-$0.00,$12.95,1.31%,$12.95,$0.00,$12.95
IPA Pale Ale,1,0,$14.00,-$2.00,-$0.00,$12.00,1.21%,$12.00,$0.00,$0.00
Tea,4,0,$11.00,$0.00,-$0.00,$11.00,1.11%,$2.75,$0.00,$11.00
Jamaica,2,0,$9.00,$0.00,-$0.00,$9.00,0.91%,$4.50,$0.00,$9.00
The Classic Enchiladas,1,0,$8.95,$0.00,-$0.00,$8.95,0.90%,$8.95,$0.00,$8.95
HH Quesadilla,1,0,$7.95,$0.00,-$0.00,$7.95,0.80%,$7.95,$0.00,$7.95
Cazadores,1,0,$7.00,$0.00,-$0.00,$7.00,0.71%,$7.00,$0.00,$7.00
Bloody Mary,1,0,$8.00,-$2.00,-$0.00,$6.00,0.61%,$6.00,$0.00,$0.00
Guacamole half order,1,0,$6.00,$0.00,-$0.00,$6.00,0.61%,$6.00,$0.00,$6.00
Taquito A La Carte,3,0,$6.00,$0.00,-$0.00,$6.00,0.61%,$2.00,$0.00,$0.00
frijoles refritos,1,0,$5.00,$0.00,-$0.00,$5.00,0.50%,$5.00,$0.00,$0.00
Corona Light,1,0,$5.00,-$1.00,-$0.00,$4.00,0.40%,$4.00,$0.00,$0.00
Negra Modelo,1,0,$5.00,-$1.00,-$0.00,$4.00,0.40%,$4.00,$0.00,$0.00
Pacifico,1,0,$5.00,-$1.00,-$0.00,$4.00,0.40%,$4.00,$0.00,$0.00
Shirley Temple,1,0,$3.95,$0.00,-$0.00,$3.95,0.40%,$3.95,$0.00,$0.00
Juices,1,0,$3.50,$0.00,-$0.00,$3.50,0.35%,$3.50,$0.00,$3.50
Taco A La Carte,1,0,$3.25,$0.00,-$0.00,$3.25,0.33%,$3.25,$0.00,$0.00
Side Cheese,1,0,$2.50,$0.00,-$0.00,$2.50,0.25%,$2.50,$0.00,$2.50
Side Pico de Gallo,1,0,$1.75,$0.00,-$0.00,$1.75,0.18%,$1.75,$0.00,$1.75
Side Flour Tortillas,1,0,$1.50,$0.00,-$0.00,$1.50,0.15%,$1.50,$0.00,$1.50
Sour Cream,1,0,$1.50,$0.00,-$0.00,$1.50,0.15%,$1.50,$0.00,$1.50
Water,7,0,$0.00,$0.00,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00

TOTAL,130,0,"$1,021.35",-$31.24,$0.00,$990.11,100.00%,$7.62,$35.80,$854.11
