Revenue Item Sales Report
"Jan 30, 2020 12:00 am - Jan 30, 2020 11:59 pm"
"Requested on: Apr 16, 2020 5:08 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,$771.60
Net Sales,$748.71
COGS,$17.90
Gross Profit,$527.81
Gross Profit Margin,70.50%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
Cubeta Modelo Especial,3,0,$75.00,$0.00,-$0.00,$75.00,10.02%,$25.00,$0.00,$0.00
Molcajete Mar Y Terra,1,0,$44.95,$0.00,-$0.00,$44.95,6.00%,$44.95,$0.00,$44.95
House Margarita,6,0,$48.00,-$8.00,-$0.00,$40.00,5.34%,$6.67,$0.00,$40.00
The Classic Enchiladas,4,0,$35.80,$0.00,-$0.00,$35.80,4.78%,$8.95,$0.00,$35.80
Cadillac Margarita,2,0,$32.00,$0.00,-$0.00,$32.00,4.27%,$16.00,$0.00,$32.00
Modelo Especial,8,0,$40.00,-$8.00,-$0.00,$32.00,4.27%,$4.00,$0.00,$0.00
Large Chile Relleno,2,0,$25.90,$0.00,-$0.00,$25.90,3.46%,$12.95,$0.00,$25.90
Cubeta Corona,1,0,$25.00,$0.00,-$0.00,$25.00,3.34%,$25.00,$0.00,$0.00
Cubeta mix,1,0,$25.00,$0.00,-$0.00,$25.00,3.34%,$25.00,$0.00,$0.00
bucket beer,1,0,$25.00,$0.00,-$0.00,$25.00,3.34%,$25.00,$0.00,$0.00
Jamaica,5,0,$22.50,$0.00,-$0.00,$22.50,3.01%,$4.50,$0.00,$22.50
Guacamole Full Size,2,0,$21.90,$0.00,-$0.00,$21.90,2.93%,$10.95,$17.90,$4.00
The Green Burrito,2,0,$21.90,$0.00,-$0.00,$21.90,2.93%,$10.95,$0.00,$21.90
Combination de Dos,2,0,$19.90,$0.00,-$0.00,$19.90,2.66%,$9.95,$0.00,$19.90
7 Mares,1,0,$18.95,$0.00,-$0.00,$18.95,2.53%,$18.95,$0.00,$18.95
Camarones,1,0,$17.95,$0.00,-$0.00,$17.95,2.40%,$17.95,$0.00,$17.95
Grilled Steak Fajitas,1,0,$17.95,$0.00,-$0.00,$17.95,2.40%,$17.95,$0.00,$17.95
Albondigas Soup,2,0,$17.90,$0.00,-$0.00,$17.90,2.39%,$8.95,$0.00,$17.90
Breakfast Burrito,2,0,$17.90,$0.00,-$0.00,$17.90,2.39%,$8.95,$0.00,$17.90
The Healthy Choice,2,0,$17.90,$0.00,-$0.00,$17.90,2.39%,$8.95,$0.00,$17.90
Grilled Chicken Plate,1,0,$16.95,$0.00,-$0.00,$16.95,2.26%,$16.95,$0.00,$16.95
Baja Fish Tacos,1,0,$14.95,$0.00,-$0.00,$14.95,2.00%,$14.95,$0.00,$14.95
Shrimp Caesar Salad,1,0,$14.95,$0.00,-$0.00,$14.95,2.00%,$14.95,$0.00,$14.95
Shrimp Enchilada Plate,1,0,$14.95,$0.00,-$0.00,$14.95,2.00%,$14.95,$0.00,$14.95
Bud Light,2,0,$13.95,$0.00,-$0.00,$13.95,1.86%,$6.98,$0.00,$13.95
Soft Drink,4,0,$13.00,$0.00,-$0.00,$13.00,1.74%,$3.25,$0.00,$13.00
Taco A La Carte,5,0,$13.00,$0.00,-$0.00,$13.00,1.74%,$2.60,$0.00,$0.00
Tropical Tostada,1,0,$12.95,$0.00,-$0.00,$12.95,1.73%,$12.95,$0.00,$12.95
Chile Relleno,2,0,$12.00,$0.00,-$0.00,$12.00,1.60%,$6.00,$0.00,$12.00
Bean & Cheese Burrito,1,0,$11.95,$0.00,-$0.00,$11.95,1.60%,$11.95,$0.00,$11.95
Carne Asada Fries,1,0,$11.95,$0.00,-$0.00,$11.95,1.60%,$11.95,$0.00,$11.95
Cheese Quesadilla,1,0,$7.95,$0.00,-$0.00,$7.95,1.06%,$7.95,$0.00,$7.95
Combination de Uno,1,0,$7.95,$0.00,-$0.00,$7.95,1.06%,$7.95,$0.00,$7.95
Grand Manier,1,0,$6.00,$0.00,-$0.00,$6.00,0.80%,$6.00,$0.00,$6.00
HH Guacamole,1,0,$7.95,-$2.39,-$0.00,$5.56,0.74%,$5.56,$0.00,$5.56
Guacamole half order,1,0,$6.00,-$1.50,-$0.00,$4.50,0.60%,$4.50,$0.00,$4.50
Corona,1,0,$5.00,-$1.00,-$0.00,$4.00,0.53%,$4.00,$0.00,$0.00
Michelo Ultra Light,1,0,$6.00,-$2.00,-$0.00,$4.00,0.53%,$4.00,$0.00,$0.00
Coffee,1,0,$2.75,$0.00,-$0.00,$2.75,0.37%,$2.75,$0.00,$2.75
Water,3,0,$0.00,$0.00,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00

TOTAL,80,0,$771.60,-$22.89,$0.00,$748.71,100.00%,$9.36,$17.90,$527.81
