Revenue Item Sales Report
"Nov 08, 2019 12:00 am - Nov 08, 2019 11:59 pm"
"Requested on: Apr 16, 2020 4:29 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$1,938.75"
Net Sales,"$1,777.11"
COGS,$35.80
Gross Profit,"$1,477.44"
Gross Profit Margin,83.14%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
House Margarita,29,0,$239.00,-$38.00,-$0.00,$201.00,11.31%,$6.93,$0.00,$201.00
Grande Mixed Fajitas,7,0,$174.65,-$6.24,-$0.00,$168.41,9.48%,$24.06,$0.00,$168.41
Cadillac Margarita,9,0,$162.00,$0.00,-$0.00,$162.00,9.12%,$18.00,$0.00,$162.00
Combination de Dos,12,0,$121.40,-$9.95,-$0.00,$111.45,6.27%,$9.29,$0.00,$111.45
Carne Asada Plate,4,0,$71.80,$0.00,-$0.00,$71.80,4.04%,$17.95,$0.00,$71.80
Grilled Chicken Fajitas,4,0,$67.80,$0.00,-$0.00,$67.80,3.82%,$16.95,$0.00,$67.80
Dona Margarita,5,0,$60.00,$0.00,-$0.00,$60.00,3.38%,$12.00,$0.00,$60.00
Combination de Tres,4,0,$47.80,$0.00,-$0.00,$47.80,2.69%,$11.95,$0.00,$47.80
Guacamole Full Size,4,0,$43.80,$0.00,-$0.00,$43.80,2.46%,$10.95,$35.80,$8.00
Camarones Costa Azul,2,0,$39.90,$0.00,-$0.00,$39.90,2.25%,$19.95,$0.00,$39.90
Soft Drink,10,0,$32.50,$0.00,-$0.00,$32.50,1.83%,$3.25,$0.00,$32.50
Mojarra,2,0,$31.90,$0.00,-$0.00,$31.90,1.80%,$15.95,$0.00,$31.90
Grilled Chicken Burrito,2,0,$30.90,$0.00,-$0.00,$30.90,1.74%,$15.45,$0.00,$30.90
Custom Item,1,0,$30.00,$0.00,-$0.00,$30.00,1.69%,$30.00,$0.00,$0.00
Shred Chicken Burrito,2,0,$29.90,$0.00,-$0.00,$29.90,1.68%,$14.95,$0.00,$29.90
Carne Asada Burrito,2,0,$27.90,$0.00,-$0.00,$27.90,1.57%,$13.95,$0.00,$27.90
Dos XX,5,0,$31.00,-$5.00,-$0.00,$26.00,1.46%,$5.20,$0.00,$0.00
Corona,6,0,$30.00,-$5.00,-$0.00,$25.00,1.41%,$4.17,$0.00,$0.00
Carne Asada Fries,3,0,$35.85,-$11.95,-$0.00,$23.90,1.34%,$7.97,$0.00,$23.90
Taco A La Carte,7,0,$20.00,$0.00,-$0.00,$20.00,1.13%,$2.86,$0.00,$0.00
Blackened Salmon,1,0,$19.95,$0.00,-$0.00,$19.95,1.12%,$19.95,$0.00,$19.95
Camarones Aguachiles,1,0,$19.95,$0.00,-$0.00,$19.95,1.12%,$19.95,$0.00,$19.95
"Flauta Appetizer ",2,0,$18.90,$0.00,-$0.00,$18.90,1.06%,$9.45,$0.00,$18.90
