Revenue Item Sales Report
"Nov 26, 2019 12:00 am - Nov 26, 2019 11:59 pm"
"Requested on: Apr 16, 2020 4:35 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,$783.25
Net Sales,$717.47
COGS,$8.95
Gross Profit,$487.02
Gross Profit Margin,67.88%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
Custom Item,8,0,$160.00,$0.00,-$0.00,$160.00,22.30%,$20.00,$0.00,$0.00
House Margarita,8,0,$74.00,-$16.00,-$0.00,$58.00,8.08%,$7.25,$0.00,$58.00
Taco Tuesday,8,0,$40.00,$0.00,-$0.00,$40.00,5.58%,$5.00,$0.00,$40.00
Menudo Soup,3,0,$35.85,$0.00,-$0.00,$35.85,5.00%,$11.95,$0.00,$35.85
Combination de Dos,3,0,$29.85,$0.00,-$0.00,$29.85,4.16%,$9.95,$0.00,$29.85
White Russian,3,0,$24.00,$0.00,-$0.00,$24.00,3.35%,$8.00,$0.00,$0.00
Pozole,2,0,$21.90,$0.00,-$0.00,$21.90,3.05%,$10.95,$0.00,$21.90
Deep Fried Ice Cream,3,0,$20.85,$0.00,-$0.00,$20.85,2.91%,$6.95,$0.00,$20.85
Camarones,1,0,$17.95,$0.00,-$0.00,$17.95,2.50%,$17.95,$0.00,$17.95
Tequila Shrimp Fettuccini,1,0,$17.95,$0.00,-$0.00,$17.95,2.50%,$17.95,$0.00,$17.95
KIDS Chicken Strips,2,0,$17.90,$0.00,-$0.00,$17.90,2.49%,$8.95,$0.00,$17.90
Grilled Chicken Fajitas,1,0,$16.95,$0.00,-$0.00,$16.95,2.36%,$16.95,$0.00,$16.95
Soft Drink,5,0,$16.25,$0.00,-$0.00,$16.25,2.26%,$3.25,$0.00,$16.25
Cazadores,2,0,$16.00,$0.00,-$0.00,$16.00,2.23%,$8.00,$0.00,$16.00
Shrimp Enchilada Plate,1,0,$14.95,$0.00,-$0.00,$14.95,2.08%,$14.95,$0.00,$14.95
Taco A La Carte,4,0,$14.50,$0.00,-$0.00,$14.50,2.02%,$3.63,$0.00,$0.00
Montejo,2,0,$13.95,$0.00,-$0.00,$13.95,1.94%,$6.98,$0.00,$13.95
Coffee,5,0,$13.75,$0.00,-$0.00,$13.75,1.92%,$2.75,$0.00,$13.75
Horchata,3,0,$13.50,$0.00,-$0.00,$13.50,1.88%,$4.50,$0.00,$13.50
Jamaica,3,0,$13.50,$0.00,-$0.00,$13.50,1.88%,$4.50,$0.00,$13.50
S Shrimp Margarita,1,0,$17.95,-$4.49,-$0.00,$13.46,1.88%,$13.46,$0.00,$13.46
Cadillac Margarita,1,0,$12.00,$0.00,-$0.00,$12.00,1.67%,$12.00,$0.00,$12.00
Guacamole Full Size,1,0,$10.95,$0.00,-$0.00,$10.95,1.53%,$10.95,$8.95,$2.00
Machaca Con Huevo,1,0,$10.95,$0.00,-$0.00,$10.95,1.53%,$10.95,$0.00,$10.95
Modelo Especial,2,0,$10.00,$0.00,-$0.00,$10.00,1.39%,$5.00,$0.00,$0.00
Burrito A La Carte,1,0,$9.50,$0.00,-$0.00,$9.50,1.32%,$9.50,$0.00,$9.50
Champagne,3,0,$9.00,$0.00,-$0.00,$9.00,1.25%,$3.00,$0.00,$9.00
The Great Panino,1,0,$8.95,$0.00,-$0.00,$8.95,1.25%,$8.95,$0.00,$8.95
The Healthy Choice,1,0,$8.95,$0.00,-$0.00,$8.95,1.25%,$8.95,$0.00,$8.95
Combination de Uno,1,0,$7.95,$0.00,-$0.00,$7.95,1.11%,$7.95,$0.00,$7.95
Albondigas Soup,2,0,$17.90,-$11.19,-$0.00,$6.71,0.94%,$3.36,$0.00,$6.71
Beans dip,1,0,$6.00,$0.00,-$0.00,$6.00,0.84%,$6.00,$0.00,$0.00
Chile Relleno,1,0,$6.00,$0.00,-$0.00,$6.00,0.84%,$6.00,$0.00,$6.00
Churros,1,0,$4.95,$0.00,-$0.00,$4.95,0.69%,$4.95,$0.00,$4.95
Pacifico,1,0,$5.00,-$1.00,-$0.00,$4.00,0.56%,$4.00,$0.00,$0.00
Side Guacamole,1,0,$3.00,$0.00,-$0.00,$3.00,0.42%,$3.00,$0.00,$3.00
Side of fruit,1,0,$3.00,$0.00,-$0.00,$3.00,0.42%,$3.00,$0.00,$0.00
Side Cheese,1,0,$2.50,$0.00,-$0.00,$2.50,0.35%,$2.50,$0.00,$2.50
Kids Drink Only,1,0,$2.00,$0.00,-$0.00,$2.00,0.28%,$2.00,$0.00,$2.00
Carne Asada Fries,1,0,$11.95,-$11.95,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00
KIDS Cheeseburger,1,0,$8.95,-$8.95,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00
KIDS Hamburger,1,0,$8.95,-$8.95,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00
Side Pico de Gallo,1,0,$1.75,-$1.75,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00
Side Spicy Salsa,1,0,$1.50,-$1.50,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00
Water,4,0,$0.00,$0.00,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00

TOTAL,100,0,$783.25,-$65.78,$0.00,$717.47,100.00%,$7.17,$8.95,$487.02
