Revenue Item Sales Report
"Nov 16, 2019 12:00 am - Nov 16, 2019 11:59 pm"
"Requested on: Apr 16, 2020 4:32 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$1,111.65"
Net Sales,"$1,109.52"
COGS,$17.90
Gross Profit,$952.24
Gross Profit Margin,85.82%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
House Margarita,14,0,$116.00,$0.00,-$0.00,$116.00,10.45%,$8.29,$0.00,$116.00
Combination de Dos,8,0,$81.60,$0.00,-$0.00,$81.60,7.35%,$10.20,$0.00,$81.60
Carne Asada Plate,3,0,$53.85,$0.00,-$0.00,$53.85,4.85%,$17.95,$0.00,$53.85
Grande Mixed Fajitas,2,0,$49.90,$0.00,-$0.00,$49.90,4.50%,$24.95,$0.00,$49.90
Tostada De Ceviche,4,0,$45.80,$0.00,-$0.00,$45.80,4.13%,$11.45,$0.00,$45.80
Blackened Salmon,2,0,$39.90,$0.00,-$0.00,$39.90,3.60%,$19.95,$0.00,$39.90
Combination de Uno,5,0,$39.75,$0.00,-$0.00,$39.75,3.58%,$7.95,$0.00,$39.75
Combination de Tres,3,0,$39.85,-$0.22,-$0.00,$39.63,3.57%,$13.21,$0.00,$39.63
Shrimp Fajitas,2,0,$39.90,-$0.37,-$0.00,$39.53,3.56%,$19.77,$0.00,$39.53
Soft Drink,12,0,$39.00,-$0.18,-$0.00,$38.82,3.50%,$3.24,$0.00,$38.82
"Cocktail ""Vuelve A La Vida""",2,0,$37.90,$0.00,-$0.00,$37.90,3.42%,$18.95,$0.00,$37.90
Michelo Ultra Light,2,0,$28.00,$0.00,-$0.00,$28.00,2.52%,$14.00,$0.00,$0.00
Breakfast Burrito,3,0,$26.85,$0.00,-$0.00,$26.85,2.42%,$8.95,$0.00,$26.85
Bud Light,4,0,$26.00,$0.00,-$0.00,$26.00,2.34%,$6.50,$0.00,$26.00
Negra Modelo,3,0,$24.00,$0.00,-$0.00,$24.00,2.16%,$8.00,$0.00,$0.00
Guacamole Full Size,2,0,$21.90,$0.00,-$0.00,$21.90,1.97%,$10.95,$17.90,$4.00
Pacifico,4,0,$20.00,$0.00,-$0.00,$20.00,1.80%,$5.00,$0.00,$0.00
Camarones Costa Azul,1,0,$19.95,$0.00,-$0.00,$19.95,1.80%,$19.95,$0.00,$19.95
Brandy,2,0,$18.00,$0.00,-$0.00,$18.00,1.62%,$9.00,$0.00,$0.00
Cadillac Margarita,1,0,$18.00,$0.00,-$0.00,$18.00,1.62%,$18.00,$0.00,$18.00
Horchata,4,0,$18.00,$0.00,-$0.00,$18.00,1.62%,$4.50,$0.00,$18.00
Grilled Chicken Fajitas,1,0,$16.95,$0.00,-$0.00,$16.95,1.53%,$16.95,$0.00,$16.95
Mojarra,1,0,$15.95,$0.00,-$0.00,$15.95,1.44%,$15.95,$0.00,$15.95
Corona,3,0,$15.00,$0.00,-$0.00,$15.00,1.35%,$5.00,$0.00,$0.00
Nachos Vaqueros,1,0,$14.95,$0.00,-$0.00,$14.95,1.35%,$14.95,$0.00,$14.95
Dinner Salad,3,0,$14.85,$0.00,-$0.00,$14.85,1.34%,$4.95,$0.00,$14.85
Montejo,2,0,$14.00,$0.00,-$0.00,$14.00,1.26%,$7.00,$0.00,$14.00
Shred Beef Burrito,1,0,$13.95,$0.00,-$0.00,$13.95,1.26%,$13.95,$0.00,$13.95
Tostadas Mixtas,1,0,$13.95,$0.00,-$0.00,$13.95,1.26%,$13.95,$0.00,$13.95
Deep Fried Ice Cream,2,0,$13.90,$0.00,-$0.00,$13.90,1.25%,$6.95,$0.00,$13.90
Carne Asada Burrito,1,0,$12.95,$0.00,-$0.00,$12.95,1.17%,$12.95,$0.00,$12.95
Carnitas Burrito,1,0,$12.95,$0.00,-$0.00,$12.95,1.17%,$12.95,$0.00,$12.95
Chicken Cilantro Salad,1,0,$12.95,$0.00,-$0.00,$12.95,1.17%,$12.95,$0.00,$12.95
Guacamole half order,2,0,$12.00,$0.00,-$0.00,$12.00,1.08%,$6.00,$0.00,$12.00
White Zinfandel,2,0,$12.00,$0.00,-$0.00,$12.00,1.08%,$6.00,$0.00,$0.00
Carne Asada Fries,1,0,$11.95,$0.00,-$0.00,$11.95,1.08%,$11.95,$0.00,$11.95
Menudo Soup,1,0,$11.95,$0.00,-$0.00,$11.95,1.08%,$11.95,$0.00,$11.95
Cheese Quesadilla,1,0,$10.95,$0.00,-$0.00,$10.95,0.99%,$10.95,$0.00,$10.95
Machaca Con Huevo,1,0,$10.95,$0.00,-$0.00,$10.95,0.99%,$10.95,$0.00,$10.95
Huevos Rancheros,1,0,$9.95,$0.00,-$0.00,$9.95,0.90%,$9.95,$0.00,$9.95
KIDS Chicken Enchilada,1,0,$8.95,$0.00,-$0.00,$8.95,0.81%,$8.95,$0.00,$8.95
Albondigas Soup,1,0,$8.95,-$0.16,-$0.00,$8.79,0.79%,$8.79,$0.00,$8.79
Grey Goose,1,0,$8.00,$0.00,-$0.00,$8.00,0.72%,$8.00,$0.00,$0.00
Coffee,2,0,$5.50,$0.00,-$0.00,$5.50,0.50%,$2.75,$0.00,$5.50
Modelo Especial,1,0,$5.00,$0.00,-$0.00,$5.00,0.45%,$5.00,$0.00,$0.00
Enchilada A La Carte,2,0,$5.50,-$0.62,-$0.00,$4.88,0.44%,$2.44,$0.00,$0.00
Side Guacamole,1,0,$3.00,$0.00,-$0.00,$3.00,0.27%,$3.00,$0.00,$3.00
Taco A La Carte,1,0,$3.00,$0.00,-$0.00,$3.00,0.27%,$3.00,$0.00,$0.00
Side Beans,1,0,$2.00,-$0.04,-$0.00,$1.96,0.18%,$1.96,$0.00,$1.96
Side Rice,1,0,$2.00,-$0.04,-$0.00,$1.96,0.18%,$1.96,$0.00,$1.96
