Revenue Item Sales Report
"Nov 24, 2019 12:00 am - Nov 24, 2019 11:59 pm"
"Requested on: Apr 16, 2020 4:34 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$4,484.90"
Net Sales,"$4,416.00"
COGS,$35.80
Gross Profit,"$4,186.50"
Gross Profit Margin,94.80%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
Sunday Brunch (Adult),149,0,"$2,972.55",-$57.85,-$0.00,"$2,914.70",66.00%,$19.56,$0.00,"$2,914.70"
Sunday Brunch (Kids),23,0,$228.85,$0.00,-$0.00,$228.85,5.18%,$9.95,$0.00,$228.85
House Margarita,15,0,$105.00,$0.00,-$0.00,$105.00,2.38%,$7.00,$0.00,$105.00
Soft Drink,28,0,$91.00,-$0.82,-$0.00,$90.18,2.04%,$3.22,$0.00,$90.18
Combination de Dos,7,0,$75.65,-$3.25,-$0.00,$72.40,1.64%,$10.34,$0.00,$72.40
Grilled Chicken Burrito,4,0,$60.80,$0.00,-$0.00,$60.80,1.38%,$15.20,$0.00,$60.80
Carne Asada Plate,3,0,$53.85,$0.00,-$0.00,$53.85,1.22%,$17.95,$0.00,$53.85
Menudo Soup,4,0,$47.80,-$2.99,-$0.00,$44.81,1.01%,$11.20,$0.00,$44.81
Baja Fish Tacos,3,0,$44.85,-$1.15,-$0.00,$43.70,0.99%,$14.57,$0.00,$43.70
Guacamole Full Size,4,0,$43.80,-$0.84,-$0.00,$42.96,0.97%,$10.74,$35.80,$7.16
Mimosa with Sunday Brunch,8,0,$40.00,$0.00,-$0.00,$40.00,0.91%,$5.00,$0.00,$40.00
Combination de Tres,3,0,$39.85,$0.00,-$0.00,$39.85,0.90%,$13.28,$0.00,$39.85
"Cocktail ""Vuelve A La Vida""",2,0,$37.90,$0.00,-$0.00,$37.90,0.86%,$18.95,$0.00,$37.90
Camarones,2,0,$35.90,$0.00,-$0.00,$35.90,0.81%,$17.95,$0.00,$35.90
Combination de Uno,4,0,$35.80,$0.00,-$0.00,$35.80,0.81%,$8.95,$0.00,$35.80
Champagne with Sunday Brunch,6,0,$30.00,$0.00,-$0.00,$30.00,0.68%,$5.00,$0.00,$30.00
Cheese Quesadilla,3,0,$29.85,$0.00,-$0.00,$29.85,0.68%,$9.95,$0.00,$29.85
"Flauta Appetizer ",3,0,$29.85,$0.00,-$0.00,$29.85,0.68%,$9.95,$0.00,$29.85
Carnitas Burrito,2,0,$27.90,$0.00,-$0.00,$27.90,0.63%,$13.95,$0.00,$27.90
Cadillac Margarita,3,0,$27.00,$0.00,-$0.00,$27.00,0.61%,$9.00,$0.00,$27.00
Taco A La Carte,8,0,$26.50,$0.00,-$0.00,$26.50,0.60%,$3.31,$0.00,$0.00
Bloody Mary,3,0,$24.00,$0.00,-$0.00,$24.00,0.54%,$8.00,$0.00,$0.00
Coors Light,6,0,$24.00,$0.00,-$0.00,$24.00,0.54%,$4.00,$0.00,$0.00
Negra Modelo,4,0,$23.00,$0.00,-$0.00,$23.00,0.52%,$5.75,$0.00,$0.00
Bean & Cheese Burrito,2,0,$21.90,$0.00,-$0.00,$21.90,0.50%,$10.95,$0.00,$21.90
Chilaquiles Rojos,2,0,$21.90,$0.00,-$0.00,$21.90,0.50%,$10.95,$0.00,$21.90
Pacifico,4,0,$20.00,$0.00,-$0.00,$20.00,0.45%,$5.00,$0.00,$0.00
Blackened Salmon,1,0,$19.95,$0.00,-$0.00,$19.95,0.45%,$19.95,$0.00,$19.95
Crown Royal,2,0,$18.00,$0.00,-$0.00,$18.00,0.41%,$9.00,$0.00,$0.00
S Shrimp Margarita,1,0,$17.95,$0.00,-$0.00,$17.95,0.41%,$17.95,$0.00,$17.95
Cocktail De Camaron,1,0,$16.95,$0.00,-$0.00,$16.95,0.38%,$16.95,$0.00,$16.95
Grilled Chicken Fajitas,1,0,$16.95,$0.00,-$0.00,$16.95,0.38%,$16.95,$0.00,$16.95
Mojarra,1,0,$15.95,$0.00,-$0.00,$15.95,0.36%,$15.95,$0.00,$15.95
Corona Light,3,0,$15.00,$0.00,-$0.00,$15.00,0.34%,$5.00,$0.00,$0.00
Shrimp Caesar Salad,1,0,$14.95,$0.00,-$0.00,$14.95,0.34%,$14.95,$0.00,$14.95
Skiny Margarita,1,0,$14.00,$0.00,-$0.00,$14.00,0.32%,$14.00,$0.00,$14.00
Mexican Flan,3,0,$13.50,$0.00,-$0.00,$13.50,0.31%,$4.50,$0.00,$13.50
Chicken Caesar Salad,1,0,$12.95,$0.00,-$0.00,$12.95,0.29%,$12.95,$0.00,$12.95
Modelo Especial,2,0,$13.00,-$0.80,-$0.00,$12.20,0.28%,$6.10,$0.00,$0.00
Bud Light,2,0,$12.00,-$1.20,-$0.00,$10.80,0.24%,$5.40,$0.00,$10.80
Stella,2,0,$10.00,$0.00,-$0.00,$10.00,0.23%,$5.00,$0.00,$0.00
Jack Daniels,1,0,$9.00,$0.00,-$0.00,$9.00,0.20%,$9.00,$0.00,$0.00
