Revenue Item Sales Report
"Nov 25, 2019 12:00 am - Nov 25, 2019 11:59 pm"
"Requested on: Apr 16, 2020 4:35 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,$601.65
Net Sales,$540.28
COGS,$0.00
Gross Profit,$483.28
Gross Profit Margin,89.45%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
Pacifico,6,0,$39.00,$0.00,-$0.00,$39.00,7.22%,$6.50,$0.00,$0.00
"Cocktail ""Vuelve A La Vida""",2,0,$37.90,$0.00,-$0.00,$37.90,7.01%,$18.95,$0.00,$37.90
MONDAY Margarita,12,0,$84.00,-$48.00,-$0.00,$36.00,6.66%,$3.00,$0.00,$36.00
Carne Asada Plate,2,0,$35.90,$0.00,-$0.00,$35.90,6.64%,$17.95,$0.00,$35.90
Carne Asada Fries,3,0,$35.85,$0.00,-$0.00,$35.85,6.64%,$11.95,$0.00,$35.85
Combination de Tres,3,0,$35.85,$0.00,-$0.00,$35.85,6.64%,$11.95,$0.00,$35.85
Tostada De Ceviche,3,0,$35.85,$0.00,-$0.00,$35.85,6.64%,$11.95,$0.00,$35.85
Combination de Dos,3,0,$33.85,$0.00,-$0.00,$33.85,6.27%,$11.28,$0.00,$33.85
Soft Drink,10,0,$32.50,$0.00,-$0.00,$32.50,6.02%,$3.25,$0.00,$32.50
Tequila Shrimp Fettuccini,2,0,$35.90,-$8.98,-$0.00,$26.92,4.98%,$13.46,$0.00,$26.92
The Classic Enchiladas,3,0,$26.85,$0.00,-$0.00,$26.85,4.97%,$8.95,$0.00,$26.85
Shrimp Fajitas,1,0,$19.95,$0.00,-$0.00,$19.95,3.69%,$19.95,$0.00,$19.95
Shrimp Burrito,1,0,$17.95,$0.00,-$0.00,$17.95,3.32%,$17.95,$0.00,$17.95
Campechana Cocktail,1,0,$16.95,$0.00,-$0.00,$16.95,3.14%,$16.95,$0.00,$16.95
Grilled Chicken Fajitas,1,0,$16.95,$0.00,-$0.00,$16.95,3.14%,$16.95,$0.00,$16.95
Mojarra,1,0,$15.95,$0.00,-$0.00,$15.95,2.95%,$15.95,$0.00,$15.95
Filet,1,0,$14.95,$0.00,-$0.00,$14.95,2.77%,$14.95,$0.00,$14.95
Negra Modelo,2,0,$10.00,$0.00,-$0.00,$10.00,1.85%,$5.00,$0.00,$0.00
Dinner Salad,2,0,$9.90,$0.00,-$0.00,$9.90,1.83%,$4.95,$0.00,$9.90
Albondigas Soup,1,0,$8.95,$0.00,-$0.00,$8.95,1.66%,$8.95,$0.00,$8.95
Modelo Especial,2,0,$10.00,-$2.00,-$0.00,$8.00,1.48%,$4.00,$0.00,$0.00
Combination de Uno,1,0,$7.95,$0.00,-$0.00,$7.95,1.47%,$7.95,$0.00,$7.95
Guacamole half order,1,0,$6.00,$0.00,-$0.00,$6.00,1.11%,$6.00,$0.00,$6.00
HH Flauta Appetizer,1,0,$7.95,-$2.39,-$0.00,$5.56,1.03%,$5.56,$0.00,$5.56
Tea,1,0,$2.75,$0.00,-$0.00,$2.75,0.51%,$2.75,$0.00,$2.75
Kids Drink Only,1,0,$2.00,$0.00,-$0.00,$2.00,0.37%,$2.00,$0.00,$2.00
Water,6,0,$0.00,$0.00,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00

TOTAL,73,0,$601.65,-$61.37,$0.00,$540.28,100.00%,$7.40,$0.00,$483.28
