Revenue Item Sales Report
"Oct 06, 2019 12:00 am - Oct 06, 2019 11:59 pm"
"Requested on: Apr 16, 2020 4:11 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$2,357.65"
Net Sales,"$2,301.85"
COGS,$8.95
Gross Profit,"$2,217.65"
Gross Profit Margin,96.34%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
Sunday Brunch (Adult),71,0,"$1,416.45",$0.00,-$0.00,"$1,416.45",61.54%,$19.95,$0.00,"$1,416.45"
Sunday Brunch (Kids),14,0,$139.30,$0.00,-$0.00,$139.30,6.05%,$9.95,$0.00,$139.30
Soft Drink,26,0,$84.50,$0.00,-$0.00,$84.50,3.67%,$3.25,$0.00,$84.50
Parrilla Para Dos,2,0,$79.90,$0.00,-$0.00,$79.90,3.47%,$39.95,$0.00,$79.90
Cadillac Margarita,5,0,$60.00,$0.00,-$0.00,$60.00,2.61%,$12.00,$0.00,$60.00
Combination de Dos,6,0,$69.70,-$9.95,-$0.00,$59.75,2.60%,$9.96,$0.00,$59.75
House Margarita,5,0,$38.00,$0.00,-$0.00,$38.00,1.65%,$7.60,$0.00,$38.00
Combination de Tres,4,0,$51.80,-$13.95,-$0.00,$37.85,1.64%,$9.46,$0.00,$37.85
Mimosa with Sunday Brunch,7,0,$35.00,$0.00,-$0.00,$35.00,1.52%,$5.00,$0.00,$35.00
Baja Fish Tacos,2,0,$29.90,$0.00,-$0.00,$29.90,1.30%,$14.95,$0.00,$29.90
Grilled Chicken Burrito,2,0,$29.90,$0.00,-$0.00,$29.90,1.30%,$14.95,$0.00,$29.90
Carne Asada Burrito,2,0,$27.90,$0.00,-$0.00,$27.90,1.21%,$13.95,$0.00,$27.90
Menudo Soup,2,0,$23.90,$0.00,-$0.00,$23.90,1.04%,$11.95,$0.00,$23.90
Shrimp Burrito,1,0,$18.95,$0.00,-$0.00,$18.95,0.82%,$18.95,$0.00,$18.95
Corona,3,0,$18.00,$0.00,-$0.00,$18.00,0.78%,$6.00,$0.00,$0.00
Cocktail De Camaron,1,0,$16.95,$0.00,-$0.00,$16.95,0.74%,$16.95,$0.00,$16.95
Taco A La Carte,5,0,$16.25,$0.00,-$0.00,$16.25,0.71%,$3.25,$0.00,$0.00
Mojito,2,0,$16.00,$0.00,-$0.00,$16.00,0.70%,$8.00,$0.00,$0.00
Chicken Fettuccini,1,0,$15.95,$0.00,-$0.00,$15.95,0.69%,$15.95,$0.00,$15.95
Flautas,2,0,$15.90,$0.00,-$0.00,$15.90,0.69%,$7.95,$0.00,$15.90
Tropical Tostada,1,0,$12.95,$0.00,-$0.00,$12.95,0.56%,$12.95,$0.00,$12.95
Guacamole,1,0,$12.00,$0.00,-$0.00,$12.00,0.52%,$12.00,$8.95,$3.05
Kids Drink Only,6,0,$12.00,$0.00,-$0.00,$12.00,0.52%,$2.00,$0.00,$12.00
Carne Asada Fries,2,0,$23.90,-$11.95,-$0.00,$11.95,0.52%,$5.98,$0.00,$11.95
Queso Fundido,1,0,$9.95,$0.00,-$0.00,$9.95,0.43%,$9.95,$0.00,$9.95
Horchata,2,0,$9.00,$0.00,-$0.00,$9.00,0.39%,$4.50,$0.00,$9.00
Modelo Especial,1,0,$8.00,$0.00,-$0.00,$8.00,0.35%,$8.00,$0.00,$0.00
Pina Colada,1,0,$8.00,$0.00,-$0.00,$8.00,0.35%,$8.00,$0.00,$0.00
Combination de Uno,1,0,$7.95,$0.00,-$0.00,$7.95,0.35%,$7.95,$0.00,$7.95
change,1,0,$5.00,$0.00,-$0.00,$5.00,0.22%,$5.00,$0.00,$0.00
Dinner Salad,1,0,$4.95,$0.00,-$0.00,$4.95,0.22%,$4.95,$0.00,$4.95
Jamica,1,0,$4.50,$0.00,-$0.00,$4.50,0.20%,$4.50,$0.00,$4.50
Bud Light,1,0,$4.00,$0.00,-$0.00,$4.00,0.17%,$4.00,$0.00,$0.00
Juices,1,0,$3.50,$0.00,-$0.00,$3.50,0.15%,$3.50,$0.00,$3.50
Side French Fries,1,0,$3.50,$0.00,-$0.00,$3.50,0.15%,$3.50,$0.00,$3.50
Coffee,1,0,$2.75,$0.00,-$0.00,$2.75,0.12%,$2.75,$0.00,$2.75
Side Corn Tortillas,1,0,$1.50,$0.00,-$0.00,$1.50,0.07%,$1.50,$0.00,$1.50
Camarones Aguachiles,1,0,$19.95,-$19.95,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00
Water,2,0,$0.00,$0.00,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00

TOTAL,190,0,"$2,357.65",-$55.80,$0.00,"$2,301.85",100.00%,$12.12,$8.95,"$2,217.65"
