Revenue Item Sales Report
"Oct 14, 2019 12:00 am - Oct 14, 2019 11:59 pm"
"Requested on: Apr 16, 2020 4:16 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,$857.70
Net Sales,$700.41
COGS,$8.95
Gross Profit,$593.01
Gross Profit Margin,84.67%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
MONDAY Margarita,38,0,$266.00,-$152.00,-$0.00,$114.00,16.28%,$3.00,$0.00,$114.00
Combination de Tres,7,0,$85.65,$0.00,-$0.00,$85.65,12.23%,$12.24,$0.00,$85.65
Combination de Dos,8,0,$81.60,$0.00,-$0.00,$81.60,11.65%,$10.20,$0.00,$81.60
tasting,1,0,$60.00,$0.00,-$0.00,$60.00,8.57%,$60.00,$0.00,$0.00
Chilaquiles Rojos,3,0,$32.85,$0.00,-$0.00,$32.85,4.69%,$10.95,$0.00,$32.85
Nachos Vaqueros,2,0,$26.90,$0.00,-$0.00,$26.90,3.84%,$13.45,$0.00,$26.90
Grande Mixed Fajitas,1,0,$24.95,$0.00,-$0.00,$24.95,3.56%,$24.95,$0.00,$24.95
Cadillac Margarita,1,0,$20.00,$0.00,-$0.00,$20.00,2.86%,$20.00,$0.00,$20.00
Steak Tampiqueno,1,0,$19.95,$0.00,-$0.00,$19.95,2.85%,$19.95,$0.00,$19.95
Soft Drink,6,0,$19.50,$0.00,-$0.00,$19.50,2.78%,$3.25,$0.00,$19.50
"S Chicken Florentine ",1,0,$15.95,$0.00,-$0.00,$15.95,2.28%,$15.95,$0.00,$15.95
Combination de Uno,2,0,$15.90,$0.00,-$0.00,$15.90,2.27%,$7.95,$0.00,$15.90
Carne Asada Fries,1,0,$11.95,$0.00,-$0.00,$11.95,1.71%,$11.95,$0.00,$11.95
Tostada De Ceviche,1,0,$11.95,$0.00,-$0.00,$11.95,1.71%,$11.95,$0.00,$11.95
Cheese Quesadilla,1,0,$10.95,$0.00,-$0.00,$10.95,1.56%,$10.95,$0.00,$10.95
bean dip no cebolla,1,0,$9.95,$0.00,-$0.00,$9.95,1.42%,$9.95,$0.00,$0.00
Champagne,3,0,$9.00,$0.00,-$0.00,$9.00,1.28%,$3.00,$0.00,$9.00
Double Dare Tacos,1,0,$8.95,$0.00,-$0.00,$8.95,1.28%,$8.95,$0.00,$8.95
KIDS Cheese Quesadilla,1,0,$8.95,$0.00,-$0.00,$8.95,1.28%,$8.95,$0.00,$8.95
The Classic Enchiladas,1,0,$8.95,$0.00,-$0.00,$8.95,1.28%,$8.95,$0.00,$8.95
The Healthy Choice,1,0,$8.95,$0.00,-$0.00,$8.95,1.28%,$8.95,$0.00,$8.95
Pina Colada,1,0,$8.00,$0.00,-$0.00,$8.00,1.14%,$8.00,$0.00,$0.00
Taquito A La Carte,4,0,$8.00,$0.00,-$0.00,$8.00,1.14%,$2.00,$0.00,$0.00
"Flauta Appetizer ",1,0,$7.95,$0.00,-$0.00,$7.95,1.14%,$7.95,$0.00,$7.95
Guacamole,1,0,$10.95,-$3.29,-$0.00,$7.66,1.09%,$7.66,$8.95,-$1.29
Corona,1,0,$8.00,-$1.00,-$0.00,$7.00,1.00%,$7.00,$0.00,$0.00
Deep Fried Ice Cream,1,0,$6.95,$0.00,-$0.00,$6.95,0.99%,$6.95,$0.00,$6.95
Grand Manier,1,0,$6.00,$0.00,-$0.00,$6.00,0.86%,$6.00,$0.00,$6.00
Motejo,1,0,$6.00,$0.00,-$0.00,$6.00,0.86%,$6.00,$0.00,$6.00
Side Guacamole,2,0,$6.00,$0.00,-$0.00,$6.00,0.86%,$3.00,$0.00,$6.00
Coffee,2,0,$5.50,$0.00,-$0.00,$5.50,0.79%,$2.75,$0.00,$5.50
Tea,2,0,$5.50,$0.00,-$0.00,$5.50,0.79%,$2.75,$0.00,$5.50
Horchata,1,0,$4.50,$0.00,-$0.00,$4.50,0.64%,$4.50,$0.00,$4.50
Side French Fries,1,0,$3.50,$0.00,-$0.00,$3.50,0.50%,$3.50,$0.00,$3.50
Bud Light,1,0,$4.00,-$1.00,-$0.00,$3.00,0.43%,$3.00,$0.00,$0.00
Enchilada A La Carte,1,0,$2.50,$0.00,-$0.00,$2.50,0.36%,$2.50,$0.00,$0.00
Side Beans,1,0,$2.00,$0.00,-$0.00,$2.00,0.29%,$2.00,$0.00,$2.00
Side Rice,1,0,$2.00,$0.00,-$0.00,$2.00,0.29%,$2.00,$0.00,$2.00
Side Flour Tortillas,1,0,$1.50,$0.00,-$0.00,$1.50,0.21%,$1.50,$0.00,$1.50
Custom Item,1,0,$0.00,$0.00,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00
Water,9,0,$0.00,$0.00,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00

TOTAL,116,0,$857.70,-$157.29,$0.00,$700.41,100.00%,$6.04,$8.95,$593.01
