Revenue Item Sales Report
"Oct 18, 2019 12:00 am - Oct 18, 2019 11:59 pm"
"Requested on: Apr 16, 2020 4:18 pm"
Filters: none

Items: All
Item Type:Revenue Items
"The report reflects all revenue items in paid, partially paid, partially refunded and refunded status. Does not include open orders."


Gross Sales,"$1,247.65"
Net Sales,"$1,224.87"
COGS,$17.90
Gross Profit,$985.97
Gross Profit Margin,80.50%

Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Gross Profit
Camarones Costa Azul,4,0,$79.80,$0.00,-$0.00,$79.80,6.51%,$19.95,$0.00,$79.80
House Margarita,10,0,$70.00,-$4.00,-$0.00,$66.00,5.39%,$6.60,$0.00,$66.00
Combination de Dos,5,0,$51.75,$0.00,-$0.00,$51.75,4.22%,$10.35,$0.00,$51.75
Cocktail De Camaron,3,0,$50.85,$0.00,-$0.00,$50.85,4.15%,$16.95,$0.00,$50.85
Molcajete Mar Y Terra,1,0,$44.95,$0.00,-$0.00,$44.95,3.67%,$44.95,$0.00,$44.95
Shrimp Enchilada Plate,3,0,$44.85,$0.00,-$0.00,$44.85,3.66%,$14.95,$0.00,$44.85
Large margarita patron,3,0,$42.00,$0.00,-$0.00,$42.00,3.43%,$14.00,$0.00,$0.00
"Cocktail ""Vuelve A La Vida""",2,0,$37.90,$0.00,-$0.00,$37.90,3.09%,$18.95,$0.00,$37.90
Camarones,2,0,$35.90,$0.00,-$0.00,$35.90,2.93%,$17.95,$0.00,$35.90
KIDS Chicken Strips,4,0,$35.80,$0.00,-$0.00,$35.80,2.92%,$8.95,$0.00,$35.80
Campechana Cocktail,2,0,$33.90,$0.00,-$0.00,$33.90,2.77%,$16.95,$0.00,$33.90
Carnitas Plate,2,0,$33.90,$0.00,-$0.00,$33.90,2.77%,$16.95,$0.00,$33.90
Soft Drink,10,0,$32.50,$0.00,-$0.00,$32.50,2.65%,$3.25,$0.00,$32.50
Michelo Ultra Light,5,0,$38.00,-$6.00,-$0.00,$32.00,2.61%,$6.40,$0.00,$0.00
Modelo Especial,5,0,$31.00,$0.00,-$0.00,$31.00,2.53%,$6.20,$0.00,$0.00
Baja Fish Tacos,2,0,$29.90,$0.00,-$0.00,$29.90,2.44%,$14.95,$0.00,$29.90
IPA Pale Ale,3,0,$34.00,-$6.00,-$0.00,$28.00,2.29%,$9.33,$0.00,$0.00
Double Dare Tacos,3,0,$26.85,$0.00,-$0.00,$26.85,2.19%,$8.95,$0.00,$26.85
Grande Mixed Fajitas,1,0,$24.95,$0.00,-$0.00,$24.95,2.04%,$24.95,$0.00,$24.95
Combination de Tres,2,0,$23.90,$0.00,-$0.00,$23.90,1.95%,$11.95,$0.00,$23.90
Menudo Soup,2,0,$23.90,$0.00,-$0.00,$23.90,1.95%,$11.95,$0.00,$23.90
Guacamole Full Size,2,0,$21.90,$0.00,-$0.00,$21.90,1.79%,$10.95,$17.90,$4.00
Grilled Steak Fajitas,1,0,$17.95,$0.00,-$0.00,$17.95,1.47%,$17.95,$0.00,$17.95
S Shrimp Margarita,1,0,$17.95,$0.00,-$0.00,$17.95,1.47%,$17.95,$0.00,$17.95
Tequila Shrimp Fettuccini,1,0,$17.95,$0.00,-$0.00,$17.95,1.47%,$17.95,$0.00,$17.95
KIDS Cheeseburger,2,0,$17.90,$0.00,-$0.00,$17.90,1.46%,$8.95,$0.00,$17.90
Grey Goose,2,0,$16.00,$0.00,-$0.00,$16.00,1.31%,$8.00,$0.00,$0.00
Chicken Fettuccini,1,0,$15.95,$0.00,-$0.00,$15.95,1.30%,$15.95,$0.00,$15.95
"S Chicken Florentine ",1,0,$15.95,$0.00,-$0.00,$15.95,1.30%,$15.95,$0.00,$15.95
Combination de Uno,2,0,$15.90,$0.00,-$0.00,$15.90,1.30%,$7.95,$0.00,$15.90
"Flauta Appetizer ",2,0,$15.90,$0.00,-$0.00,$15.90,1.30%,$7.95,$0.00,$15.90
Carne Asada Salad,1,0,$14.95,$0.00,-$0.00,$14.95,1.22%,$14.95,$0.00,$14.95
Filet,1,0,$14.95,$0.00,-$0.00,$14.95,1.22%,$14.95,$0.00,$14.95
Shrimp Burrito,1,0,$14.95,$0.00,-$0.00,$14.95,1.22%,$14.95,$0.00,$14.95
Horchata,3,0,$13.50,$0.00,-$0.00,$13.50,1.10%,$4.50,$0.00,$13.50
Carne Asada Burrito,1,0,$12.95,$0.00,-$0.00,$12.95,1.06%,$12.95,$0.00,$12.95
Don Julio,1,0,$12.00,$0.00,-$0.00,$12.00,0.98%,$12.00,$0.00,$0.00
HH Guacamole,2,0,$15.90,-$4.78,-$0.00,$11.12,0.91%,$5.56,$0.00,$11.12
Chilaquiles Rojos,1,0,$10.95,$0.00,-$0.00,$10.95,0.89%,$10.95,$0.00,$10.95
Corona,2,0,$10.00,$0.00,-$0.00,$10.00,0.82%,$5.00,$0.00,$0.00
Taquito A La Carte,5,0,$10.00,$0.00,-$0.00,$10.00,0.82%,$2.00,$0.00,$0.00
Queso Fundido,1,0,$9.95,$0.00,-$0.00,$9.95,0.81%,$9.95,$0.00,$9.95
Long Island Iced Tea,1,0,$9.00,$0.00,-$0.00,$9.00,0.73%,$9.00,$0.00,$0.00
Mexican Flan,2,0,$9.00,$0.00,-$0.00,$9.00,0.73%,$4.50,$0.00,$9.00
Mojito,1,0,$8.00,$0.00,-$0.00,$8.00,0.65%,$8.00,$0.00,$0.00
Pina Colada,1,0,$8.00,$0.00,-$0.00,$8.00,0.65%,$8.00,$0.00,$0.00
Cheese Quesadilla,1,0,$7.95,$0.00,-$0.00,$7.95,0.65%,$7.95,$0.00,$7.95
Deep Fried Ice Cream,1,0,$6.95,$0.00,-$0.00,$6.95,0.57%,$6.95,$0.00,$6.95
Coronadita,2,0,$6.00,$0.00,-$0.00,$6.00,0.49%,$3.00,$0.00,$6.00
Guacamole half order,1,0,$6.00,$0.00,-$0.00,$6.00,0.49%,$6.00,$0.00,$6.00
Side Beans,3,0,$6.00,$0.00,-$0.00,$6.00,0.49%,$2.00,$0.00,$6.00
Side Shrimp Add,2,0,$6.00,$0.00,-$0.00,$6.00,0.49%,$3.00,$0.00,$6.00
Dos XX,1,0,$5.00,$0.00,-$0.00,$5.00,0.41%,$5.00,$0.00,$0.00
Pacifico,1,0,$5.00,$0.00,-$0.00,$5.00,0.41%,$5.00,$0.00,$0.00
Taco A La Carte,2,0,$5.00,$0.00,-$0.00,$5.00,0.41%,$2.50,$0.00,$0.00
S Pumpkin Cheesecake,1,0,$4.95,$0.00,-$0.00,$4.95,0.40%,$4.95,$0.00,$4.95
Montejo,1,0,$6.00,-$2.00,-$0.00,$4.00,0.33%,$4.00,$0.00,$4.00
Club Soda w/ lemon,1,0,$3.00,$0.00,-$0.00,$3.00,0.24%,$3.00,$0.00,$3.00
Tea,1,0,$2.75,$0.00,-$0.00,$2.75,0.22%,$2.75,$0.00,$2.75
Side Corn Tortillas,1,0,$1.50,$0.00,-$0.00,$1.50,0.12%,$1.50,$0.00,$1.50
Sour Cream,1,0,$1.50,$0.00,-$0.00,$1.50,0.12%,$1.50,$0.00,$1.50
Water,6,0,$0.00,$0.00,-$0.00,$0.00,0.00%,$0.00,$0.00,$0.00

TOTAL,139,0,"$1,247.65",-$22.78,$0.00,"$1,224.87",100.00%,$8.81,$17.90,$985.97
