Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
shot1800,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
1800 tequila,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
1800,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
1800,4.0,0.0,28.0,0.0,-0.0,28.0,3.32,7.0,0.0,2,0,1,27,28.0,2019-10-2
shot1800,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
1800 tequila,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
shot1800,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
1800 tequila,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
1800,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
shot1800,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
1800 tequila,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
1800,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
shot1800,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
1800 tequila,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
1800,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
shot1800,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
1800 tequila,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
1800,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
shot1800,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
1800 tequila,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
1800,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
shot1800,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
1800 tequila,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
1800,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
shot1800,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
1800 tequila,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
1800,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
shot1800,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
1800 tequila,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
1800,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
shot1800,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
1800 tequila,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
1800,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
shot1800,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
1800 tequila,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
1800,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
shot1800,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
1800 tequila,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
1800,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
shot1800,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
1800 tequila,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
1800,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
shot1800,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
1800 tequila,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
1800,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
shot1800,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
1800 tequila,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
1800,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
shot1800,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
1800 tequila,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
1800,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
shot1800,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
1800 tequila,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
1800,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
shot1800,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
1800 tequila,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
