Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
ASADA ALA CARTA,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
CARNE ASADA ALA CARTA,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
ASADA ALA CARTA,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
CARNE ASADA ALA CARTA,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
ASADA ALA CARTA,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
CARNE ASADA ALA CARTA,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
ASADA ALA CARTA,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
CARNE ASADA ALA CARTA,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
ASADA ALA CARTA,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
CARNE ASADA ALA CARTA,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
ASADA ALA CARTA,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
CARNE ASADA ALA CARTA,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
ASADA ALA CARTA,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
CARNE ASADA ALA CARTA,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
ASADA ALA CARTA,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
CARNE ASADA ALA CARTA,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
ASADA ALA CARTA,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
CARNE ASADA ALA CARTA,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
ASADA ALA CARTA,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
CARNE ASADA ALA CARTA,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
ASADA ALA CARTA,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
CARNE ASADA ALA CARTA,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
