Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Bacon Cheeseburger,1.0,0.0,11.95,0.0,-0.0,11.95,1.58,11.95,0.0,1,0,1,21,11.95,2019-10-1
Bacon Cheeseburger,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Bacon Cheeseburger,1.0,0.0,11.95,0.0,-0.0,11.95,1.12,11.95,0.0,1,0,4,32,11.95,2019-10-22
Bacon Cheeseburger,1.0,0.0,11.95,0.0,-0.0,11.95,1.14,11.95,0.0,1,0,5,21,11.95,2019-10-29
Bacon Cheeseburger,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Bacon Cheeseburger,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Bacon Cheeseburger,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Bacon Cheeseburger,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Bacon Cheeseburger,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Bacon Cheeseburger,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Bacon Cheeseburger,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Bacon Cheeseburger,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Bacon Cheeseburger,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Bacon Cheeseburger,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Bacon Cheeseburger,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Bacon Cheeseburger,2.0,0.0,23.9,0.0,-0.0,23.9,0.69,11.95,0.0,6,0,3,27,23.9,2019-10-20
Bacon Cheeseburger,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Bacon Cheeseburger,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Bacon Cheeseburger,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Bacon Cheeseburger,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Bacon Cheeseburger,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Bacon Cheeseburger,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Bacon Cheeseburger,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Bacon Cheeseburger,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Bacon Cheeseburger,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Bacon Cheeseburger,2.0,0.0,23.9,0.0,-0.0,23.9,0.83,11.95,0.0,6,0,2,26,23.9,2019-10-13
