Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Baja Fish Tacos,1.0,0.0,14.95,-14.95,-0.0,0.0,0.0,0.0,0.0,1,0,1,21,0.0,2019-10-1
Baja Fish Tacos,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Baja Fish Tacos,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Baja Fish Tacos,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Baja Fish Tacos,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Baja Fish Tacos,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Baja Fish Tacos,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Baja Fish Tacos,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Baja Fish Tacos,1.0,0.0,14.95,0.0,-0.0,14.95,1.29,14.95,0.0,4,0,4,31,14.95,2019-10-25
Baja Fish Tacos,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Baja Fish Tacos,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Baja Fish Tacos,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Baja Fish Tacos,2.0,0.0,29.9,0.0,-0.0,29.9,1.3,14.95,0.0,6,0,1,32,29.9,2019-10-6
Baja Fish Tacos,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Baja Fish Tacos,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Baja Fish Tacos,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Baja Fish Tacos,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Baja Fish Tacos,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
