Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Blackened Salmon,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Blackened Salmon,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Blackened Salmon,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Blackened Salmon,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Blackened Salmon,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Blackened Salmon,1.0,0.0,19.95,0.0,-0.0,19.95,0.8,19.95,0.0,3,0,3,25,19.95,2019-10-17
Blackened Salmon,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Blackened Salmon,1.0,0.0,19.95,0.0,-0.0,19.95,2.3,19.95,0.0,3,0,4,31,19.95,2019-10-24
Blackened Salmon,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Blackened Salmon,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Blackened Salmon,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Blackened Salmon,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Blackened Salmon,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Blackened Salmon,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Blackened Salmon,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Blackened Salmon,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Blackened Salmon,1.0,0.0,19.95,0.0,-0.0,19.95,2.83,19.95,0.0,0,0,3,31,19.95,2019-10-21
Blackened Salmon,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Blackened Salmon,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Blackened Salmon,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Blackened Salmon,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Blackened Salmon,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Blackened Salmon,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Blackened Salmon,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Blackened Salmon,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Blackened Salmon,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Blackened Salmon,2.0,0.0,39.9,0.0,-0.0,39.9,2.2,19.95,0.0,5,1,2,28,39.9,2019-10-12
Blackened Salmon,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Blackened Salmon,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Blackened Salmon,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Blackened Salmon,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Blackened Salmon,1.0,0.0,19.95,0.0,-0.0,19.95,5.79,19.95,0.0,3,0,1,15,19.95,2019-12-5
Blackened Salmon,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Blackened Salmon,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
Blackened Salmon,2.0,0.0,39.9,-19.95,-0.0,19.95,2.89,9.98,0.0,0,0,5,11,19.95,2019-12-30
Blackened Salmon,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Blackened Salmon,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Blackened Salmon,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Blackened Salmon,2.0,0.0,39.9,0.0,-0.0,39.9,3.38,19.95,0.0,4,0,4,11,39.9,2019-12-27
Blackened Salmon,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Blackened Salmon,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
Blackened Salmon,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
Blackened Salmon,1.0,0.0,19.95,0.0,-0.0,19.95,0.89,19.95,0.0,5,1,2,15,19.95,2019-12-14
Blackened Salmon,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
Blackened Salmon,1.0,0.0,19.95,0.0,-0.0,19.95,0.81,19.95,0.0,4,0,3,17,19.95,2019-12-20
Blackened Salmon,2.0,0.0,39.9,0.0,-0.0,39.9,7.51,19.95,0.0,0,0,1,17,39.9,2019-12-2
Blackened Salmon,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Blackened Salmon,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
Blackened Salmon,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
Blackened Salmon,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Blackened Salmon,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Blackened Salmon,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
Blackened Salmon,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
Blackened Salmon,0,0,0,0,0,0,0,0,0,4,0,1,18,0,2019-12-6
Blackened Salmon,0,0,0,0,0,0,0,0,0,5,1,1,16,0,2019-12-7
Blackened Salmon,1.0,0.0,19.95,-19.95,-0.0,0.0,0.0,0.0,0.0,6,0,1,14,0.0,2019-12-1
Blackened Salmon,0,0,0,0,0,0,0,0,0,6,0,4,17,0,2019-12-22
Blackened Salmon,0,0,0,0,0,0,0,0,0,0,0,4,9,0,2019-12-23
Blackened Salmon,0,0,0,0,0,0,0,0,0,5,1,4,13,0,2019-12-28
Blackened Salmon,1.0,0.0,19.95,0.0,-0.0,19.95,1.21,19.95,0.0,6,0,5,12,19.95,2019-12-29
Blackened Salmon,1.0,0.0,19.95,0.0,-0.0,19.95,5.2,19.95,0.0,0,0,3,15,19.95,2019-12-16
Blackened Salmon,0,0,0,0,0,0,0,0,0,1,0,3,12,0,2019-12-17
