Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Bud Light,2.0,0.0,12.0,0.0,-0.0,12.0,1.58,6.0,0.0,1,0,1,21,12.0,2019-10-1
Bud Light,5.0,0.0,20.0,0.0,-0.0,20.0,2.37,4.0,0.0,2,0,1,27,0.0,2019-10-2
Bud Light,2.0,0.0,24.0,-4.0,-0.0,20.0,2.37,10.0,0.0,2,0,1,27,20.0,2019-10-2
Bud Light,3.0,0.0,18.0,0.0,-0.0,18.0,0.64,6.0,0.0,3,0,1,27,18.0,2019-10-3
Bud Light,3.0,0.0,36.0,-4.74,-0.0,31.26,1.48,10.42,0.0,4,0,1,26,31.26,2019-10-4
Bud Light,4.0,0.0,16.0,-4.0,-0.0,12.0,0.57,3.0,0.0,4,0,1,26,0.0,2019-10-4
Bud Light,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Bud Light,1.0,0.0,4.0,0.0,-0.0,4.0,0.17,4.0,0.0,6,0,1,32,0.0,2019-10-6
Bud Light,2.0,0.0,8.0,0.0,-0.0,8.0,2.61,4.0,0.0,0,0,1,32,0.0,2019-10-7
Bud Light,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Bud Light,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Bud Light,1.0,0.0,6.0,-2.0,-0.0,4.0,0.16,4.0,0.0,3,0,2,24,4.0,2019-10-10
Bud Light,3.0,0.0,18.0,0.0,-0.0,18.0,0.96,6.0,0.0,4,0,2,27,18.0,2019-10-11
Bud Light,1.0,0.0,4.0,-1.0,-0.0,3.0,0.16,3.0,0.0,4,0,2,27,0.0,2019-10-11
Bud Light,2.0,0.0,24.0,0.0,-0.0,24.0,1.32,12.0,0.0,5,1,2,28,24.0,2019-10-12
Bud Light,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Bud Light,1.0,0.0,4.0,-1.0,-0.0,3.0,0.43,3.0,0.0,0,0,2,22,0.0,2019-10-14
Bud Light,6.0,0.0,36.0,-12.0,-0.0,24.0,3.43,4.0,0.0,1,0,3,29,24.0,2019-10-15
Bud Light,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Bud Light,3.0,0.0,12.0,0.0,-0.0,12.0,0.48,4.0,0.0,3,0,3,25,0.0,2019-10-17
Bud Light,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Bud Light,1.0,0.0,14.0,0.0,-0.0,14.0,0.92,14.0,0.0,5,1,3,26,14.0,2019-10-19
Bud Light,4.0,0.0,24.0,0.0,-0.0,24.0,0.7,6.0,0.0,6,0,3,27,24.0,2019-10-20
Bud Light,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Bud Light,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Bud Light,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Bud Light,1.0,0.0,14.0,-2.0,-0.0,12.0,1.38,12.0,0.0,3,0,4,31,12.0,2019-10-24
Bud Light,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Bud Light,1.0,0.0,4.0,0.0,-0.0,4.0,0.22,4.0,0.0,5,1,4,30,0.0,2019-10-26
Bud Light,2.0,0.0,8.0,0.0,-0.0,8.0,0.23,4.0,0.0,6,0,4,22,0.0,2019-10-27
Bud Light,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Bud Light,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Bud Light,4.0,0.0,24.0,-4.0,-0.0,20.0,3.77,5.0,0.0,2,0,5,18,20.0,2019-10-30
Bud Light,2.0,0.0,12.0,-4.0,-0.0,8.0,1.01,4.0,0.0,3,0,5,20,8.0,2019-10-31
Bud Light,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2019-12-1
Bud Light,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Bud Light,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Bud Light,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Bud Light,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Bud Light,0,0,0,0,0,0,0,0,0,4,0,1,18,0,2019-12-6
Bud Light,1.0,0.0,4.0,0.0,-0.0,4.0,0.13,4.0,0.0,5,1,1,16,0.0,2019-12-7
Bud Light,2.0,0.0,15.9,0.0,-0.0,15.9,0.43,7.95,0.0,6,0,2,15,15.9,2019-12-8
Bud Light,2.0,0.0,8.0,0.0,-0.0,8.0,0.22,4.0,0.0,6,0,2,15,0.0,2019-12-8
Bud Light,1.0,0.0,4.0,0.0,-0.0,4.0,0.13,4.0,0.0,0,0,2,16,0.0,2019-12-9
Bud Light,1.0,0.0,6.0,-2.0,-0.0,4.0,0.65,4.0,0.0,1,0,2,16,4.0,2019-12-10
Bud Light,1.0,0.0,7.95,0.0,-0.0,7.95,0.93,7.95,0.0,2,0,2,18,7.95,2019-12-11
Bud Light,1.0,0.0,7.0,0.0,-0.0,7.0,0.92,7.0,0.0,3,0,2,19,0.0,2019-12-12
Bud Light,1.0,0.0,4.0,0.0,-0.0,4.0,0.34,4.0,0.0,4,0,2,22,0.0,2019-12-13
Bud Light,6.0,0.0,27.0,0.0,-0.0,27.0,1.21,4.5,0.0,5,1,2,15,0.0,2019-12-14
Bud Light,2.0,0.0,13.95,0.0,-0.0,13.95,0.62,6.98,0.0,5,1,2,15,13.95,2019-12-14
Bud Light,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
Bud Light,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
Bud Light,0,0,0,0,0,0,0,0,0,1,0,3,12,0,2019-12-17
Bud Light,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Bud Light,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
Bud Light,3.0,0.0,12.0,0.0,-0.0,12.0,0.48,4.0,0.0,4,0,3,17,0.0,2019-12-20
Bud Light,1.0,0.0,7.95,0.0,-0.0,7.95,0.53,7.95,0.0,5,1,3,18,7.95,2019-12-21
Bud Light,1.0,0.0,7.95,0.0,-0.0,7.95,0.25,7.95,0.0,6,0,4,17,7.95,2019-12-22
Bud Light,0,0,0,0,0,0,0,0,0,0,0,4,9,0,2019-12-23
Bud Light,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Bud Light,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Bud Light,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Bud Light,3.0,0.0,23.85,0.0,-0.0,23.85,2.02,7.95,0.0,4,0,4,11,23.85,2019-12-27
Bud Light,2.0,0.0,8.0,-2.0,-0.0,6.0,0.51,3.0,0.0,4,0,4,11,0.0,2019-12-27
Bud Light,0,0,0,0,0,0,0,0,0,5,1,4,13,0,2019-12-28
Bud Light,0,0,0,0,0,0,0,0,0,6,0,5,12,0,2019-12-29
Bud Light,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Bud Light,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
Bud Light,5.0,0.0,29.0,0.0,-0.0,29.0,1.46,5.8,0.0,5,1,1,24,0.0,2020-2-1
Bud Light,2.0,0.0,20.0,0.0,-0.0,20.0,1.01,10.0,0.0,5,1,1,24,20.0,2020-2-1
Bud Light,4.0,0.0,16.0,0.0,-0.0,16.0,0.77,4.0,0.0,6,0,1,21,0.0,2020-2-2
Bud Light,0,0,0,0,0,0,0,0,0,0,0,1,11,0,2020-2-3
Bud Light,1.0,0.0,4.0,-1.0,-0.0,3.0,0.48,3.0,0.0,1,0,1,9,0.0,2020-2-4
Bud Light,1.0,0.0,7.95,-2.0,-0.0,5.95,1.31,5.95,0.0,2,0,1,12,5.95,2020-2-5
Bud Light,1.0,0.0,14.0,-2.0,-0.0,12.0,1.6,12.0,0.0,3,0,1,14,12.0,2020-2-6
