Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Camarones Costa Azul,1.0,0.0,19.95,0.0,-0.0,19.95,16.39,19.95,0.0,2,0,4,32,19.95,2019-10-23
Camarones Costa Azul,2.0,0.0,39.9,0.0,-0.0,39.9,3.72,19.95,0.0,1,0,4,32,39.9,2019-10-22
Camarones Costa Azul,1.0,0.0,19.95,0.0,-0.0,19.95,1.9,19.95,0.0,1,0,5,21,19.95,2019-10-29
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Camarones Costa Azul,3.0,0.0,59.85,0.0,-0.0,59.85,5.15,19.95,0.0,4,0,4,31,59.85,2019-10-25
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Camarones Costa Azul,1.0,0.0,19.95,0.0,-0.0,19.95,0.58,19.95,0.0,6,0,3,27,19.95,2019-10-20
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Camarones Costa Azul,1.0,0.0,19.95,0.0,-0.0,19.95,0.71,19.95,0.0,3,0,1,27,19.95,2019-10-3
Camarones Costa Azul,1.0,0.0,19.95,0.0,-0.0,19.95,2.36,19.95,0.0,2,0,1,27,19.95,2019-10-2
Camarones Costa Azul,1.0,0.0,19.95,0.0,-0.0,19.95,0.37,19.95,0.0,2,0,2,25,19.95,2019-10-9
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Camarones Costa Azul,4.0,0.0,79.8,-39.9,-0.0,39.9,1.89,9.98,0.0,4,0,1,26,39.9,2019-10-4
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Camarones Costa Azul,1.0,0.0,19.95,0.0,-0.0,19.95,3.76,19.95,0.0,2,0,5,18,19.95,2019-10-30
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Camarones Costa Azul,1.0,0.0,19.95,0.0,-0.0,19.95,0.69,19.95,0.0,6,0,2,26,19.95,2019-10-13
Camarones Costa Azul,5.0,0.0,99.75,-19.95,-0.0,79.8,4.39,15.96,0.0,5,1,2,28,79.8,2019-10-12
Camarones Costa Azul,1.0,0.0,19.95,0.0,-0.0,19.95,0.57,19.95,0.0,6,0,4,22,19.95,2019-10-27
Camarones Costa Azul,1.0,0.0,19.95,0.0,-0.0,19.95,1.12,19.95,0.0,5,1,4,30,19.95,2019-10-26
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Camarones Costa Azul,4.0,0.0,79.8,0.0,-0.0,79.8,6.51,19.95,0.0,4,0,3,23,79.8,2019-10-18
Camarones Costa Azul,1.0,0.0,19.95,0.0,-0.0,19.95,5.79,19.95,0.0,3,0,1,15,19.95,2019-12-5
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Camarones Costa Azul,1.0,0.0,19.95,0.0,-0.0,19.95,0.36,19.95,0.0,1,0,5,15,19.95,2019-12-31
Camarones Costa Azul,1.0,0.0,19.95,0.0,-0.0,19.95,2.89,19.95,0.0,0,0,5,11,19.95,2019-12-30
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Camarones Costa Azul,3.0,0.0,59.85,0.0,-0.0,59.85,5.05,19.95,0.0,4,0,2,22,59.85,2019-12-13
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
Camarones Costa Azul,1.0,0.0,19.95,0.0,-0.0,19.95,2.85,19.95,0.0,2,0,3,12,19.95,2019-12-18
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
Camarones Costa Azul,1.0,0.0,19.95,0.0,-0.0,19.95,0.89,19.95,0.0,5,1,2,15,19.95,2019-12-14
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
Camarones Costa Azul,2.0,0.0,39.9,0.0,-0.0,39.9,1.61,19.95,0.0,4,0,3,17,39.9,2019-12-20
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Camarones Costa Azul,2.0,0.0,39.9,0.0,-0.0,39.9,5.37,19.95,0.0,1,0,1,18,39.9,2019-12-3
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
