Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Camarones Margaritas,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Camarones Margaritas,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Camarones Margaritas,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Camarones Margaritas,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Camarones Margaritas,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Camarones Margaritas,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Camarones Margaritas,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Camarones Margaritas,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Camarones Margaritas,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Camarones Margaritas,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Camarones Margaritas,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Camarones Margaritas,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Camarones Margaritas,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Camarones Margaritas,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Camarones Margaritas,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Camarones Margaritas,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Camarones Margaritas,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Camarones Margaritas,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Camarones Margaritas,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Camarones Margaritas,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Camarones Margaritas,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Camarones Margaritas,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
