Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Camarones,1.0,0.0,17.95,0.0,-0.0,17.95,2.37,17.95,0.0,1,0,1,21,17.95,2019-10-1
Camarones al chipotle,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Camarones Margaritas,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Camarones Aguachiles,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Camarones Costa Azul,1.0,0.0,19.95,0.0,-0.0,19.95,16.39,19.95,0.0,2,0,4,32,19.95,2019-10-23
Camarones,1.0,0.0,17.95,0.0,-0.0,17.95,14.74,17.95,0.0,2,0,4,32,17.95,2019-10-23
Camarones al chipotle,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Camarones Margaritas,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Camarones Aguachiles,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Camarones Costa Azul,2.0,0.0,39.9,0.0,-0.0,39.9,3.72,19.95,0.0,1,0,4,32,39.9,2019-10-22
Camarones,1.0,0.0,17.95,0.0,-0.0,17.95,1.67,17.95,0.0,1,0,4,32,17.95,2019-10-22
Camarones al chipotle,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Camarones Margaritas,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Camarones Aguachiles,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Camarones Costa Azul,1.0,0.0,19.95,0.0,-0.0,19.95,1.9,19.95,0.0,1,0,5,21,19.95,2019-10-29
Camarones,1.0,0.0,17.95,0.0,-0.0,17.95,1.71,17.95,0.0,1,0,5,21,17.95,2019-10-29
Camarones al chipotle,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Camarones Margaritas,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Camarones Aguachiles,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Camarones,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Camarones al chipotle,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Camarones Margaritas,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Camarones Aguachiles,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Camarones Aguachiles,1.0,0.0,19.95,0.0,-0.0,19.95,0.8,19.95,0.0,3,0,3,25,19.95,2019-10-17
Camarones,1.0,0.0,17.95,0.0,-0.0,17.95,0.72,17.95,0.0,3,0,3,25,17.95,2019-10-17
Camarones al chipotle,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Camarones Margaritas,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Camarones,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Camarones al chipotle,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Camarones Margaritas,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Camarones Aguachiles,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Camarones,1.0,0.0,17.95,0.0,-0.0,17.95,2.07,17.95,0.0,3,0,4,31,17.95,2019-10-24
Camarones al chipotle,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Camarones Margaritas,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Camarones Aguachiles,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
S Camarones Margaritas,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Camarones Costa Azul,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Camarones Costa Azul,3.0,0.0,59.85,0.0,-0.0,59.85,5.15,19.95,0.0,4,0,4,31,59.85,2019-10-25
