Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Carne Asada Burrito,1.0,0.0,15.95,0.0,-0.0,15.95,2.1,15.95,0.0,1,0,1,21,15.95,2019-10-1
Carne Asada Burrito,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Carne Asada Burrito,4.0,0.0,51.8,0.0,-0.0,51.8,1.84,12.95,0.0,3,0,1,27,51.8,2019-10-3
Carne Asada Burrito,3.0,0.0,40.85,0.0,-0.0,40.85,1.93,13.62,0.0,4,0,1,26,40.85,2019-10-4
Carne Asada Burrito,2.0,0.0,32.9,0.0,-0.0,32.9,4.19,16.45,0.0,5,1,1,30,32.9,2019-10-5
Carne Asada Burrito,2.0,0.0,27.9,0.0,-0.0,27.9,1.21,13.95,0.0,6,0,1,32,27.9,2019-10-6
Carne Asada Burrito,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Carne Asada Burrito,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Carne Asada Burrito,2.0,0.0,29.9,-29.9,-0.0,0.0,0.0,0.0,0.0,2,0,2,25,0.0,2019-10-9
Carne Asada Burrito,2.0,0.0,27.9,0.0,-0.0,27.9,1.13,13.95,0.0,3,0,2,24,27.9,2019-10-10
Carne Asada Burrito,7.0,0.0,106.65,0.0,-0.0,106.65,5.7,15.24,0.0,4,0,2,27,106.65,2019-10-11
Carne Asada Burrito,4.0,0.0,63.8,-12.95,-0.0,50.85,2.8,12.71,0.0,5,1,2,28,50.85,2019-10-12
Carne Asada Burrito,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Carne Asada Burrito,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Carne Asada Burrito,2.0,0.0,28.9,-12.95,-0.0,15.95,2.28,7.98,0.0,1,0,3,29,15.95,2019-10-15
Carne Asada Burrito,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Carne Asada Burrito,1.0,0.0,14.95,0.0,-0.0,14.95,0.6,14.95,0.0,3,0,3,25,14.95,2019-10-17
Carne Asada Burrito,1.0,0.0,12.95,0.0,-0.0,12.95,1.06,12.95,0.0,4,0,3,23,12.95,2019-10-18
Carne Asada Burrito,3.0,0.0,40.85,0.0,-0.0,40.85,2.68,13.62,0.0,5,1,3,26,40.85,2019-10-19
