Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Carne Asada Fries,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
HH Carne Asada Fries,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Carne Asada Fries,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
HH Carne Asada Fries,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Carne Asada Fries,1.0,0.0,11.95,0.0,-0.0,11.95,1.12,11.95,0.0,1,0,4,32,11.95,2019-10-22
HH Carne Asada Fries,1.0,0.0,11.95,-3.59,-0.0,8.36,0.78,8.36,0.0,1,0,4,32,8.36,2019-10-22
Carne Asada Fries,1.0,0.0,11.95,0.0,-0.0,11.95,1.14,11.95,0.0,1,0,5,21,11.95,2019-10-29
HH Carne Asada Fries,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Carne Asada Fries,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
HH Carne Asada Fries,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Carne Asada Fries,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
HH Carne Asada Fries,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Carne Asada Fries,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
HH Carne Asada Fries,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Carne Asada Fries,1.0,0.0,11.95,0.0,-0.0,11.95,1.38,11.95,0.0,3,0,4,31,11.95,2019-10-24
HH Carne Asada Fries,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Carne Asada Fries,1.0,0.0,11.95,0.0,-0.0,11.95,1.03,11.95,0.0,4,0,4,31,11.95,2019-10-25
HH Carne Asada Fries,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Carne Asada Fries,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
HH Carne Asada Fries,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Carne Asada Fries,3.0,0.0,35.85,-7.18,-0.0,28.67,1.53,9.56,0.0,4,0,2,27,28.67,2019-10-11
HH Carne Asada Fries,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
