Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Carne Asada Plate,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Carne Asada Plate,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Carne Asada Plate,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Carne Asada Plate,2.0,0.0,35.9,0.0,-0.0,35.9,3.41,17.95,0.0,1,0,5,21,35.9,2019-10-29
Carne Asada Plate,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Carne Asada Plate,3.0,0.0,53.85,0.0,-0.0,53.85,2.17,17.95,0.0,3,0,3,25,53.85,2019-10-17
Carne Asada Plate,1.0,0.0,17.95,0.0,-0.0,17.95,6.13,17.95,0.0,2,0,3,29,17.95,2019-10-16
Carne Asada Plate,1.0,0.0,17.95,0.0,-0.0,17.95,2.07,17.95,0.0,3,0,4,31,17.95,2019-10-24
Carne Asada Plate,1.0,0.0,17.95,0.0,-0.0,17.95,1.54,17.95,0.0,4,0,4,31,17.95,2019-10-25
Carne Asada Plate,2.0,0.0,35.9,0.0,-0.0,35.9,1.45,17.95,0.0,3,0,2,24,35.9,2019-10-10
Carne Asada Plate,4.0,0.0,71.8,0.0,-0.0,71.8,3.84,17.95,0.0,4,0,2,27,71.8,2019-10-11
Carne Asada Plate,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Carne Asada Plate,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Carne Asada Plate,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Carne Asada Plate,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Carne Asada Plate,2.0,0.0,35.9,0.0,-0.0,35.9,1.04,17.95,0.0,6,0,3,27,35.9,2019-10-20
Carne Asada Plate,1.0,0.0,17.95,0.0,-0.0,17.95,2.54,17.95,0.0,0,0,3,31,17.95,2019-10-21
Carne Asada Plate,1.0,0.0,17.95,0.0,-0.0,17.95,0.64,17.95,0.0,3,0,1,27,17.95,2019-10-3
Carne Asada Plate,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Carne Asada Plate,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Carne Asada Plate,1.0,0.0,17.95,0.0,-0.0,17.95,3.71,17.95,0.0,1,0,2,29,17.95,2019-10-8
Carne Asada Plate,4.0,0.0,71.8,0.0,-0.0,71.8,3.4,17.95,0.0,4,0,1,26,71.8,2019-10-4
Carne Asada Plate,1.0,0.0,17.95,0.0,-0.0,17.95,2.29,17.95,0.0,5,1,1,30,17.95,2019-10-5
Carne Asada Plate,1.0,0.0,17.95,0.0,-0.0,17.95,3.38,17.95,0.0,2,0,5,18,17.95,2019-10-30
Carne Asada Plate,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
