Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Cazadores,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Paloma Cazadores,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Cazadores,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Paloma Cazadores,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Cazadores,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Paloma Cazadores,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Cazadores,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Paloma Cazadores,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Cazadores,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Paloma Cazadores,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Cazadores,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Paloma Cazadores,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Cazadores,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Paloma Cazadores,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Cazadores,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Paloma Cazadores,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Cazadores,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Paloma Cazadores,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Cazadores,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Paloma Cazadores,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Cazadores,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Paloma Cazadores,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Cazadores,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Paloma Cazadores,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Cazadores,6.0,0.0,42.0,0.0,-0.0,42.0,1.46,7.0,0.0,6,0,2,26,42.0,2019-10-13
Paloma Cazadores,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Cazadores,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Paloma Cazadores,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Cazadores,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Paloma Cazadores,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Cazadores,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Paloma Cazadores,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Cazadores,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Paloma Cazadores,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Cazadores,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Paloma Cazadores,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Cazadores,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Paloma Cazadores,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Cazadores,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
