Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Champagne,3.0,0.0,18.0,0.0,-0.0,18.0,2.37,6.0,0.0,1,0,1,21,18.0,2019-10-1
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Champagne,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Champagne,5.0,0.0,30.0,0.0,-0.0,30.0,1.07,6.0,0.0,3,0,1,27,30.0,2019-10-3
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Champagne,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Champagne,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Champagne,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Champagne,4.0,0.0,9.0,0.0,-0.0,9.0,2.94,2.25,0.0,0,0,1,32,9.0,2019-10-7
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Champagne,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Champagne,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Champagne,12.0,0.0,36.0,0.0,-0.0,36.0,1.45,3.0,0.0,3,0,2,24,36.0,2019-10-10
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Champagne,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Champagne,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Champagne,2.0,0.0,30.0,0.0,-0.0,30.0,1.04,15.0,0.0,6,0,2,26,30.0,2019-10-13
Champagne with Sunday Brunch,2.0,0.0,10.0,0.0,-0.0,10.0,0.35,5.0,0.0,6,0,2,26,10.0,2019-10-13
Champagne,3.0,0.0,9.0,0.0,-0.0,9.0,1.28,3.0,0.0,0,0,2,22,9.0,2019-10-14
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Champagne,2.0,0.0,6.0,0.0,-0.0,6.0,0.86,3.0,0.0,1,0,3,29,6.0,2019-10-15
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Champagne,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Champagne,3.0,0.0,9.0,0.0,-0.0,9.0,0.36,3.0,0.0,3,0,3,25,9.0,2019-10-17
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Champagne,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Champagne,5.0,0.0,15.0,0.0,-0.0,15.0,0.98,3.0,0.0,5,1,3,26,15.0,2019-10-19
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Champagne with Sunday Brunch,1.0,0.0,5.0,0.0,-0.0,5.0,0.15,5.0,0.0,6,0,3,27,5.0,2019-10-20
Champagne,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Champagne,5.0,0.0,15.0,0.0,-0.0,15.0,2.12,3.0,0.0,0,0,3,31,15.0,2019-10-21
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Champagne,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Champagne,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Champagne,4.0,0.0,12.0,0.0,-0.0,12.0,1.38,3.0,0.0,3,0,4,31,12.0,2019-10-24
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Champagne,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Champagne,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Champagne with Sunday Brunch,3.0,0.0,15.0,0.0,-0.0,15.0,0.43,5.0,0.0,6,0,4,22,15.0,2019-10-27
Champagne,1.0,0.0,3.0,0.0,-0.0,3.0,0.09,3.0,0.0,6,0,4,22,3.0,2019-10-27
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Champagne,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Champagne,2.0,0.0,6.0,0.0,-0.0,6.0,0.57,3.0,0.0,1,0,5,21,6.0,2019-10-29
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Champagne with Sunday Brunch,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Champagne,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Champagne,3.0,0.0,9.0,0.0,-0.0,9.0,1.14,3.0,0.0,3,0,5,20,9.0,2019-10-31
