Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Chicken Fettuccini,2.0,0.0,31.9,0.0,-0.0,31.9,1.13,15.95,0.0,3,0,1,27,31.9,2019-10-3
Chicken Fettuccini,1.0,0.0,15.95,0.0,-0.0,15.95,0.76,15.95,0.0,4,0,1,26,15.95,2019-10-4
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Chicken Fettuccini,1.0,0.0,15.95,0.0,-0.0,15.95,0.69,15.95,0.0,6,0,1,32,15.95,2019-10-6
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Chicken Fettuccini,1.0,0.0,15.95,-15.95,-0.0,0.0,0.0,0.0,0.0,1,0,2,29,0.0,2019-10-8
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Chicken Fettuccini,2.0,0.0,31.9,0.0,-0.0,31.9,1.76,15.95,0.0,5,1,2,28,31.9,2019-10-12
Chicken Fettuccini,1.0,0.0,15.95,0.0,-0.0,15.95,0.55,15.95,0.0,6,0,2,26,15.95,2019-10-13
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Chicken Fettuccini,1.0,0.0,15.95,0.0,-0.0,15.95,1.3,15.95,0.0,4,0,3,23,15.95,2019-10-18
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Chicken Fettuccini,1.0,0.0,15.95,-3.99,-0.0,11.96,1.12,11.96,0.0,1,0,4,32,11.96,2019-10-22
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Chicken Fettuccini,2.0,0.0,31.9,0.0,-0.0,31.9,2.74,15.95,0.0,4,0,4,31,31.9,2019-10-25
Chicken Fettuccini,1.0,0.0,15.95,0.0,-0.0,15.95,0.89,15.95,0.0,5,1,4,30,15.95,2019-10-26
Chicken Fettuccini,2.0,0.0,31.9,0.0,-0.0,31.9,0.91,15.95,0.0,6,0,4,22,31.9,2019-10-27
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Chicken Fettuccini,1.0,0.0,15.95,0.0,-0.0,15.95,3.0,15.95,0.0,2,0,5,18,15.95,2019-10-30
Chicken Fettuccini,1.0,0.0,15.95,0.0,-0.0,15.95,2.01,15.95,0.0,3,0,5,20,15.95,2019-10-31
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2019-12-1
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Chicken Fettuccini,1.0,0.0,15.95,0.0,-0.0,15.95,2.15,15.95,0.0,1,0,1,18,15.95,2019-12-3
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,4,0,1,18,0,2019-12-6
Chicken Fettuccini,3.0,0.0,47.85,-1.59,-0.0,46.26,1.51,15.42,0.0,5,1,1,16,46.26,2019-12-7
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
Chicken Fettuccini,1.0,0.0,15.95,0.0,-0.0,15.95,2.1,15.95,0.0,3,0,2,19,15.95,2019-12-12
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Chicken Fettuccini,1.0,0.0,15.95,0.0,-0.0,15.95,0.71,15.95,0.0,5,1,2,15,15.95,2019-12-14
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,1,0,3,12,0,2019-12-17
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Chicken Fettuccini,1.0,0.0,15.95,0.0,-0.0,15.95,1.76,15.95,0.0,3,0,3,15,15.95,2019-12-19
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,6,0,4,17,0,2019-12-22
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,0,0,4,9,0,2019-12-23
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,5,1,4,13,0,2019-12-28
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,6,0,5,12,0,2019-12-29
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Chicken Fettuccini,1.0,0.0,15.95,0.0,-0.0,15.95,0.29,15.95,0.0,1,0,5,15,15.95,2019-12-31
Chicken Fettuccini,1.0,0.0,15.95,0.0,-0.0,15.95,0.8,15.95,0.0,5,1,1,24,15.95,2020-2-1
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,6,0,1,21,0,2020-2-2
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,0,0,1,11,0,2020-2-3
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,1,0,1,9,0,2020-2-4
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,2,0,1,12,0,2020-2-5
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,3,0,1,14,0,2020-2-6
Chicken Fettuccini,1.0,0.0,15.95,0.0,-0.0,15.95,0.8,15.95,0.0,4,0,1,19,15.95,2020-2-7
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,5,1,2,20,0,2020-2-8
Chicken Fettuccini,3.0,0.0,47.85,0.0,-0.0,47.85,1.36,15.95,0.0,6,0,2,10,47.85,2020-2-9
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,0,0,2,13,0,2020-2-10
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2020-2-11
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-2-12
Chicken Fettuccini,1.0,0.0,15.95,0.0,-0.0,15.95,1.75,15.95,0.0,3,0,2,17,15.95,2020-2-13
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,4,0,2,18,0,2020-2-14
Chicken Fettuccini,1.0,0.0,15.95,0.0,-0.0,15.95,0.99,15.95,0.0,5,1,3,18,15.95,2020-2-15
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,6,0,3,20,0,2020-2-16
Chicken Fettuccini,0,0,0,0,0,0,0,0,0,0,0,3,19,0,2020-2-17
