Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Chile Relleno,1.0,0.0,6.0,0.0,-0.0,6.0,0.79,6.0,0.0,1,0,1,21,6.0,2019-10-1
Large Chile Relleno,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Large Chile Relleno,1.0,0.0,12.95,0.0,-0.0,12.95,10.64,12.95,0.0,2,0,4,32,12.95,2019-10-23
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Chile Relleno,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Large Chile Relleno,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Chile Relleno,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Chile Relleno,3.0,0.0,18.0,0.0,-0.0,18.0,1.71,6.0,0.0,1,0,5,21,18.0,2019-10-29
Large Chile Relleno,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Large Chile Relleno,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Chile Relleno,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Large Chile Relleno,1.0,0.0,12.95,0.0,-0.0,12.95,0.52,12.95,0.0,3,0,3,25,12.95,2019-10-17
Chile Relleno,1.0,0.0,6.0,0.0,-0.0,6.0,0.24,6.0,0.0,3,0,3,25,6.0,2019-10-17
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Large Chile Relleno,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Chile Relleno,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Large Chile Relleno,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Chile Relleno,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Large Chile Relleno,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Chile Relleno,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Chile Relleno,4.0,0.0,24.0,0.0,-0.0,24.0,0.97,6.0,0.0,3,0,2,24,24.0,2019-10-10
Large Chile Relleno,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Large Chile Relleno,2.0,0.0,25.9,0.0,-0.0,25.9,1.38,12.95,0.0,4,0,2,27,25.9,2019-10-11
Chile Relleno,1.0,0.0,6.0,0.0,-0.0,6.0,0.32,6.0,0.0,4,0,2,27,6.0,2019-10-11
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Large Chile Relleno,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Chile Relleno,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Large Chile Relleno,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Chile Relleno,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Large Chile Relleno,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Chile Relleno,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Chile Relleno,2.0,0.0,12.0,0.0,-0.0,12.0,1.72,6.0,0.0,1,0,3,29,12.0,2019-10-15
Large Chile Relleno,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Large Chile Relleno,3.0,0.0,38.85,0.0,-0.0,38.85,1.13,12.95,0.0,6,0,3,27,38.85,2019-10-20
Chile Relleno,2.0,0.0,12.0,0.0,-0.0,12.0,0.35,6.0,0.0,6,0,3,27,12.0,2019-10-20
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Large Chile Relleno,2.0,0.0,25.9,0.0,-0.0,25.9,3.67,12.95,0.0,0,0,3,31,25.9,2019-10-21
Chile Relleno,1.0,0.0,6.0,0.0,-0.0,6.0,0.85,6.0,0.0,0,0,3,31,6.0,2019-10-21
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Large Chile Relleno,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Chile Relleno,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Large Chile Relleno,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Chile Relleno,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Large Chile Relleno,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Chile Relleno,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Large Chile Relleno,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Chile Relleno,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Large Chile Relleno,2.0,0.0,25.9,0.0,-0.0,25.9,1.23,12.95,0.0,4,0,1,26,25.9,2019-10-4
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Chile Relleno,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Large Chile Relleno,1.0,0.0,12.95,0.0,-0.0,12.95,1.65,12.95,0.0,5,1,1,30,12.95,2019-10-5
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Chile Relleno,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Large Chile Relleno,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Chile Relleno,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Large Chile Relleno,1.0,0.0,12.95,0.0,-0.0,12.95,1.63,12.95,0.0,3,0,5,20,12.95,2019-10-31
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Chile Relleno,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Large Chile Relleno,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Chile Relleno,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Large Chile Relleno,2.0,0.0,25.9,-12.95,-0.0,12.95,0.71,6.48,0.0,5,1,2,28,12.95,2019-10-12
Chile Relleno,1.0,0.0,6.0,0.0,-0.0,6.0,0.33,6.0,0.0,5,1,2,28,6.0,2019-10-12
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Large Chile Relleno,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Chile Relleno,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Large Chile Relleno,2.0,0.0,25.9,0.0,-0.0,25.9,1.45,12.95,0.0,5,1,4,30,25.9,2019-10-26
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Chile Relleno,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Large Chile Relleno,2.0,0.0,25.9,0.0,-0.0,25.9,1.7,12.95,0.0,5,1,3,26,25.9,2019-10-19
Chile Relleno,1.0,0.0,6.0,0.0,-0.0,6.0,0.39,6.0,0.0,5,1,3,26,6.0,2019-10-19
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Large Chile Relleno,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Chile Relleno,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Large Chile Relleno,1.0,0.0,12.95,0.0,-0.0,12.95,3.76,12.95,0.0,3,0,1,15,12.95,2019-12-5
Chile Relleno,2.0,0.0,12.0,0.0,-0.0,12.0,3.48,6.0,0.0,3,0,1,15,12.0,2019-12-5
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Large Chile Relleno,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Chile Relleno,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Large Chile Relleno,2.0,0.0,25.9,0.0,-0.0,25.9,0.46,12.95,0.0,1,0,5,15,25.9,2019-12-31
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
Chile Relleno,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
Large Chile Relleno,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Chile Relleno,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Large Chile Relleno,1.0,0.0,12.95,0.0,-0.0,12.95,1.7,12.95,0.0,3,0,2,19,12.95,2019-12-12
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Chile Relleno,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Large Chile Relleno,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Chile Relleno,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Large Chile Relleno,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Chile Relleno,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Large Chile Relleno,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
Chile Relleno,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
Large Chile Relleno,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Chile Relleno,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Chile Relleno,2.0,0.0,12.0,0.0,-0.0,12.0,1.33,6.0,0.0,3,0,3,15,12.0,2019-12-19
Large Chile Relleno,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
Large Chile Relleno,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
Chile Relleno,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
Large Chile Relleno,0,0,0,0,0,0,0,0,0,5,1,2,15,0,2019-12-14
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,5,1,2,15,0,2019-12-14
Chile Relleno,0,0,0,0,0,0,0,0,0,5,1,2,15,0,2019-12-14
Large Chile Relleno,2.0,0.0,25.9,0.0,-0.0,25.9,1.72,12.95,0.0,5,1,3,18,25.9,2019-12-21
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
Chile Relleno,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
Large Chile Relleno,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
Special Large Chile Relleno,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
Chile Relleno,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
Large Chile Relleno,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
