Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
"Cocktail ""Vuelve A La Vida""",1.0,0.0,18.95,0.0,-0.0,18.95,1.77,18.95,0.0,1,0,4,32,18.95,2019-10-22
"Cocktail ""Vuelve A La Vida""",1.0,0.0,18.95,0.0,-0.0,18.95,1.8,18.95,0.0,1,0,5,21,18.95,2019-10-29
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
"Cocktail ""Vuelve A La Vida""",2.0,0.0,37.9,0.0,-0.0,37.9,2.03,18.95,0.0,4,0,2,27,37.9,2019-10-11
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
"Cocktail ""Vuelve A La Vida""",2.0,0.0,37.9,0.0,-0.0,37.9,1.1,18.95,0.0,6,0,3,27,37.9,2019-10-20
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
"Cocktail ""Vuelve A La Vida""",1.0,0.0,18.95,0.0,-0.0,18.95,3.91,18.95,0.0,1,0,2,29,18.95,2019-10-8
"Cocktail ""Vuelve A La Vida""",1.0,0.0,18.95,0.0,-0.0,18.95,0.9,18.95,0.0,4,0,1,26,18.95,2019-10-4
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
"Cocktail ""Vuelve A La Vida""",1.0,0.0,18.95,0.0,-0.0,18.95,1.04,18.95,0.0,5,1,2,28,18.95,2019-10-12
"Cocktail ""Vuelve A La Vida""",1.0,0.0,18.95,0.0,-0.0,18.95,0.54,18.95,0.0,6,0,4,22,18.95,2019-10-27
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
"Cocktail ""Vuelve A La Vida""",2.0,0.0,37.9,0.0,-0.0,37.9,3.09,18.95,0.0,4,0,3,23,37.9,2019-10-18
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
"Cocktail ""Vuelve A La Vida""",1.0,0.0,18.95,0.0,-0.0,18.95,0.34,18.95,0.0,1,0,5,15,18.95,2019-12-31
"Cocktail ""Vuelve A La Vida""",1.0,0.0,18.95,0.0,-0.0,18.95,2.75,18.95,0.0,0,0,5,11,18.95,2019-12-30
"Cocktail ""Vuelve A La Vida""",1.0,0.0,18.95,0.0,-0.0,18.95,2.49,18.95,0.0,3,0,2,19,18.95,2019-12-12
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
"Cocktail ""Vuelve A La Vida""",1.0,0.0,18.95,0.0,-0.0,18.95,1.61,18.95,0.0,4,0,4,11,18.95,2019-12-27
"Cocktail ""Vuelve A La Vida""",0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
