Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Coffee,1.0,0.0,2.75,0.0,-0.0,2.75,0.36,2.75,0.0,1,0,1,21,2.75,2019-10-1
Kioki Coffee,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Keoke Coffee,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Kioki Coffee,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Keoke Coffee,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Coffee,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Coffee,1.0,0.0,2.75,0.0,-0.0,2.75,0.26,2.75,0.0,1,0,4,32,2.75,2019-10-22
Kioki Coffee,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Keoke Coffee,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Kioki Coffee,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Keoke Coffee,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Coffee,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Kioki Coffee,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Keoke Coffee,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Coffee,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Coffee,7.0,0.0,19.25,0.0,-0.0,19.25,0.77,2.75,0.0,3,0,3,25,19.25,2019-10-17
Kioki Coffee,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Keoke Coffee,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Kioki Coffee,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Keoke Coffee,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Coffee,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Kioki Coffee,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Keoke Coffee,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Coffee,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Kioki Coffee,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Keoke Coffee,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Coffee,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Kioki Coffee,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Keoke Coffee,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Coffee,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Kioki Coffee,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Keoke Coffee,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Coffee,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Kioki Coffee,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Keoke Coffee,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Coffee,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Coffee,1.0,0.0,2.75,0.0,-0.0,2.75,0.12,2.75,0.0,6,0,1,32,2.75,2019-10-6
Kioki Coffee,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Keoke Coffee,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Coffee,2.0,0.0,5.5,0.0,-0.0,5.5,0.79,2.75,0.0,0,0,2,22,5.5,2019-10-14
Kioki Coffee,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
