Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Combination de Dos,11.0,0.0,113.45,0.0,-0.0,113.45,14.96,10.31,0.0,1,0,1,21,113.45,2019-10-1
Combination de Dos,1.0,0.0,9.95,0.0,-0.0,9.95,8.17,9.95,0.0,2,0,4,32,9.95,2019-10-23
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,5.57,9.95,0.0,1,0,4,32,59.7,2019-10-22
Combination de Dos,10.0,0.0,109.5,0.0,-0.0,109.5,10.41,10.95,0.0,1,0,5,21,109.5,2019-10-29
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,5.49,9.95,0.0,0,0,4,20,29.85,2019-10-28
Combination de Dos,4.0,0.0,41.8,0.0,-0.0,41.8,1.68,10.45,0.0,3,0,3,25,41.8,2019-10-17
Combination de Dos,6.0,0.0,61.7,0.0,-0.0,61.7,21.06,10.28,0.0,2,0,3,29,61.7,2019-10-16
Combination de Dos,5.0,0.0,51.75,0.0,-0.0,51.75,5.96,10.35,0.0,3,0,4,31,51.75,2019-10-24
Combination de Dos,3.0,0.0,33.85,0.0,-0.0,33.85,2.91,11.28,0.0,4,0,4,31,33.85,2019-10-25
Combination de Dos,2.0,0.0,19.9,0.0,-0.0,19.9,0.8,9.95,0.0,3,0,2,24,19.9,2019-10-10
Combination de Dos,9.0,0.0,95.55,0.0,-0.0,95.55,5.11,10.62,0.0,4,0,2,27,95.55,2019-10-11
Combination de Dos,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Combination de Dos,6.0,0.0,69.7,-9.95,-0.0,59.75,2.6,9.96,0.0,6,0,1,32,59.75,2019-10-6
Combination de Dos,8.0,0.0,81.6,0.0,-0.0,81.6,11.65,10.2,0.0,0,0,2,22,81.6,2019-10-14
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,4.27,9.95,0.0,1,0,3,29,29.85,2019-10-15
Combination de Dos,10.0,0.0,101.5,-6.74,-0.0,94.76,2.75,9.48,0.0,6,0,3,27,94.76,2019-10-20
Combination de Dos,5.0,0.0,53.75,0.0,-0.0,53.75,7.61,10.75,0.0,0,0,3,31,53.75,2019-10-21
Combination de Dos,4.0,0.0,43.8,0.0,-0.0,43.8,1.56,10.95,0.0,3,0,1,27,43.8,2019-10-3
Combination de Dos,6.0,0.0,61.7,0.0,-0.0,61.7,7.31,10.28,0.0,2,0,1,27,61.7,2019-10-2
Combination de Dos,4.0,0.0,39.8,0.0,-0.0,39.8,0.74,9.95,0.0,2,0,2,25,39.8,2019-10-9
Combination de Dos,7.0,0.0,71.65,0.0,-0.0,71.65,14.8,10.24,0.0,1,0,2,29,71.65,2019-10-8
Combination de Dos,8.0,0.0,83.6,0.0,-0.0,83.6,3.96,10.45,0.0,4,0,1,26,83.6,2019-10-4
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,7.61,9.95,0.0,5,1,1,30,59.7,2019-10-5
Combination de Dos,4.0,0.0,39.8,0.0,-0.0,39.8,7.5,9.95,0.0,2,0,5,18,39.8,2019-10-30
Combination de Dos,3.0,0.0,31.85,0.0,-0.0,31.85,4.02,10.62,0.0,3,0,5,20,31.85,2019-10-31
Combination de Dos,11.0,0.0,115.45,0.0,-0.0,115.45,4.01,10.5,0.0,6,0,2,26,115.45,2019-10-13
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,3.29,9.95,0.0,5,1,2,28,59.7,2019-10-12
Combination de Dos,9.0,0.0,93.55,0.0,-0.0,93.55,2.68,10.39,0.0,6,0,4,22,93.55,2019-10-27
Combination de Dos,12.0,0.0,121.4,-0.99,-0.0,120.41,6.75,10.03,0.0,5,1,4,30,120.41,2019-10-26
Combination de Dos,8.0,0.0,83.6,0.0,-0.0,83.6,5.47,10.45,0.0,5,1,3,26,83.6,2019-10-19
Combination de Dos,5.0,0.0,51.75,0.0,-0.0,51.75,4.22,10.35,0.0,4,0,3,23,51.75,2019-10-18
Combination de Dos,2.0,0.0,19.9,0.0,-0.0,19.9,5.77,9.95,0.0,3,0,1,15,19.9,2019-12-5
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,7.28,9.95,0.0,2,0,1,11,29.85,2019-12-4
Combination de Dos,13.0,0.0,131.35,0.0,-0.0,131.35,2.36,10.1,0.0,1,0,5,15,131.35,2019-12-31
Combination de Dos,9.0,0.0,93.55,-19.9,-0.0,73.65,10.68,8.18,0.0,0,0,5,11,73.65,2019-12-30
Combination de Dos,5.0,0.0,49.75,0.0,-0.0,49.75,6.55,9.95,0.0,3,0,2,19,49.75,2019-12-12
Combination de Dos,8.0,0.0,79.6,0.0,-0.0,79.6,6.71,9.95,0.0,4,0,2,22,79.6,2019-12-13
Combination de Dos,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,5.06,9.95,0.0,4,0,4,11,59.7,2019-12-27
Combination de Dos,7.0,0.0,69.65,0.0,-0.0,69.65,9.93,9.95,0.0,2,0,3,12,69.65,2019-12-18
Combination de Dos,4.0,0.0,43.8,0.0,-0.0,43.8,4.84,10.95,0.0,3,0,3,15,43.8,2019-12-19
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,3.05,9.95,0.0,6,0,3,14,59.7,2019-12-15
Combination de Dos,16.0,0.0,161.2,-0.99,-0.0,160.21,7.15,10.01,0.0,5,1,2,15,160.21,2019-12-14
Combination de Dos,5.0,0.0,51.75,0.0,-0.0,51.75,3.44,10.35,0.0,5,1,3,18,51.75,2019-12-21
Combination de Dos,9.0,0.0,91.55,0.0,-0.0,91.55,3.7,10.17,0.0,4,0,3,17,91.55,2019-12-20
Combination de Dos,4.0,0.0,41.8,0.0,-0.0,41.8,7.86,10.45,0.0,0,0,1,17,41.8,2019-12-2
Combination de Dos,9.0,0.0,89.55,0.0,-0.0,89.55,12.04,9.95,0.0,1,0,1,18,89.55,2019-12-3
Combination de Dos,6.0,0.0,61.7,0.0,-0.0,61.7,1.68,10.28,0.0,6,0,2,15,61.7,2019-12-8
Combination de Dos,5.0,0.0,49.75,0.0,-0.0,49.75,1.65,9.95,0.0,0,0,2,16,49.75,2019-12-9
Combination de Dos,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Combination de Dos,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Combination de Dos,9.0,0.0,99.55,0.0,-0.0,99.55,11.67,11.06,0.0,2,0,2,18,99.55,2019-12-11
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,4.85,9.95,0.0,1,0,2,16,29.85,2019-12-10
Combination de Dos,13.0,0.0,133.35,-0.99,-0.0,132.36,7.23,10.18,0.0,4,0,1,18,132.36,2019-12-6
Combination de Dos,11.0,0.0,111.45,0.0,-0.0,111.45,3.63,10.13,0.0,5,1,1,16,111.45,2019-12-7
Combination de Dos,3.0,0.0,31.85,0.0,-0.0,31.85,1.21,10.62,0.0,6,0,1,14,31.85,2019-12-1
Combination de Dos,7.0,0.0,71.65,0.0,-0.0,71.65,2.24,10.24,0.0,6,0,4,17,71.65,2019-12-22
Combination de Dos,7.0,0.0,75.65,0.0,-0.0,75.65,6.82,10.81,0.0,0,0,4,9,75.65,2019-12-23
Combination de Dos,14.0,0.0,139.3,0.0,-0.0,139.3,8.07,9.95,0.0,5,1,4,13,139.3,2019-12-28
Combination de Dos,2.0,0.0,19.9,0.0,-0.0,19.9,1.2,9.95,0.0,6,0,5,12,19.9,2019-12-29
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,7.77,9.95,0.0,0,0,3,15,29.85,2019-12-16
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,6.19,9.95,0.0,1,0,3,12,29.85,2019-12-17
Combination de Dos,2.0,0.0,19.9,0.0,-0.0,19.9,3.21,9.95,0.0,1,0,1,9,19.9,2020-2-4
Combination de Dos,2.0,0.0,19.9,0.0,-0.0,19.9,4.39,9.95,0.0,2,0,1,12,19.9,2020-2-5
Combination de Dos,4.0,0.0,41.8,0.0,-0.0,41.8,11.61,10.45,0.0,2,0,3,19,41.8,2020-2-19
Combination de Dos,10.0,0.0,99.5,0.0,-0.0,99.5,5.3,9.95,0.0,1,0,3,19,99.5,2020-2-18
Combination de Dos,11.0,0.0,111.45,-9.95,-0.0,101.5,10.53,9.23,0.0,3,0,4,24,101.5,2020-2-27
Combination de Dos,4.0,0.0,43.8,-21.9,-0.0,21.9,18.92,5.48,0.0,2,0,4,21,21.9,2020-2-26
Combination de Dos,8.0,0.0,81.6,0.0,-0.0,81.6,8.95,10.2,0.0,3,0,2,17,81.6,2020-2-13
Combination de Dos,4.0,0.0,39.8,0.0,-0.0,39.8,9.91,9.95,0.0,2,0,2,15,39.8,2020-2-12
Combination de Dos,7.0,0.0,69.65,0.0,-0.0,69.65,7.05,9.95,0.0,3,0,3,23,69.65,2020-2-20
Combination de Dos,10.0,0.0,101.5,-0.99,-0.0,100.51,3.18,10.05,0.0,4,0,3,24,100.51,2020-2-21
Combination de Dos,12.0,0.0,125.4,0.0,-0.0,125.4,2.39,10.45,0.0,4,0,2,18,125.4,2020-2-14
Combination de Dos,10.0,0.0,103.5,0.0,-0.0,103.5,6.41,10.35,0.0,5,1,3,18,103.5,2020-2-15
Combination de Dos,6.0,0.0,61.7,0.0,-0.0,61.7,1.75,10.28,0.0,6,0,2,10,61.7,2020-2-9
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,5.5,9.95,0.0,5,1,2,20,59.7,2020-2-8
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,14.49,9.95,0.0,0,0,1,11,59.7,2020-2-3
Combination de Dos,8.0,0.0,79.6,0.0,-0.0,79.6,3.85,9.95,0.0,6,0,1,21,79.6,2020-2-2
Combination de Dos,4.0,0.0,39.8,0.0,-0.0,39.8,8.39,9.95,0.0,0,0,2,13,39.8,2020-2-10
Combination de Dos,4.0,0.0,39.8,-10.56,-0.0,29.24,4.83,7.31,0.0,1,0,2,16,29.24,2020-2-11
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,5.55,9.95,0.0,0,0,4,20,29.85,2020-2-24
Combination de Dos,2.0,0.0,19.9,0.0,-0.0,19.9,1.71,9.95,0.0,1,0,4,25,19.9,2020-2-25
Combination de Dos,8.0,0.0,79.6,0.0,-0.0,79.6,3.99,9.95,0.0,4,0,1,19,79.6,2020-2-7
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,3.98,9.95,0.0,3,0,1,14,29.85,2020-2-6
Combination de Dos,15.0,0.0,157.25,0.0,-0.0,157.25,7.91,10.48,0.0,5,1,1,24,157.25,2020-2-1
Combination de Dos,4.0,0.0,39.8,0.0,-0.0,39.8,4.88,9.95,0.0,0,0,3,19,39.8,2020-2-17
Combination de Dos,13.0,0.0,139.35,0.0,-0.0,139.35,4.7,10.72,0.0,6,0,3,20,139.35,2020-2-16
Combination de Dos,11.0,0.0,117.45,0.0,-0.0,117.45,8.62,10.68,0.0,5,1,5,19,117.45,2020-2-29
Combination de Dos,15.0,0.0,151.25,0.0,-0.0,151.25,5.48,10.08,0.0,4,0,4,23,151.25,2020-2-28
Combination de Dos,12.0,0.0,125.4,0.0,-0.0,125.4,3.22,10.45,0.0,6,0,4,14,125.4,2020-2-23
Combination de Dos,13.0,0.0,141.35,0.0,-0.0,141.35,10.13,10.87,0.0,5,1,4,14,141.35,2020-2-22
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,7.41,9.95,0.0,4,0,1,19,59.7,2020-1-3
Combination de Dos,2.0,0.0,19.9,0.0,-0.0,19.9,6.04,9.95,0.0,3,0,1,17,19.9,2020-1-2
Combination de Dos,4.0,0.0,43.8,0.0,-0.0,43.8,6.52,10.95,0.0,3,0,2,11,43.8,2020-1-9
Combination de Dos,4.0,0.0,39.8,0.0,-0.0,39.8,11.89,9.95,0.0,2,0,2,15,39.8,2020-1-8
Combination de Dos,10.0,0.0,105.5,0.0,-0.0,105.5,12.06,10.55,0.0,1,0,2,15,105.5,2020-1-14
Combination de Dos,3.0,0.0,33.85,0.0,-0.0,33.85,6.03,11.28,0.0,2,0,3,15,33.85,2020-1-15
Combination de Dos,9.0,0.0,91.55,0.0,-0.0,91.55,5.87,10.17,0.0,0,0,3,17,91.55,2020-1-20
Combination de Dos,1.0,0.0,9.95,0.0,-0.0,9.95,1.96,9.95,0.0,1,0,3,11,9.95,2020-1-21
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,5.01,9.95,0.0,0,0,2,13,29.85,2020-1-13
Combination de Dos,7.0,0.0,79.65,0.0,-0.0,79.65,2.71,11.38,0.0,6,0,2,15,79.65,2020-1-12
Combination de Dos,2.0,0.0,21.9,0.0,-0.0,21.9,5.53,10.95,0.0,0,0,4,19,21.9,2020-1-27
Combination de Dos,9.0,0.0,97.55,0.0,-0.0,97.55,3.35,10.84,0.0,6,0,4,19,97.55,2020-1-26
Combination de Dos,7.0,0.0,71.65,0.0,-0.0,71.65,4.98,10.24,0.0,6,0,3,19,71.65,2020-1-19
Combination de Dos,7.0,0.0,71.65,0.0,-0.0,71.65,4.12,10.24,0.0,5,1,3,17,71.65,2020-1-18
Combination de Dos,13.0,0.0,131.35,0.0,-0.0,131.35,10.85,10.1,0.0,5,1,1,18,131.35,2020-1-4
Combination de Dos,6.0,0.0,67.7,0.0,-0.0,67.7,3.3,11.28,0.0,6,0,1,17,67.7,2020-1-5
Combination de Dos,2.0,0.0,19.9,0.0,-0.0,19.9,2.66,9.95,0.0,3,0,5,18,19.9,2020-1-30
Combination de Dos,6.0,0.0,63.7,0.0,-0.0,63.7,1.16,10.62,0.0,4,0,5,21,63.7,2020-1-31
Combination de Dos,8.0,0.0,85.6,0.0,-0.0,85.6,8.65,10.7,0.0,3,0,4,19,85.6,2020-1-23
Combination de Dos,3.0,0.0,29.85,0.0,-0.0,29.85,4.7,9.95,0.0,2,0,4,14,29.85,2020-1-22
Combination de Dos,5.0,0.0,49.75,0.0,-0.0,49.75,8.1,9.95,0.0,2,0,5,17,49.75,2020-1-29
Combination de Dos,13.0,0.0,135.35,0.0,-0.0,135.35,11.61,10.41,0.0,1,0,4,21,135.35,2020-1-28
Combination de Dos,12.0,0.0,119.4,-5.66,-0.0,113.74,7.3,9.48,0.0,4,0,3,12,113.74,2020-1-17
Combination de Dos,3.0,0.0,35.85,0.0,-0.0,35.85,5.71,11.95,0.0,3,0,3,14,35.85,2020-1-16
Combination de Dos,1.0,0.0,11.95,0.0,-0.0,11.95,1.41,11.95,0.0,2,0,1,16,11.95,2020-1-1
Combination de Dos,6.0,0.0,61.7,0.0,-0.0,61.7,10.87,10.28,0.0,1,0,1,19,61.7,2020-1-7
Combination de Dos,8.0,0.0,79.6,0.0,-0.0,79.6,5.67,9.95,0.0,0,0,1,19,79.6,2020-1-6
Combination de Dos,6.0,0.0,59.7,0.0,-0.0,59.7,3.86,9.95,0.0,4,0,4,21,59.7,2020-1-24
Combination de Dos,5.0,0.0,49.75,0.0,-0.0,49.75,4.13,9.95,0.0,5,1,4,22,49.75,2020-1-25
Combination de Dos,10.0,0.0,99.5,0.0,-0.0,99.5,3.72,9.95,0.0,4,0,2,15,99.5,2020-1-10
Combination de Dos,12.0,0.0,121.4,0.0,-0.0,121.4,6.22,10.12,0.0,5,1,2,16,121.4,2020-1-11
