Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Combination de Tres,2.0,0.0,23.9,0.0,-0.0,23.9,3.15,11.95,0.0,1,0,1,21,23.9,2019-10-1
Combination de Tres,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Combination de Tres,8.0,0.0,103.6,0.0,-0.0,103.6,9.67,12.95,0.0,1,0,4,32,103.6,2019-10-22
Combination de Tres,2.0,0.0,25.9,0.0,-0.0,25.9,2.46,12.95,0.0,1,0,5,21,25.9,2019-10-29
Combination de Tres,2.0,0.0,23.9,0.0,-0.0,23.9,4.4,11.95,0.0,0,0,4,20,23.9,2019-10-28
Combination de Tres,6.0,0.0,73.7,0.0,-0.0,73.7,2.96,12.28,0.0,3,0,3,25,73.7,2019-10-17
Combination de Tres,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Combination de Tres,5.0,0.0,59.75,-11.95,-0.0,47.8,5.5,9.56,0.0,3,0,4,31,47.8,2019-10-24
Combination de Tres,5.0,0.0,59.75,0.0,-0.0,59.75,5.14,11.95,0.0,4,0,4,31,59.75,2019-10-25
Combination de Tres,3.0,0.0,35.85,0.0,-0.0,35.85,1.45,11.95,0.0,3,0,2,24,35.85,2019-10-10
Combination de Tres,13.0,0.0,163.35,-25.9,-0.0,137.45,7.35,10.57,0.0,4,0,2,27,137.45,2019-10-11
Combination de Tres,3.0,0.0,35.85,0.0,-0.0,35.85,11.7,11.95,0.0,0,0,1,32,35.85,2019-10-7
Combination de Tres,4.0,0.0,51.8,-13.95,-0.0,37.85,1.64,9.46,0.0,6,0,1,32,37.85,2019-10-6
Combination de Tres,7.0,0.0,85.65,0.0,-0.0,85.65,12.23,12.24,0.0,0,0,2,22,85.65,2019-10-14
Combination de Tres,2.0,0.0,25.9,-25.9,-0.0,0.0,0.0,0.0,0.0,1,0,3,29,0.0,2019-10-15
Combination de Tres,8.0,0.0,95.6,-11.95,-0.0,83.65,2.43,10.46,0.0,6,0,3,27,83.65,2019-10-20
Combination de Tres,7.0,0.0,87.65,0.0,-0.0,87.65,12.41,12.52,0.0,0,0,3,31,87.65,2019-10-21
Combination de Tres,7.0,0.0,93.65,0.0,-0.0,93.65,3.33,13.38,0.0,3,0,1,27,93.65,2019-10-3
Combination de Tres,6.0,0.0,81.7,0.0,-0.0,81.7,9.68,13.62,0.0,2,0,1,27,81.7,2019-10-2
Combination de Tres,3.0,0.0,37.85,-25.9,-0.0,11.95,0.22,3.98,0.0,2,0,2,25,11.95,2019-10-9
Combination de Tres,1.0,0.0,11.95,0.0,-0.0,11.95,2.47,11.95,0.0,1,0,2,29,11.95,2019-10-8
Combination de Tres,14.0,0.0,169.3,-12.39,-0.0,156.91,7.43,11.21,0.0,4,0,1,26,156.91,2019-10-4
Combination de Tres,4.0,0.0,53.8,0.0,-0.0,53.8,6.86,13.45,0.0,5,1,1,30,53.8,2019-10-5
Combination de Tres,3.0,0.0,35.85,0.0,-0.0,35.85,6.75,11.95,0.0,2,0,5,18,35.85,2019-10-30
Combination de Tres,8.0,0.0,101.6,0.0,-0.0,101.6,12.82,12.7,0.0,3,0,5,20,101.6,2019-10-31
Combination de Tres,8.0,0.0,95.6,0.0,-0.0,95.6,3.32,11.95,0.0,6,0,2,26,95.6,2019-10-13
Combination de Tres,12.0,0.0,145.4,-11.95,-0.0,133.45,7.35,11.12,0.0,5,1,2,28,133.45,2019-10-12
Combination de Tres,4.0,0.0,47.8,0.0,-0.0,47.8,1.37,11.95,0.0,6,0,4,22,47.8,2019-10-27
Combination de Tres,5.0,0.0,65.75,0.0,-0.0,65.75,3.69,13.15,0.0,5,1,4,30,65.75,2019-10-26
Combination de Tres,5.0,0.0,61.75,0.0,-0.0,61.75,4.04,12.35,0.0,5,1,3,26,61.75,2019-10-19
Combination de Tres,2.0,0.0,23.9,0.0,-0.0,23.9,1.95,11.95,0.0,4,0,3,23,23.9,2019-10-18
Combination de Tres,1.0,0.0,11.95,0.0,-0.0,11.95,3.47,11.95,0.0,3,0,1,15,11.95,2019-12-5
Combination de Tres,1.0,0.0,13.95,0.0,-0.0,13.95,3.4,13.95,0.0,2,0,1,11,13.95,2019-12-4
Combination de Tres,2.0,0.0,25.9,0.0,-0.0,25.9,0.46,12.95,0.0,1,0,5,15,25.9,2019-12-31
Combination de Tres,4.0,0.0,49.8,0.0,-0.0,49.8,7.22,12.45,0.0,0,0,5,11,49.8,2019-12-30
Combination de Tres,5.0,0.0,59.75,-11.95,-0.0,47.8,6.29,9.56,0.0,3,0,2,19,47.8,2019-12-12
Combination de Tres,2.0,0.0,25.9,0.0,-0.0,25.9,2.18,12.95,0.0,4,0,2,22,25.9,2019-12-13
Combination de Tres,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Combination de Tres,5.0,0.0,63.75,0.0,-0.0,63.75,5.41,12.75,0.0,4,0,4,11,63.75,2019-12-27
Combination de Tres,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Combination de Tres,3.0,0.0,35.85,0.0,-0.0,35.85,3.96,11.95,0.0,3,0,3,15,35.85,2019-12-19
Combination de Tres,4.0,0.0,49.8,0.0,-0.0,49.8,2.55,12.45,0.0,6,0,3,14,49.8,2019-12-15
Combination de Tres,0,0,0,0,0,0,0,0,0,5,1,2,15,0,2019-12-14
Combination de Tres,10.0,0.0,121.5,0.0,-0.0,121.5,8.07,12.15,0.0,5,1,3,18,121.5,2019-12-21
Combination de Tres,2.0,0.0,23.9,0.0,-0.0,23.9,0.96,11.95,0.0,4,0,3,17,23.9,2019-12-20
Combination de Tres,1.0,0.0,13.95,0.0,-0.0,13.95,2.62,13.95,0.0,0,0,1,17,13.95,2019-12-2
Combination de Tres,2.0,0.0,23.9,0.0,-0.0,23.9,3.21,11.95,0.0,1,0,1,18,23.9,2019-12-3
Combination de Tres,5.0,0.0,59.75,0.0,-0.0,59.75,1.62,11.95,0.0,6,0,2,15,59.75,2019-12-8
Combination de Tres,7.0,0.0,87.65,0.0,-0.0,87.65,2.9,12.52,0.0,0,0,2,16,87.65,2019-12-9
Combination de Tres,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Combination de Tres,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Combination de Tres,5.0,0.0,63.75,0.0,-0.0,63.75,7.48,12.75,0.0,2,0,2,18,63.75,2019-12-11
Combination de Tres,2.0,0.0,23.9,0.0,-0.0,23.9,3.89,11.95,0.0,1,0,2,16,23.9,2019-12-10
Combination de Tres,7.0,0.0,91.65,-0.42,-0.0,91.23,4.98,13.03,0.0,4,0,1,18,91.23,2019-12-6
Combination de Tres,2.0,0.0,23.9,0.0,-0.0,23.9,0.78,11.95,0.0,5,1,1,16,23.9,2019-12-7
Combination de Tres,3.0,0.0,39.85,0.0,-0.0,39.85,1.52,13.28,0.0,6,0,1,14,39.85,2019-12-1
Combination de Tres,9.0,0.0,113.55,0.0,-0.0,113.55,3.55,12.62,0.0,6,0,4,17,113.55,2019-12-22
Combination de Tres,1.0,0.0,11.95,0.0,-0.0,11.95,1.08,11.95,0.0,0,0,4,9,11.95,2019-12-23
Combination de Tres,4.0,0.0,49.8,0.0,-0.0,49.8,2.89,12.45,0.0,5,1,4,13,49.8,2019-12-28
Combination de Tres,1.0,0.0,11.95,0.0,-0.0,11.95,0.72,11.95,0.0,6,0,5,12,11.95,2019-12-29
Combination de Tres,2.0,0.0,23.9,0.0,-0.0,23.9,6.22,11.95,0.0,0,0,3,15,23.9,2019-12-16
Combination de Tres,3.0,0.0,37.85,0.0,-0.0,37.85,7.85,12.62,0.0,1,0,3,12,37.85,2019-12-17
Combination de Tres,1.0,0.0,11.95,0.0,-0.0,11.95,1.93,11.95,0.0,1,0,1,9,11.95,2020-2-4
Combination de Tres,1.0,0.0,11.95,0.0,-0.0,11.95,2.63,11.95,0.0,2,0,1,12,11.95,2020-2-5
Combination de Tres,0,0,0,0,0,0,0,0,0,2,0,3,19,0,2020-2-19
Combination de Tres,3.0,0.0,35.85,0.0,-0.0,35.85,1.91,11.95,0.0,1,0,3,19,35.85,2020-2-18
Combination de Tres,3.0,0.0,41.85,0.0,-0.0,41.85,4.34,13.95,0.0,3,0,4,24,41.85,2020-2-27
Combination de Tres,0,0,0,0,0,0,0,0,0,2,0,4,21,0,2020-2-26
Combination de Tres,5.0,0.0,65.75,-13.95,-0.0,51.8,5.68,10.36,0.0,3,0,2,17,51.8,2020-2-13
Combination de Tres,1.0,0.0,11.95,0.0,-0.0,11.95,2.97,11.95,0.0,2,0,2,15,11.95,2020-2-12
Combination de Tres,4.0,0.0,47.8,0.0,-0.0,47.8,4.84,11.95,0.0,3,0,3,23,47.8,2020-2-20
Combination de Tres,7.0,0.0,91.65,0.0,-0.0,91.65,2.9,13.09,0.0,4,0,3,24,91.65,2020-2-21
Combination de Tres,16.0,0.0,201.2,0.0,-0.0,201.2,3.83,12.58,0.0,4,0,2,18,201.2,2020-2-14
Combination de Tres,3.0,0.0,37.85,0.0,-0.0,37.85,2.35,12.62,0.0,5,1,3,18,37.85,2020-2-15
Combination de Tres,7.0,0.0,83.65,0.0,-0.0,83.65,2.38,11.95,0.0,6,0,2,10,83.65,2020-2-9
Combination de Tres,2.0,0.0,23.9,0.0,-0.0,23.9,2.2,11.95,0.0,5,1,2,20,23.9,2020-2-8
Combination de Tres,3.0,0.0,39.85,0.0,-0.0,39.85,9.67,13.28,0.0,0,0,1,11,39.85,2020-2-3
Combination de Tres,2.0,0.0,23.9,0.0,-0.0,23.9,1.16,11.95,0.0,6,0,1,21,23.9,2020-2-2
Combination de Tres,0,0,0,0,0,0,0,0,0,0,0,2,13,0,2020-2-10
Combination de Tres,1.0,0.0,11.95,0.0,-0.0,11.95,1.98,11.95,0.0,1,0,2,16,11.95,2020-2-11
Combination de Tres,1.0,0.0,11.95,0.0,-0.0,11.95,2.22,11.95,0.0,0,0,4,20,11.95,2020-2-24
Combination de Tres,1.0,0.0,11.95,0.0,-0.0,11.95,1.03,11.95,0.0,1,0,4,25,11.95,2020-2-25
Combination de Tres,3.0,0.0,35.85,0.0,-0.0,35.85,1.8,11.95,0.0,4,0,1,19,35.85,2020-2-7
Combination de Tres,5.0,0.0,59.75,0.0,-0.0,59.75,7.97,11.95,0.0,3,0,1,14,59.75,2020-2-6
Combination de Tres,2.0,0.0,25.9,0.0,-0.0,25.9,1.3,12.95,0.0,5,1,1,24,25.9,2020-2-1
Combination de Tres,6.0,0.0,73.7,0.0,-0.0,73.7,9.03,12.28,0.0,0,0,3,19,73.7,2020-2-17
Combination de Tres,2.0,0.0,27.9,-1.19,-0.0,26.71,0.9,13.36,0.0,6,0,3,20,26.71,2020-2-16
Combination de Tres,4.0,0.0,49.8,0.0,-0.0,49.8,3.66,12.45,0.0,5,1,5,19,49.8,2020-2-29
Combination de Tres,6.0,2.0,77.7,0.0,-23.9,53.8,1.95,13.45,0.0,4,0,4,23,53.8,2020-2-28
Combination de Tres,10.0,0.0,129.5,0.0,-0.0,129.5,3.32,12.95,0.0,6,0,4,14,129.5,2020-2-23
Combination de Tres,7.0,0.0,91.65,0.0,-0.0,91.65,6.57,13.09,0.0,5,1,4,14,91.65,2020-2-22
Combination de Tres,3.0,0.0,37.85,0.0,-0.0,37.85,4.7,12.62,0.0,4,0,1,19,37.85,2020-1-3
Combination de Tres,0,0,0,0,0,0,0,0,0,3,0,1,17,0,2020-1-2
Combination de Tres,1.0,0.0,11.95,0.0,-0.0,11.95,1.78,11.95,0.0,3,0,2,11,11.95,2020-1-9
Combination de Tres,3.0,0.0,37.85,-11.95,-0.0,25.9,7.74,8.63,0.0,2,0,2,15,25.9,2020-1-8
Combination de Tres,0,0,0,0,0,0,0,0,0,1,0,2,15,0,2020-1-14
Combination de Tres,1.0,0.0,11.95,0.0,-0.0,11.95,2.13,11.95,0.0,2,0,3,15,11.95,2020-1-15
Combination de Tres,3.0,0.0,35.85,0.0,-0.0,35.85,2.3,11.95,0.0,0,0,3,17,35.85,2020-1-20
Combination de Tres,2.0,0.0,25.9,0.0,-0.0,25.9,5.09,12.95,0.0,1,0,3,11,25.9,2020-1-21
Combination de Tres,3.0,0.0,35.85,0.0,-0.0,35.85,6.02,11.95,0.0,0,0,2,13,35.85,2020-1-13
Combination de Tres,6.0,0.0,75.7,0.0,-0.0,75.7,2.58,12.62,0.0,6,0,2,15,75.7,2020-1-12
Combination de Tres,2.0,0.0,23.9,0.0,-0.0,23.9,6.03,11.95,0.0,0,0,4,19,23.9,2020-1-27
Combination de Tres,6.0,0.0,77.7,0.0,-0.0,77.7,2.66,12.95,0.0,6,0,4,19,77.7,2020-1-26
Combination de Tres,4.0,0.0,47.8,0.0,-0.0,47.8,3.32,11.95,0.0,6,0,3,19,47.8,2020-1-19
Combination de Tres,4.0,0.0,51.8,0.0,-0.0,51.8,2.98,12.95,0.0,5,1,3,17,51.8,2020-1-18
Combination de Tres,4.0,0.0,47.8,0.0,-0.0,47.8,3.95,11.95,0.0,5,1,1,18,47.8,2020-1-4
Combination de Tres,3.0,0.0,43.85,0.0,-0.0,43.85,2.14,14.62,0.0,6,0,1,17,43.85,2020-1-5
Combination de Tres,0,0,0,0,0,0,0,0,0,3,0,5,18,0,2020-1-30
Combination de Tres,3.0,0.0,37.85,0.0,-0.0,37.85,0.69,12.62,0.0,4,0,5,21,37.85,2020-1-31
Combination de Tres,0,0,0,0,0,0,0,0,0,3,0,4,19,0,2020-1-23
Combination de Tres,1.0,0.0,11.95,0.0,-0.0,11.95,1.88,11.95,0.0,2,0,4,14,11.95,2020-1-22
Combination de Tres,3.0,0.0,37.85,0.0,-0.0,37.85,6.16,12.62,0.0,2,0,5,17,37.85,2020-1-29
Combination de Tres,2.0,0.0,25.9,0.0,-0.0,25.9,2.22,12.95,0.0,1,0,4,21,25.9,2020-1-28
Combination de Tres,1.0,0.0,11.95,0.0,-0.0,11.95,0.77,11.95,0.0,4,0,3,12,11.95,2020-1-17
Combination de Tres,3.0,0.0,37.85,0.0,-0.0,37.85,6.03,12.62,0.0,3,0,3,14,37.85,2020-1-16
Combination de Tres,7.0,0.0,85.65,0.0,-0.0,85.65,10.11,12.24,0.0,2,0,1,16,85.65,2020-1-1
Combination de Tres,1.0,0.0,11.95,0.0,-0.0,11.95,2.11,11.95,0.0,1,0,1,19,11.95,2020-1-7
Combination de Tres,4.0,0.0,47.8,0.0,-0.0,47.8,3.4,11.95,0.0,0,0,1,19,47.8,2020-1-6
