Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Combination de Uno,5.0,0.0,39.75,0.0,-0.0,39.75,5.24,7.95,0.0,1,0,1,21,39.75,2019-10-1
Combination de Uno,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Combination de Uno,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,0.76,7.95,0.0,1,0,5,21,7.95,2019-10-29
Combination de Uno,2.0,0.0,15.9,0.0,-0.0,15.9,2.93,7.95,0.0,0,0,4,20,15.9,2019-10-28
Combination de Uno,3.0,0.0,27.85,0.0,-0.0,27.85,1.12,9.28,0.0,3,0,3,25,27.85,2019-10-17
Combination de Uno,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,0.91,7.95,0.0,3,0,4,31,7.95,2019-10-24
Combination de Uno,3.0,0.0,23.85,0.0,-0.0,23.85,2.05,7.95,0.0,4,0,4,31,23.85,2019-10-25
Combination de Uno,2.0,0.0,15.9,0.0,-0.0,15.9,0.64,7.95,0.0,3,0,2,24,15.9,2019-10-10
Combination de Uno,3.0,0.0,23.85,0.0,-0.0,23.85,1.27,7.95,0.0,4,0,2,27,23.85,2019-10-11
Combination de Uno,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,0.35,7.95,0.0,6,0,1,32,7.95,2019-10-6
Combination de Uno,2.0,0.0,15.9,0.0,-0.0,15.9,2.27,7.95,0.0,0,0,2,22,15.9,2019-10-14
Combination de Uno,3.0,0.0,25.85,0.0,-0.0,25.85,3.69,8.62,0.0,1,0,3,29,25.85,2019-10-15
Combination de Uno,4.0,0.0,33.8,-1.79,-0.0,32.01,0.93,8.0,0.0,6,0,3,27,32.01,2019-10-20
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,1.13,7.95,0.0,0,0,3,31,7.95,2019-10-21
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,0.28,7.95,0.0,3,0,1,27,7.95,2019-10-3
Combination de Uno,2.0,0.0,17.9,0.0,-0.0,17.9,2.12,8.95,0.0,2,0,1,27,17.9,2019-10-2
Combination de Uno,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,1.64,7.95,0.0,1,0,2,29,7.95,2019-10-8
Combination de Uno,1.0,0.0,9.95,0.0,-0.0,9.95,0.47,9.95,0.0,4,0,1,26,9.95,2019-10-4
Combination de Uno,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Combination de Uno,2.0,0.0,15.9,0.0,-0.0,15.9,2.99,7.95,0.0,2,0,5,18,15.9,2019-10-30
Combination de Uno,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,0.28,7.95,0.0,6,0,2,26,7.95,2019-10-13
Combination de Uno,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Combination de Uno,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,0.45,7.95,0.0,5,1,4,30,7.95,2019-10-26
Combination de Uno,4.0,0.0,31.8,0.0,-0.0,31.8,2.08,7.95,0.0,5,1,3,26,31.8,2019-10-19
Combination de Uno,2.0,0.0,15.9,0.0,-0.0,15.9,1.3,7.95,0.0,4,0,3,23,15.9,2019-10-18
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,2.31,7.95,0.0,3,0,1,15,7.95,2019-12-5
Combination de Uno,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Combination de Uno,4.0,0.0,31.8,0.0,-0.0,31.8,0.57,7.95,0.0,1,0,5,15,31.8,2019-12-31
Combination de Uno,2.0,0.0,15.9,0.0,-0.0,15.9,2.31,7.95,0.0,0,0,5,11,15.9,2019-12-30
Combination de Uno,4.0,0.0,31.8,0.0,-0.0,31.8,4.19,7.95,0.0,3,0,2,19,31.8,2019-12-12
Combination de Uno,3.0,0.0,23.85,0.0,-0.0,23.85,2.01,7.95,0.0,4,0,2,22,23.85,2019-12-13
Combination de Uno,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Combination de Uno,3.0,0.0,25.85,0.0,-0.0,25.85,2.19,8.62,0.0,4,0,4,11,25.85,2019-12-27
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,1.13,7.95,0.0,2,0,3,12,7.95,2019-12-18
Combination de Uno,3.0,0.0,23.85,0.0,-0.0,23.85,2.63,7.95,0.0,3,0,3,15,23.85,2019-12-19
Combination de Uno,3.0,0.0,23.85,0.0,-0.0,23.85,1.22,7.95,0.0,6,0,3,14,23.85,2019-12-15
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,0.35,7.95,0.0,5,1,2,15,7.95,2019-12-14
Combination de Uno,4.0,0.0,33.8,0.0,-0.0,33.8,2.24,8.45,0.0,5,1,3,18,33.8,2019-12-21
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,0.32,7.95,0.0,4,0,3,17,7.95,2019-12-20
Combination de Uno,4.0,0.0,31.8,0.0,-0.0,31.8,5.98,7.95,0.0,0,0,1,17,31.8,2019-12-2
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,1.07,7.95,0.0,1,0,1,18,7.95,2019-12-3
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,0.22,7.95,0.0,6,0,2,15,7.95,2019-12-8
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,0.26,7.95,0.0,0,0,2,16,7.95,2019-12-9
Combination de Uno,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Combination de Uno,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,0.93,7.95,0.0,2,0,2,18,7.95,2019-12-11
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,1.29,7.95,0.0,1,0,2,16,7.95,2019-12-10
Combination de Uno,2.0,0.0,15.9,-0.79,-0.0,15.11,0.83,7.56,0.0,4,0,1,18,15.11,2019-12-6
Combination de Uno,2.0,0.0,17.9,0.0,-0.0,17.9,0.58,8.95,0.0,5,1,1,16,17.9,2019-12-7
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,0.3,7.95,0.0,6,0,1,14,7.95,2019-12-1
Combination de Uno,2.0,0.0,15.9,0.0,-0.0,15.9,0.5,7.95,0.0,6,0,4,17,15.9,2019-12-22
Combination de Uno,2.0,0.0,15.9,0.0,-0.0,15.9,1.43,7.95,0.0,0,0,4,9,15.9,2019-12-23
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,0.46,7.95,0.0,5,1,4,13,7.95,2019-12-28
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,0.48,7.95,0.0,6,0,5,12,7.95,2019-12-29
Combination de Uno,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
Combination de Uno,0,0,0,0,0,0,0,0,0,1,0,3,12,0,2019-12-17
Combination de Uno,3.0,0.0,23.85,0.0,-0.0,23.85,3.85,7.95,0.0,1,0,1,9,23.85,2020-2-4
Combination de Uno,1.0,0.0,9.95,0.0,-0.0,9.95,2.19,9.95,0.0,2,0,1,12,9.95,2020-2-5
Combination de Uno,0,0,0,0,0,0,0,0,0,2,0,3,19,0,2020-2-19
Combination de Uno,2.0,0.0,15.9,0.0,-0.0,15.9,0.85,7.95,0.0,1,0,3,19,15.9,2020-2-18
Combination de Uno,2.0,0.0,15.9,0.0,-0.0,15.9,1.65,7.95,0.0,3,0,4,24,15.9,2020-2-27
Combination de Uno,2.0,0.0,17.9,-7.95,-0.0,9.95,8.6,4.98,0.0,2,0,4,21,9.95,2020-2-26
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,0.87,7.95,0.0,3,0,2,17,7.95,2020-2-13
Combination de Uno,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-2-12
Combination de Uno,2.0,0.0,15.9,0.0,-0.0,15.9,1.61,7.95,0.0,3,0,3,23,15.9,2020-2-20
Combination de Uno,8.0,0.0,65.6,0.0,-0.0,65.6,2.07,8.2,0.0,4,0,3,24,65.6,2020-2-21
Combination de Uno,5.0,0.0,41.75,0.0,-0.0,41.75,0.8,8.35,0.0,4,0,2,18,41.75,2020-2-14
Combination de Uno,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2020-2-15
Combination de Uno,0,0,0,0,0,0,0,0,0,6,0,2,10,0,2020-2-9
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,0.73,7.95,0.0,5,1,2,20,7.95,2020-2-8
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,1.93,7.95,0.0,0,0,1,11,7.95,2020-2-3
Combination de Uno,0,0,0,0,0,0,0,0,0,6,0,1,21,0,2020-2-2
Combination de Uno,0,0,0,0,0,0,0,0,0,0,0,2,13,0,2020-2-10
Combination de Uno,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2020-2-11
Combination de Uno,2.0,0.0,17.9,0.0,-0.0,17.9,3.33,8.95,0.0,0,0,4,20,17.9,2020-2-24
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,0.68,7.95,0.0,1,0,4,25,7.95,2020-2-25
Combination de Uno,4.0,0.0,31.8,0.0,-0.0,31.8,1.6,7.95,0.0,4,0,1,19,31.8,2020-2-7
Combination de Uno,2.0,0.0,19.9,0.0,-0.0,19.9,2.65,9.95,0.0,3,0,1,14,19.9,2020-2-6
Combination de Uno,2.0,0.0,15.9,0.0,-0.0,15.9,0.8,7.95,0.0,5,1,1,24,15.9,2020-2-1
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,0.97,7.95,0.0,0,0,3,19,7.95,2020-2-17
Combination de Uno,3.0,0.0,23.85,0.0,-0.0,23.85,0.8,7.95,0.0,6,0,3,20,23.85,2020-2-16
Combination de Uno,3.0,0.0,25.85,0.0,-0.0,25.85,1.9,8.62,0.0,5,1,5,19,25.85,2020-2-29
Combination de Uno,2.0,0.0,15.9,0.0,-0.0,15.9,0.58,7.95,0.0,4,0,4,23,15.9,2020-2-28
Combination de Uno,0,0,0,0,0,0,0,0,0,6,0,4,14,0,2020-2-23
Combination de Uno,1.0,0.0,7.95,0.0,-0.0,7.95,0.57,7.95,0.0,5,1,4,14,7.95,2020-2-22
Combination de Uno,3.0,0.0,23.85,0.0,-0.0,23.85,2.96,7.95,0.0,4,0,1,19,23.85,2020-1-3
Combination de Uno,4.0,0.0,35.8,0.0,-0.0,35.8,10.86,8.95,0.0,3,0,1,17,35.8,2020-1-2
Combination de Uno,1.0,0.0,9.95,0.0,-0.0,9.95,1.48,9.95,0.0,3,0,2,11,9.95,2020-1-9
Combination de Uno,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-1-8
Combination de Uno,2.0,0.0,15.9,0.0,-0.0,15.9,1.82,7.95,0.0,1,0,2,15,15.9,2020-1-14
Combination de Uno,0,0,0,0,0,0,0,0,0,2,0,3,15,0,2020-1-15
Combination de Uno,0,0,0,0,0,0,0,0,0,0,0,3,17,0,2020-1-20
Combination de Uno,0,0,0,0,0,0,0,0,0,1,0,3,11,0,2020-1-21
