Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Coronadita Margarita,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Corona Light,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Coronadita,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Corona,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Cubeta Corona,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Corona,2.0,0.0,10.0,-2.0,-0.0,8.0,0.95,4.0,0.0,2,0,1,27,0.0,2019-10-2
Coronadita Margarita,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Corona Light,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Coronadita,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Cubeta Corona,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Coronadita Margarita,1.0,0.0,10.0,0.0,-0.0,10.0,0.36,10.0,0.0,3,0,1,27,10.0,2019-10-3
Corona Light,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Coronadita,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Corona,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Cubeta Corona,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Corona,3.0,0.0,15.0,0.0,-0.0,15.0,0.71,5.0,0.0,4,0,1,26,0.0,2019-10-4
Coronadita Margarita,1.0,0.0,10.0,0.0,-0.0,10.0,0.47,10.0,0.0,4,0,1,26,10.0,2019-10-4
Corona Light,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Coronadita,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Cubeta Corona,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Corona,2.0,0.0,10.0,0.0,-0.0,10.0,1.27,5.0,0.0,5,1,1,30,0.0,2019-10-5
Corona Light,2.0,0.0,10.0,0.0,-0.0,10.0,1.27,5.0,0.0,5,1,1,30,0.0,2019-10-5
Coronadita Margarita,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Coronadita,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Cubeta Corona,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Corona,3.0,0.0,18.0,0.0,-0.0,18.0,0.78,6.0,0.0,6,0,1,32,0.0,2019-10-6
Coronadita Margarita,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Corona Light,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Coronadita,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Cubeta Corona,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Corona Light,2.0,0.0,10.0,0.0,-0.0,10.0,3.26,5.0,0.0,0,0,1,32,0.0,2019-10-7
Coronadita Margarita,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Coronadita,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Corona,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Cubeta Corona,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Coronadita Margarita,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Corona Light,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Coronadita,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Corona,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Cubeta Corona,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Coronadita Margarita,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Corona Light,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Coronadita,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Corona,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Cubeta Corona,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Coronadita Margarita,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Corona Light,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Coronadita,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Corona,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Cubeta Corona,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Corona,7.0,0.0,35.0,0.0,-0.0,35.0,1.87,5.0,0.0,4,0,2,27,0.0,2019-10-11
Corona Light,1.0,0.0,5.0,-1.0,-0.0,4.0,0.21,4.0,0.0,4,0,2,27,0.0,2019-10-11
Coronadita Margarita,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Coronadita,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Cubeta Corona,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Coronadita Margarita,2.0,0.0,18.0,0.0,-0.0,18.0,0.99,9.0,0.0,5,1,2,28,18.0,2019-10-12
Corona,1.0,0.0,5.0,0.0,-0.0,5.0,0.28,5.0,0.0,5,1,2,28,0.0,2019-10-12
Corona Light,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Coronadita,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Cubeta Corona,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Corona,2.0,0.0,10.0,0.0,-0.0,10.0,0.35,5.0,0.0,6,0,2,26,0.0,2019-10-13
Coronadita Margarita,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Corona Light,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Coronadita,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Cubeta Corona,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Corona,1.0,0.0,8.0,-1.0,-0.0,7.0,1.0,7.0,0.0,0,0,2,22,0.0,2019-10-14
Coronadita Margarita,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Corona Light,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Coronadita,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Cubeta Corona,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Corona,1.0,0.0,5.0,0.0,-0.0,5.0,0.71,5.0,0.0,1,0,3,29,0.0,2019-10-15
Coronadita Margarita,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Corona Light,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Coronadita,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Cubeta Corona,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Corona,2.0,0.0,13.0,-1.0,-0.0,12.0,4.1,6.0,0.0,2,0,3,29,0.0,2019-10-16
Coronadita Margarita,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Corona Light,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Coronadita,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Cubeta Corona,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Coronadita Margarita,2.0,0.0,18.0,0.0,-0.0,18.0,0.72,9.0,0.0,3,0,3,25,18.0,2019-10-17
Corona Light,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Coronadita,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Corona,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Cubeta Corona,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Corona,2.0,0.0,10.0,0.0,-0.0,10.0,0.82,5.0,0.0,4,0,3,23,0.0,2019-10-18
Coronadita,2.0,0.0,6.0,0.0,-0.0,6.0,0.49,3.0,0.0,4,0,3,23,6.0,2019-10-18
Coronadita Margarita,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
