Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Deep Fried Ice Cream,2.0,0.0,13.9,0.0,-0.0,13.9,1.83,6.95,0.0,1,0,1,21,13.9,2019-10-1
Deep Fried Ice Cream,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Deep Fried Ice Cream,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Deep Fried Ice Cream,3.0,0.0,20.85,0.0,-0.0,20.85,1.98,6.95,0.0,1,0,5,21,20.85,2019-10-29
Deep Fried Ice Cream,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Deep Fried Ice Cream,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Deep Fried Ice Cream,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Deep Fried Ice Cream,1.0,0.0,6.95,0.0,-0.0,6.95,0.8,6.95,0.0,3,0,4,31,6.95,2019-10-24
Deep Fried Ice Cream,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Deep Fried Ice Cream,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Deep Fried Ice Cream,2.0,0.0,13.9,0.0,-0.0,13.9,0.74,6.95,0.0,4,0,2,27,13.9,2019-10-11
Deep Fried Ice Cream,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Deep Fried Ice Cream,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Deep Fried Ice Cream,1.0,0.0,6.95,0.0,-0.0,6.95,0.99,6.95,0.0,0,0,2,22,6.95,2019-10-14
Deep Fried Ice Cream,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Deep Fried Ice Cream,1.0,0.0,6.95,0.0,-0.0,6.95,0.2,6.95,0.0,6,0,3,27,6.95,2019-10-20
Deep Fried Ice Cream,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Deep Fried Ice Cream,3.0,0.0,20.85,0.0,-0.0,20.85,0.74,6.95,0.0,3,0,1,27,20.85,2019-10-3
Deep Fried Ice Cream,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Deep Fried Ice Cream,1.0,0.0,6.95,0.0,-0.0,6.95,0.13,6.95,0.0,2,0,2,25,6.95,2019-10-9
Deep Fried Ice Cream,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Deep Fried Ice Cream,1.0,0.0,6.95,0.0,-0.0,6.95,0.33,6.95,0.0,4,0,1,26,6.95,2019-10-4
Deep Fried Ice Cream,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Deep Fried Ice Cream,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Deep Fried Ice Cream,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Deep Fried Ice Cream,3.0,0.0,20.85,0.0,-0.0,20.85,0.72,6.95,0.0,6,0,2,26,20.85,2019-10-13
Deep Fried Ice Cream,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Deep Fried Ice Cream,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Deep Fried Ice Cream,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Deep Fried Ice Cream,1.0,0.0,6.95,0.0,-0.0,6.95,0.46,6.95,0.0,5,1,3,26,6.95,2019-10-19
Deep Fried Ice Cream,1.0,0.0,6.95,0.0,-0.0,6.95,0.57,6.95,0.0,4,0,3,23,6.95,2019-10-18
Deep Fried Ice Cream,1.0,0.0,6.95,0.0,-0.0,6.95,2.02,6.95,0.0,3,0,1,15,6.95,2019-12-5
Deep Fried Ice Cream,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
