Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Paloma Don Julio añejo,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Don Julio,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Cadillac Margarita Don Julio,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Paloma Don Julio añejo,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Don Julio,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Cadillac Margarita Don Julio,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Paloma Don Julio añejo,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Don Julio,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Cadillac Margarita Don Julio,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Don Julio,5.0,0.0,64.0,0.0,-0.0,64.0,3.03,12.8,0.0,4,0,1,26,0.0,2019-10-4
Paloma Don Julio añejo,1.0,0.0,18.0,0.0,-0.0,18.0,0.85,18.0,0.0,4,0,1,26,0.0,2019-10-4
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Cadillac Margarita Don Julio,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Cadillac Margarita Don Julio,3.0,0.0,54.0,0.0,-0.0,54.0,6.88,18.0,0.0,5,1,1,30,0.0,2019-10-5
Don Julio,1.0,0.0,12.0,0.0,-0.0,12.0,1.53,12.0,0.0,5,1,1,30,0.0,2019-10-5
Paloma Don Julio añejo,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Paloma Don Julio añejo,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Don Julio,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Cadillac Margarita Don Julio,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Paloma Don Julio añejo,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Don Julio,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Cadillac Margarita Don Julio,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Mercadito Margarita Don Julio,1.0,0.0,14.0,0.0,-0.0,14.0,2.89,14.0,0.0,1,0,2,29,14.0,2019-10-8
Paloma Don Julio añejo,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Don Julio,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Cadillac Margarita Don Julio,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Paloma Don Julio añejo,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Don Julio,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Cadillac Margarita Don Julio,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Paloma Don Julio añejo,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Don Julio,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Cadillac Margarita Don Julio,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Mercadito Margarita Don Julio,1.0,0.0,14.0,0.0,-0.0,14.0,0.75,14.0,0.0,4,0,2,27,14.0,2019-10-11
Paloma Don Julio añejo,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Don Julio,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Cadillac Margarita Don Julio,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Mercadito Margarita Don Julio,1.0,0.0,14.0,0.0,-0.0,14.0,0.77,14.0,0.0,5,1,2,28,14.0,2019-10-12
Paloma Don Julio añejo,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Don Julio,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Cadillac Margarita Don Julio,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Paloma Don Julio añejo,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Don Julio,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Cadillac Margarita Don Julio,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Paloma Don Julio añejo,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Don Julio,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Cadillac Margarita Don Julio,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Mercadito Margarita Don Julio,1.0,0.0,14.0,0.0,-0.0,14.0,2.0,14.0,0.0,1,0,3,29,14.0,2019-10-15
Paloma Don Julio añejo,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Don Julio,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Cadillac Margarita Don Julio,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Paloma Don Julio añejo,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Don Julio,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Cadillac Margarita Don Julio,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Paloma Don Julio añejo,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Don Julio,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Cadillac Margarita Don Julio,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Don Julio,1.0,0.0,12.0,0.0,-0.0,12.0,0.98,12.0,0.0,4,0,3,23,0.0,2019-10-18
Paloma Don Julio añejo,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Cadillac Margarita Don Julio,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Paloma Don Julio añejo,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Don Julio,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Cadillac Margarita Don Julio,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Mercadito Margarita Don Julio,4.0,0.0,56.0,0.0,-0.0,56.0,1.63,14.0,0.0,6,0,3,27,56.0,2019-10-20
Paloma Don Julio añejo,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Don Julio,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Cadillac Margarita Don Julio,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Paloma Don Julio añejo,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Don Julio,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Cadillac Margarita Don Julio,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Paloma Don Julio añejo,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Don Julio,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Cadillac Margarita Don Julio,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Paloma Don Julio añejo,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Don Julio,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Cadillac Margarita Don Julio,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Paloma Don Julio añejo,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Don Julio,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Mercadito Margarita Don Julio,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
