Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Dona Margarita,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Dona Margarita,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Dona Margarita,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Dona Margarita,1.0,0.0,12.0,0.0,-0.0,12.0,0.57,12.0,0.0,4,0,1,26,12.0,2019-10-4
Dona Margarita,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Dona Margarita,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Dona Margarita,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Dona Margarita,1.0,0.0,12.0,0.0,-0.0,12.0,2.48,12.0,0.0,1,0,2,29,12.0,2019-10-8
Dona Margarita,2.0,0.0,24.0,0.0,-0.0,24.0,0.45,12.0,0.0,2,0,2,25,24.0,2019-10-9
Dona Margarita,1.0,0.0,12.0,-5.04,-0.0,6.96,0.28,6.96,0.0,3,0,2,24,6.96,2019-10-10
Dona Margarita,2.0,0.0,24.0,0.0,-0.0,24.0,1.28,12.0,0.0,4,0,2,27,24.0,2019-10-11
Dona Margarita,3.0,0.0,36.0,0.0,-0.0,36.0,1.98,12.0,0.0,5,1,2,28,36.0,2019-10-12
Dona Margarita,2.0,0.0,24.0,0.0,-0.0,24.0,0.83,12.0,0.0,6,0,2,26,24.0,2019-10-13
Dona Margarita,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Dona Margarita,1.0,0.0,12.0,0.0,-0.0,12.0,1.72,12.0,0.0,1,0,3,29,12.0,2019-10-15
Dona Margarita,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Dona Margarita,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Dona Margarita,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Dona Margarita,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Dona Margarita,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Dona Margarita,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Dona Margarita,4.0,0.0,48.0,0.0,-0.0,48.0,4.48,12.0,0.0,1,0,4,32,48.0,2019-10-22
Dona Margarita,1.0,0.0,12.0,0.0,-0.0,12.0,9.86,12.0,0.0,2,0,4,32,12.0,2019-10-23
Dona Margarita,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Dona Margarita,1.0,0.0,12.0,0.0,-0.0,12.0,1.03,12.0,0.0,4,0,4,31,12.0,2019-10-25
Dona Margarita,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Dona Margarita,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Dona Margarita,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Dona Margarita,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Dona Margarita,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Dona Margarita,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Dona Margarita,2.0,0.0,24.0,0.0,-0.0,24.0,0.91,12.0,0.0,6,0,1,14,24.0,2019-12-1
Dona Margarita,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Dona Margarita,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Dona Margarita,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Dona Margarita,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Dona Margarita,1.0,0.0,12.0,0.0,-0.0,12.0,0.66,12.0,0.0,4,0,1,18,12.0,2019-12-6
Dona Margarita,0,0,0,0,0,0,0,0,0,5,1,1,16,0,2019-12-7
Dona Margarita,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
Dona Margarita,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
