Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Dos XX,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Dos XX,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Dos XX,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Dos XX,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Dos XX,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Dos XX,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Dos XX,1.0,0.0,8.0,-1.0,-0.0,7.0,2.29,7.0,0.0,0,0,1,32,0.0,2019-10-7
Dos XX,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Dos XX,2.0,0.0,10.0,0.0,-0.0,10.0,0.19,5.0,0.0,2,0,2,25,0.0,2019-10-9
Dos XX,1.0,0.0,5.0,0.0,-0.0,5.0,0.2,5.0,0.0,3,0,2,24,0.0,2019-10-10
Dos XX,2.0,0.0,10.0,0.0,-0.0,10.0,0.53,5.0,0.0,4,0,2,27,0.0,2019-10-11
Dos XX,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Dos XX,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Dos XX,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Dos XX,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Dos XX,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Dos XX,5.0,0.0,28.0,0.0,-0.0,28.0,1.13,5.6,0.0,3,0,3,25,0.0,2019-10-17
Dos XX,1.0,0.0,5.0,0.0,-0.0,5.0,0.41,5.0,0.0,4,0,3,23,0.0,2019-10-18
Dos XX,3.0,0.0,24.0,0.0,-0.0,24.0,1.57,8.0,0.0,5,1,3,26,0.0,2019-10-19
Dos XX,1.0,0.0,5.0,0.0,-0.0,5.0,0.15,5.0,0.0,6,0,3,27,0.0,2019-10-20
Dos XX,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Dos XX,1.0,0.0,5.0,-1.0,-0.0,4.0,0.37,4.0,0.0,1,0,4,32,0.0,2019-10-22
Dos XX,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Dos XX,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Dos XX,2.0,0.0,16.0,-2.0,-0.0,14.0,1.2,7.0,0.0,4,0,4,31,0.0,2019-10-25
Dos XX,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Dos XX,4.0,0.0,32.0,0.0,-0.0,32.0,0.92,8.0,0.0,6,0,4,22,0.0,2019-10-27
Dos XX,1.0,0.0,5.0,-1.0,-0.0,4.0,0.74,4.0,0.0,0,0,4,20,0.0,2019-10-28
Dos XX,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Dos XX,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Dos XX,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Dos XX,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2019-12-1
Dos XX,3.0,0.0,15.0,-3.0,-0.0,12.0,2.26,4.0,0.0,0,0,1,17,0.0,2019-12-2
Dos XX,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Dos XX,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Dos XX,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Dos XX,0,0,0,0,0,0,0,0,0,4,0,1,18,0,2019-12-6
Dos XX,2.0,0.0,16.0,0.0,-0.0,16.0,0.52,8.0,0.0,5,1,1,16,0.0,2019-12-7
Dos XX,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
Dos XX,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
Dos XX,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
Dos XX,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
Dos XX,4.0,0.0,20.0,0.0,-0.0,20.0,2.63,5.0,0.0,3,0,2,19,0.0,2019-12-12
Dos XX,4.0,0.0,20.0,-4.0,-0.0,16.0,1.35,4.0,0.0,4,0,2,22,0.0,2019-12-13
Dos XX,1.0,0.0,5.0,-0.5,-0.0,4.5,0.2,4.5,0.0,5,1,2,15,0.0,2019-12-14
Dos XX,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
Dos XX,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
Dos XX,0,0,0,0,0,0,0,0,0,1,0,3,12,0,2019-12-17
Dos XX,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Dos XX,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
Dos XX,4.0,0.0,20.0,0.0,-0.0,20.0,0.81,5.0,0.0,4,0,3,17,0.0,2019-12-20
Dos XX,2.0,0.0,10.0,0.0,-0.0,10.0,0.66,5.0,0.0,5,1,3,18,0.0,2019-12-21
Dos XX,4.0,0.0,23.0,0.0,-0.0,23.0,0.72,5.75,0.0,6,0,4,17,0.0,2019-12-22
Dos XX,7.0,0.0,50.0,-2.0,-0.0,48.0,4.33,6.86,0.0,0,0,4,9,0.0,2019-12-23
Dos XX,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Dos XX,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Dos XX,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Dos XX,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
Dos XX,1.0,0.0,5.0,0.0,-0.0,5.0,0.29,5.0,0.0,5,1,4,13,0.0,2019-12-28
Dos XX,1.0,0.0,5.0,0.0,-0.0,5.0,0.3,5.0,0.0,6,0,5,12,0.0,2019-12-29
Dos XX,3.0,0.0,21.0,-2.0,-0.0,19.0,2.76,6.33,0.0,0,0,5,11,0.0,2019-12-30
Dos XX,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
Dos XX,0,0,0,0,0,0,0,0,0,5,1,1,24,0,2020-2-1
Dos XX,0,0,0,0,0,0,0,0,0,6,0,1,21,0,2020-2-2
Dos XX,0,0,0,0,0,0,0,0,0,0,0,1,11,0,2020-2-3
Dos XX,0,0,0,0,0,0,0,0,0,1,0,1,9,0,2020-2-4
Dos XX,0,0,0,0,0,0,0,0,0,2,0,1,12,0,2020-2-5
Dos XX,0,0,0,0,0,0,0,0,0,3,0,1,14,0,2020-2-6
Dos XX,0,0,0,0,0,0,0,0,0,4,0,1,19,0,2020-2-7
Dos XX,1.0,0.0,5.0,0.0,-0.0,5.0,0.46,5.0,0.0,5,1,2,20,0.0,2020-2-8
Dos XX,0,0,0,0,0,0,0,0,0,6,0,2,10,0,2020-2-9
Dos XX,2.0,0.0,10.0,-1.0,-0.0,9.0,1.9,4.5,0.0,0,0,2,13,0.0,2020-2-10
Dos XX,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2020-2-11
Dos XX,1.0,0.0,8.0,0.0,-0.0,8.0,1.99,8.0,0.0,2,0,2,15,0.0,2020-2-12
Dos XX,0,0,0,0,0,0,0,0,0,3,0,2,17,0,2020-2-13
Dos XX,2.0,0.0,10.0,0.0,-0.0,10.0,0.19,5.0,0.0,4,0,2,18,0.0,2020-2-14
Dos XX,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2020-2-15
Dos XX,0,0,0,0,0,0,0,0,0,6,0,3,20,0,2020-2-16
Dos XX,0,0,0,0,0,0,0,0,0,0,0,3,19,0,2020-2-17
Dos XX,0,0,0,0,0,0,0,0,0,1,0,3,19,0,2020-2-18
Dos XX,0,0,0,0,0,0,0,0,0,2,0,3,19,0,2020-2-19
Dos XX,2.0,1.0,10.0,-2.0,-4.0,4.0,0.41,4.0,0.0,3,0,3,23,0.0,2020-2-20
Dos XX,0,0,0,0,0,0,0,0,0,4,0,3,24,0,2020-2-21
Dos XX,0,0,0,0,0,0,0,0,0,5,1,4,14,0,2020-2-22
Dos XX,6.0,0.0,36.0,0.0,-0.0,36.0,0.92,6.0,0.0,6,0,4,14,0.0,2020-2-23
Dos XX,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2020-2-24
Dos XX,0,0,0,0,0,0,0,0,0,1,0,4,25,0,2020-2-25
Dos XX,0,0,0,0,0,0,0,0,0,2,0,4,21,0,2020-2-26
Dos XX,0,0,0,0,0,0,0,0,0,3,0,4,24,0,2020-2-27
Dos XX,3.0,0.0,15.0,0.0,-0.0,15.0,0.54,5.0,0.0,4,0,4,23,0.0,2020-2-28
Dos XX,0,0,0,0,0,0,0,0,0,5,1,5,19,0,2020-2-29
Dos XX,0,0,0,0,0,0,0,0,0,2,0,1,16,0,2020-1-1
Dos XX,0,0,0,0,0,0,0,0,0,3,0,1,17,0,2020-1-2
Dos XX,0,0,0,0,0,0,0,0,0,4,0,1,19,0,2020-1-3
Dos XX,2.0,0.0,10.0,0.0,-0.0,10.0,0.83,5.0,0.0,5,1,1,18,0.0,2020-1-4
Dos XX,1.0,0.0,8.0,0.0,-0.0,8.0,0.39,8.0,0.0,6,0,1,17,0.0,2020-1-5
Dos XX,2.0,0.0,16.0,0.0,-0.0,16.0,1.14,8.0,0.0,0,0,1,19,0.0,2020-1-6
Dos XX,0,0,0,0,0,0,0,0,0,1,0,1,19,0,2020-1-7
Dos XX,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-1-8
