Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Flauta Appetizer ,1.0,0.0,7.95,0.0,-0.0,7.95,0.74,7.95,0.0,1,0,4,32,7.95,2019-10-22
Flauta Appetizer ,2.0,0.0,18.9,0.0,-0.0,18.9,1.8,9.45,0.0,1,0,5,21,18.9,2019-10-29
Flauta Appetizer ,1.0,0.0,7.95,0.0,-0.0,7.95,1.46,7.95,0.0,0,0,4,20,7.95,2019-10-28
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Flauta Appetizer ,3.0,0.0,23.85,-4.78,-0.0,19.07,6.51,6.36,0.0,2,0,3,29,19.07,2019-10-16
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Flauta Appetizer ,3.0,0.0,29.85,0.0,-0.0,29.85,2.57,9.95,0.0,4,0,4,31,29.85,2019-10-25
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Flauta Appetizer ,5.0,0.0,42.75,-10.46,-0.0,32.29,1.73,6.46,0.0,4,0,2,27,32.29,2019-10-11
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Flauta Appetizer ,1.0,0.0,7.95,0.0,-0.0,7.95,1.14,7.95,0.0,0,0,2,22,7.95,2019-10-14
Flauta Appetizer ,3.0,0.0,23.85,-7.73,-0.0,16.12,2.3,5.37,0.0,1,0,3,29,16.12,2019-10-15
Flauta Appetizer ,2.0,0.0,21.9,0.0,-0.0,21.9,0.64,10.95,0.0,6,0,3,27,21.9,2019-10-20
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Flauta Appetizer ,1.0,0.0,10.95,0.0,-0.0,10.95,2.06,10.95,0.0,2,0,5,18,10.95,2019-10-30
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Flauta Appetizer ,4.0,0.0,40.8,0.0,-0.0,40.8,1.42,10.2,0.0,6,0,2,26,40.8,2019-10-13
Flauta Appetizer ,3.0,0.0,29.85,-7.95,-0.0,21.9,1.21,7.3,0.0,5,1,2,28,21.9,2019-10-12
Flauta Appetizer ,4.0,0.0,34.8,0.0,-0.0,34.8,1.0,8.7,0.0,6,0,4,22,34.8,2019-10-27
Flauta Appetizer ,2.0,0.0,15.9,0.0,-0.0,15.9,0.89,7.95,0.0,5,1,4,30,15.9,2019-10-26
Flauta Appetizer ,1.0,0.0,10.95,0.0,-0.0,10.95,0.72,10.95,0.0,5,1,3,26,10.95,2019-10-19
Flauta Appetizer ,2.0,0.0,15.9,0.0,-0.0,15.9,1.3,7.95,0.0,4,0,3,23,15.9,2019-10-18
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
Flauta Appetizer ,1.0,0.0,7.95,0.0,-0.0,7.95,1.15,7.95,0.0,0,0,5,11,7.95,2019-12-30
Flauta Appetizer ,3.0,0.0,26.85,0.0,-0.0,26.85,3.53,8.95,0.0,3,0,2,19,26.85,2019-12-12
Flauta Appetizer ,3.0,0.0,23.85,0.0,-0.0,23.85,2.01,7.95,0.0,4,0,2,22,23.85,2019-12-13
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Flauta Appetizer ,2.0,0.0,18.9,0.0,-0.0,18.9,1.6,9.45,0.0,4,0,4,11,18.9,2019-12-27
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
Flauta Appetizer ,1.0,0.0,10.95,0.0,-0.0,10.95,0.49,10.95,0.0,5,1,2,15,10.95,2019-12-14
Flauta Appetizer ,3.0,0.0,23.85,0.0,-0.0,23.85,1.58,7.95,0.0,5,1,3,18,23.85,2019-12-21
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
Flauta Appetizer ,1.0,0.0,7.95,0.0,-0.0,7.95,1.5,7.95,0.0,0,0,1,17,7.95,2019-12-2
Flauta Appetizer ,2.0,0.0,15.9,0.0,-0.0,15.9,2.14,7.95,0.0,1,0,1,18,15.9,2019-12-3
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
Flauta Appetizer ,2.0,0.0,18.9,0.0,-0.0,18.9,0.63,9.45,0.0,0,0,2,16,18.9,2019-12-9
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
Flauta Appetizer ,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
