Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Grande Mixed Fajitas,1.0,0.0,24.95,0.0,-0.0,24.95,0.89,24.95,0.0,3,0,1,27,24.95,2019-10-3
Grande Mixed Fajitas,2.0,0.0,49.9,0.0,-0.0,49.9,2.36,24.95,0.0,4,0,1,26,49.9,2019-10-4
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Grande Mixed Fajitas,4.0,0.0,99.8,0.0,-0.0,99.8,5.49,24.95,0.0,5,1,2,28,99.8,2019-10-12
Grande Mixed Fajitas,1.0,0.0,24.95,0.0,-0.0,24.95,0.87,24.95,0.0,6,0,2,26,24.95,2019-10-13
Grande Mixed Fajitas,1.0,0.0,24.95,0.0,-0.0,24.95,3.56,24.95,0.0,0,0,2,22,24.95,2019-10-14
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Grande Mixed Fajitas,1.0,0.0,24.95,0.0,-0.0,24.95,1.0,24.95,0.0,3,0,3,25,24.95,2019-10-17
Grande Mixed Fajitas,1.0,0.0,24.95,0.0,-0.0,24.95,2.04,24.95,0.0,4,0,3,23,24.95,2019-10-18
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Grande Mixed Fajitas,3.0,0.0,74.85,0.0,-0.0,74.85,2.17,24.95,0.0,6,0,3,27,74.85,2019-10-20
Grande Mixed Fajitas,2.0,0.0,49.9,0.0,-0.0,49.9,7.07,24.95,0.0,0,0,3,31,49.9,2019-10-21
Grande Mixed Fajitas,2.0,0.0,49.9,0.0,-0.0,49.9,4.66,24.95,0.0,1,0,4,32,49.9,2019-10-22
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Grande Mixed Fajitas,3.0,0.0,74.85,-2.49,-0.0,72.36,2.07,24.12,0.0,6,0,4,22,72.36,2019-10-27
Grande Mixed Fajitas,3.0,0.0,74.85,-1.89,-0.0,72.96,13.43,24.32,0.0,0,0,4,20,72.96,2019-10-28
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Grande Mixed Fajitas,1.0,0.0,24.95,0.0,-0.0,24.95,3.15,24.95,0.0,3,0,5,20,24.95,2019-10-31
Grande Mixed Fajitas,2.0,0.0,49.9,0.0,-0.0,49.9,1.9,24.95,0.0,6,0,1,14,49.9,2019-12-1
Grande Mixed Fajitas,2.0,0.0,49.9,0.0,-0.0,49.9,9.39,24.95,0.0,0,0,1,17,49.9,2019-12-2
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Grande Mixed Fajitas,3.0,0.0,74.85,0.0,-0.0,74.85,4.09,24.95,0.0,4,0,1,18,74.85,2019-12-6
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,5,1,1,16,0,2019-12-7
Grande Mixed Fajitas,1.0,0.0,24.95,0.0,-0.0,24.95,0.68,24.95,0.0,6,0,2,15,24.95,2019-12-8
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
Grande Mixed Fajitas,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
Grande Mixed Fajitas,1.0,0.0,24.95,0.0,-0.0,24.95,3.28,24.95,0.0,3,0,2,19,24.95,2019-12-12
