Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Grilled Chicken Fajitas,4.0,0.0,67.8,0.0,-0.0,67.8,6.33,16.95,0.0,1,0,4,32,67.8,2019-10-22
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,3.12,16.95,0.0,0,0,4,20,16.95,2019-10-28
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,1.95,16.95,0.0,3,0,4,31,16.95,2019-10-24
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,2.42,16.95,0.0,1,0,3,29,16.95,2019-10-15
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,0.8,16.95,0.0,4,0,1,26,16.95,2019-10-4
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,2.16,16.95,0.0,5,1,1,30,16.95,2019-10-5
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Grilled Chicken Fajitas,2.0,0.0,33.9,0.0,-0.0,33.9,0.97,16.95,0.0,6,0,4,22,33.9,2019-10-27
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,0.95,16.95,0.0,5,1,4,30,16.95,2019-10-26
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,1.11,16.95,0.0,5,1,3,26,16.95,2019-10-19
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Grilled Chicken Fajitas,1.0,0.0,16.95,-16.95,-0.0,0.0,0.0,0.0,0.0,2,0,1,11,0.0,2019-12-4
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,1.44,16.95,0.0,4,0,4,11,16.95,2019-12-27
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,1.87,16.95,0.0,3,0,3,15,16.95,2019-12-19
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,0.76,16.95,0.0,5,1,2,15,16.95,2019-12-14
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,0.68,16.95,0.0,4,0,3,17,16.95,2019-12-20
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Grilled Chicken Fajitas,4.0,0.0,67.8,0.0,-0.0,67.8,1.84,16.95,0.0,6,0,2,15,67.8,2019-12-8
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
Grilled Chicken Fajitas,2.0,0.0,33.9,0.0,-0.0,33.9,5.51,16.95,0.0,1,0,2,16,33.9,2019-12-10
Grilled Chicken Fajitas,2.0,0.0,33.9,0.0,-0.0,33.9,1.85,16.95,0.0,4,0,1,18,33.9,2019-12-6
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,0.55,16.95,0.0,5,1,1,16,16.95,2019-12-7
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2019-12-1
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,6,0,4,17,0,2019-12-22
Grilled Chicken Fajitas,1.0,0.0,16.95,-16.95,-0.0,0.0,0.0,0.0,0.0,0,0,4,9,0.0,2019-12-23
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,5,1,4,13,0,2019-12-28
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,6,0,5,12,0,2019-12-29
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,4.41,16.95,0.0,0,0,3,15,16.95,2019-12-16
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,1,0,3,12,0,2019-12-17
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,2.74,16.95,0.0,1,0,1,9,16.95,2020-2-4
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,3.74,16.95,0.0,2,0,1,12,16.95,2020-2-5
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,2,0,3,19,0,2020-2-19
Grilled Chicken Fajitas,2.0,0.0,33.9,0.0,-0.0,33.9,1.81,16.95,0.0,1,0,3,19,33.9,2020-2-18
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,3,0,4,24,0,2020-2-27
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,2,0,4,21,0,2020-2-26
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,3,0,2,17,0,2020-2-13
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-2-12
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,3,0,3,23,0,2020-2-20
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,4,0,3,24,0,2020-2-21
Grilled Chicken Fajitas,5.0,0.0,84.75,0.0,-0.0,84.75,1.61,16.95,0.0,4,0,2,18,84.75,2020-2-14
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2020-2-15
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,0.48,16.95,0.0,6,0,2,10,16.95,2020-2-9
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,1.56,16.95,0.0,5,1,2,20,16.95,2020-2-8
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,0,0,1,11,0,2020-2-3
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,6,0,1,21,0,2020-2-2
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,0,0,2,13,0,2020-2-10
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2020-2-11
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2020-2-24
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,1,0,4,25,0,2020-2-25
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,4,0,1,19,0,2020-2-7
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,3,0,1,14,0,2020-2-6
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,5,1,1,24,0,2020-2-1
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,0,0,3,19,0,2020-2-17
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,0.57,16.95,0.0,6,0,3,20,16.95,2020-2-16
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,5,1,5,19,0,2020-2-29
Grilled Chicken Fajitas,2.0,0.0,33.9,0.0,-0.0,33.9,1.23,16.95,0.0,4,0,4,23,33.9,2020-2-28
Grilled Chicken Fajitas,3.0,0.0,50.85,0.0,-0.0,50.85,1.31,16.95,0.0,6,0,4,14,50.85,2020-2-23
Grilled Chicken Fajitas,2.0,0.0,33.9,0.0,-0.0,33.9,2.43,16.95,0.0,5,1,4,14,33.9,2020-2-22
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,4,0,1,19,0,2020-1-3
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,5.14,16.95,0.0,3,0,1,17,16.95,2020-1-2
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,3,0,2,11,0,2020-1-9
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-1-8
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,1.94,16.95,0.0,1,0,2,15,16.95,2020-1-14
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,2,0,3,15,0,2020-1-15
Grilled Chicken Fajitas,2.0,0.0,33.9,0.0,-0.0,33.9,2.17,16.95,0.0,0,0,3,17,33.9,2020-1-20
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,1,0,3,11,0,2020-1-21
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,2.85,16.95,0.0,0,0,2,13,16.95,2020-1-13
Grilled Chicken Fajitas,3.0,0.0,50.85,0.0,-0.0,50.85,1.73,16.95,0.0,6,0,2,15,50.85,2020-1-12
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,0,0,4,19,0,2020-1-27
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,6,0,4,19,0,2020-1-26
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,1.18,16.95,0.0,6,0,3,19,16.95,2020-1-19
Grilled Chicken Fajitas,2.0,0.0,33.9,0.0,-0.0,33.9,1.95,16.95,0.0,5,1,3,17,33.9,2020-1-18
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,1.4,16.95,0.0,5,1,1,18,16.95,2020-1-4
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,0.83,16.95,0.0,6,0,1,17,16.95,2020-1-5
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,3,0,5,18,0,2020-1-30
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,4,0,5,21,0,2020-1-31
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,3,0,4,19,0,2020-1-23
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,2,0,4,14,0,2020-1-22
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,2.76,16.95,0.0,2,0,5,17,16.95,2020-1-29
Grilled Chicken Fajitas,2.0,0.0,33.9,0.0,-0.0,33.9,2.91,16.95,0.0,1,0,4,21,33.9,2020-1-28
Grilled Chicken Fajitas,2.0,0.0,33.9,0.0,-0.0,33.9,2.17,16.95,0.0,4,0,3,12,33.9,2020-1-17
Grilled Chicken Fajitas,2.0,0.0,33.9,0.0,-0.0,33.9,5.4,16.95,0.0,3,0,3,14,33.9,2020-1-16
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,2,0,1,16,0,2020-1-1
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,1,0,1,19,0,2020-1-7
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,1.21,16.95,0.0,0,0,1,19,16.95,2020-1-6
Grilled Chicken Fajitas,2.0,0.0,33.9,0.0,-0.0,33.9,2.19,16.95,0.0,4,0,4,21,33.9,2020-1-24
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,1.41,16.95,0.0,5,1,4,22,16.95,2020-1-25
Grilled Chicken Fajitas,1.0,0.0,16.95,0.0,-0.0,16.95,0.63,16.95,0.0,4,0,2,15,16.95,2020-1-10
Grilled Chicken Fajitas,0,0,0,0,0,0,0,0,0,5,1,2,16,0,2020-1-11
