Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Grilled Steak Fajitas,1.0,0.0,17.95,-0.66,-0.0,17.29,0.82,17.29,0.0,4,0,1,26,17.29,2019-10-4
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Grilled Steak Fajitas,1.0,0.0,17.95,-17.95,-0.0,0.0,0.0,0.0,0.0,0,0,1,32,0.0,2019-10-7
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Grilled Steak Fajitas,1.0,0.0,17.95,0.0,-0.0,17.95,1.47,17.95,0.0,4,0,3,23,17.95,2019-10-18
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Grilled Steak Fajitas,1.0,0.0,17.95,0.0,-0.0,17.95,1.67,17.95,0.0,1,0,4,32,17.95,2019-10-22
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Grilled Steak Fajitas,1.0,0.0,17.95,0.0,-0.0,17.95,2.07,17.95,0.0,3,0,4,31,17.95,2019-10-24
Grilled Steak Fajitas,1.0,0.0,17.95,0.0,-0.0,17.95,1.54,17.95,0.0,4,0,4,31,17.95,2019-10-25
Grilled Steak Fajitas,1.0,0.0,17.95,0.0,-0.0,17.95,1.01,17.95,0.0,5,1,4,30,17.95,2019-10-26
Grilled Steak Fajitas,1.0,0.0,17.95,0.0,-0.0,17.95,0.51,17.95,0.0,6,0,4,22,17.95,2019-10-27
Grilled Steak Fajitas,2.0,0.0,35.9,0.0,-0.0,35.9,6.61,17.95,0.0,0,0,4,20,35.9,2019-10-28
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Grilled Steak Fajitas,1.0,0.0,17.95,0.0,-0.0,17.95,3.38,17.95,0.0,2,0,5,18,17.95,2019-10-30
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2019-12-1
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Grilled Steak Fajitas,1.0,0.0,17.95,0.0,-0.0,17.95,4.38,17.95,0.0,2,0,1,11,17.95,2019-12-4
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Grilled Steak Fajitas,0,0,0,0,0,0,0,0,0,4,0,1,18,0,2019-12-6
