Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Guacamole half order,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Guacamole half order,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Guacamole half order,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Guacamole half order,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Guacamole half order,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Guacamole half order,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Guacamole half order,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Guacamole half order,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Guacamole half order,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Guacamole half order,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Guacamole half order,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Guacamole half order,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Guacamole half order,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Guacamole half order,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Guacamole half order,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Guacamole half order,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Guacamole half order,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,0.49,6.0,0.0,4,0,3,23,6.0,2019-10-18
Guacamole half order,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,0.17,6.0,0.0,6,0,3,27,6.0,2019-10-20
Guacamole half order,3.0,0.0,18.0,0.0,-0.0,18.0,2.55,6.0,0.0,0,0,3,31,18.0,2019-10-21
Guacamole half order,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Guacamole half order,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Guacamole half order,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,0.52,6.0,0.0,4,0,4,31,6.0,2019-10-25
Guacamole half order,3.0,0.0,18.0,0.0,-0.0,18.0,1.01,6.0,0.0,5,1,4,30,18.0,2019-10-26
Guacamole half order,3.0,0.0,18.0,0.0,-0.0,18.0,0.51,6.0,0.0,6,0,4,22,18.0,2019-10-27
Guacamole half order,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,0.57,6.0,0.0,1,0,5,21,6.0,2019-10-29
Guacamole half order,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Guacamole half order,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Guacamole half order,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2019-12-1
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,1.13,6.0,0.0,0,0,1,17,6.0,2019-12-2
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,0.81,6.0,0.0,1,0,1,18,6.0,2019-12-3
Guacamole half order,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Guacamole half order,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Guacamole half order,0,0,0,0,0,0,0,0,0,4,0,1,18,0,2019-12-6
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,0.2,6.0,0.0,5,1,1,16,6.0,2019-12-7
Guacamole half order,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,0.2,6.0,0.0,0,0,2,16,6.0,2019-12-9
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,0.98,6.0,0.0,1,0,2,16,6.0,2019-12-10
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,0.7,6.0,0.0,2,0,2,18,6.0,2019-12-11
Guacamole half order,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Guacamole half order,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Guacamole half order,0,0,0,0,0,0,0,0,0,5,1,2,15,0,2019-12-14
Guacamole half order,3.0,0.0,18.0,0.0,-0.0,18.0,0.92,6.0,0.0,6,0,3,14,18.0,2019-12-15
Guacamole half order,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
Guacamole half order,2.0,0.0,12.0,0.0,-0.0,12.0,2.49,6.0,0.0,1,0,3,12,12.0,2019-12-17
Guacamole half order,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,0.66,6.0,0.0,3,0,3,15,6.0,2019-12-19
Guacamole half order,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
Guacamole half order,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,0.19,6.0,0.0,6,0,4,17,6.0,2019-12-22
Guacamole half order,0,0,0,0,0,0,0,0,0,0,0,4,9,0,2019-12-23
Guacamole half order,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Guacamole half order,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Guacamole half order,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Guacamole half order,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
Guacamole half order,2.0,0.0,12.0,0.0,-0.0,12.0,0.7,6.0,0.0,5,1,4,13,12.0,2019-12-28
Guacamole half order,0,0,0,0,0,0,0,0,0,6,0,5,12,0,2019-12-29
Guacamole half order,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Guacamole half order,2.0,0.0,12.0,0.0,-0.0,12.0,0.22,6.0,0.0,1,0,5,15,12.0,2019-12-31
Guacamole half order,2.0,0.0,12.0,-1.5,-0.0,10.5,0.53,5.25,0.0,5,1,1,24,10.5,2020-2-1
Guacamole half order,3.0,0.0,18.0,0.0,-0.0,18.0,0.87,6.0,0.0,6,0,1,21,18.0,2020-2-2
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,1.46,6.0,0.0,0,0,1,11,6.0,2020-2-3
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,0.97,6.0,0.0,1,0,1,9,6.0,2020-2-4
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,1.32,6.0,0.0,2,0,1,12,6.0,2020-2-5
Guacamole half order,0,0,0,0,0,0,0,0,0,3,0,1,14,0,2020-2-6
Guacamole half order,0,0,0,0,0,0,0,0,0,4,0,1,19,0,2020-2-7
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,0.55,6.0,0.0,5,1,2,20,6.0,2020-2-8
Guacamole half order,2.0,0.0,12.0,0.0,-0.0,12.0,0.34,6.0,0.0,6,0,2,10,12.0,2020-2-9
Guacamole half order,0,0,0,0,0,0,0,0,0,0,0,2,13,0,2020-2-10
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,0.99,6.0,0.0,1,0,2,16,6.0,2020-2-11
Guacamole half order,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-2-12
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,0.66,6.0,0.0,3,0,2,17,6.0,2020-2-13
Guacamole half order,3.0,0.0,18.0,0.0,-0.0,18.0,0.34,6.0,0.0,4,0,2,18,18.0,2020-2-14
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,0.37,6.0,0.0,5,1,3,18,6.0,2020-2-15
Guacamole half order,2.0,0.0,12.0,0.0,-0.0,12.0,0.4,6.0,0.0,6,0,3,20,12.0,2020-2-16
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,0.73,6.0,0.0,0,0,3,19,6.0,2020-2-17
Guacamole half order,0,0,0,0,0,0,0,0,0,1,0,3,19,0,2020-2-18
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,1.67,6.0,0.0,2,0,3,19,6.0,2020-2-19
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,0.61,6.0,0.0,3,0,3,23,6.0,2020-2-20
Guacamole half order,0,0,0,0,0,0,0,0,0,4,0,3,24,0,2020-2-21
Guacamole half order,3.0,0.0,18.0,0.0,-0.0,18.0,1.29,6.0,0.0,5,1,4,14,18.0,2020-2-22
