Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Guacamole,3.0,0.0,30.0,-2.4,-0.0,27.6,3.64,9.2,26.85,1,0,1,21,0.75,2019-10-1
Side Guacamole,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Guacamole half order,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Guacamole Large,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
HH Guacamole,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Guacamole Full Size,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Side Guacamole,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Guacamole half order,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Guacamole,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Guacamole Large,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
HH Guacamole,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Guacamole Full Size,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
HH Guacamole,2.0,0.0,15.9,-4.78,-0.0,11.12,1.04,5.56,0.0,1,0,4,32,11.12,2019-10-22
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.56,3.0,0.0,1,0,4,32,6.0,2019-10-22
Guacamole half order,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Guacamole,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Guacamole Large,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Guacamole Full Size,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Guacamole Full Size,2.0,0.0,21.9,0.0,-0.0,21.9,2.08,10.95,17.9,1,0,5,21,4.0,2019-10-29
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,0.57,6.0,0.0,1,0,5,21,6.0,2019-10-29
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.29,3.0,0.0,1,0,5,21,3.0,2019-10-29
Guacamole,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Guacamole Large,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
HH Guacamole,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
HH Guacamole,1.0,0.0,7.95,-2.81,-0.0,5.14,0.95,5.14,0.0,0,0,4,20,5.14,2019-10-28
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.55,3.0,0.0,0,0,4,20,3.0,2019-10-28
Guacamole half order,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Guacamole,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Guacamole Large,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Guacamole Full Size,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.12,3.0,0.0,3,0,3,25,3.0,2019-10-17
Guacamole half order,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Guacamole,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Guacamole Large,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
HH Guacamole,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Guacamole Full Size,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Guacamole Large,1.0,0.0,10.95,0.0,-0.0,10.95,3.74,10.95,0.0,2,0,3,29,10.95,2019-10-16
Side Guacamole,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Guacamole half order,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Guacamole,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
HH Guacamole,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Guacamole Full Size,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Guacamole Full Size,2.0,0.0,21.9,0.0,-0.0,21.9,2.52,10.95,17.9,3,0,4,31,4.0,2019-10-24
HH Guacamole,1.0,0.0,7.95,-2.39,-0.0,5.56,0.64,5.56,0.0,3,0,4,31,5.56,2019-10-24
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.35,3.0,0.0,3,0,4,31,3.0,2019-10-24
Guacamole half order,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Guacamole,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Guacamole Large,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Guacamole Full Size,2.0,0.0,21.9,0.0,-0.0,21.9,1.88,10.95,17.9,4,0,4,31,4.0,2019-10-25
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,0.52,6.0,0.0,4,0,4,31,6.0,2019-10-25
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.52,3.0,0.0,4,0,4,31,6.0,2019-10-25
Guacamole,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Guacamole Large,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
HH Guacamole,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Guacamole,1.0,0.0,11.0,-3.3,-0.0,7.7,0.31,7.7,8.95,3,0,2,24,-1.25,2019-10-10
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.12,3.0,0.0,3,0,2,24,3.0,2019-10-10
Guacamole half order,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Guacamole Large,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
HH Guacamole,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Guacamole Full Size,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Guacamole,2.0,0.0,21.9,0.0,-0.0,21.9,1.17,10.95,17.9,4,0,2,27,4.0,2019-10-11
Side Guacamole,6.0,0.0,18.0,0.0,-0.0,18.0,0.96,3.0,0.0,4,0,2,27,18.0,2019-10-11
Guacamole half order,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Guacamole Large,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
HH Guacamole,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Guacamole Full Size,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Guacamole,1.0,0.0,6.0,0.0,-0.0,6.0,1.96,6.0,8.95,0,0,1,32,-2.95,2019-10-7
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.98,3.0,0.0,0,0,1,32,3.0,2019-10-7
Guacamole half order,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Guacamole Large,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
HH Guacamole,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Guacamole Full Size,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Guacamole,1.0,0.0,12.0,0.0,-0.0,12.0,0.52,12.0,8.95,6,0,1,32,3.05,2019-10-6
Side Guacamole,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Guacamole half order,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Guacamole Large,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
HH Guacamole,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Guacamole Full Size,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Guacamole,1.0,0.0,10.95,-3.29,-0.0,7.66,1.09,7.66,8.95,0,0,2,22,-1.29,2019-10-14
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.86,3.0,0.0,0,0,2,22,6.0,2019-10-14
Guacamole half order,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Guacamole Large,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
HH Guacamole,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Guacamole Full Size,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Guacamole Full Size,1.0,0.0,10.95,0.0,-0.0,10.95,1.57,10.95,8.95,1,0,3,29,2.0,2019-10-15
Side Guacamole,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Guacamole half order,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Guacamole,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Guacamole Large,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
HH Guacamole,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Guacamole Full Size,2.0,0.0,21.9,0.0,-0.0,21.9,0.64,10.95,17.9,6,0,3,27,4.0,2019-10-20
Guacamole half order,1.0,0.0,6.0,0.0,-0.0,6.0,0.17,6.0,0.0,6,0,3,27,6.0,2019-10-20
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.09,3.0,0.0,6,0,3,27,3.0,2019-10-20
Guacamole,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Guacamole Large,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
HH Guacamole,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Guacamole half order,3.0,0.0,18.0,0.0,-0.0,18.0,2.55,6.0,0.0,0,0,3,31,18.0,2019-10-21
Guacamole Full Size,1.0,0.0,10.95,0.0,-0.0,10.95,1.55,10.95,8.95,0,0,3,31,2.0,2019-10-21
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.85,3.0,0.0,0,0,3,31,6.0,2019-10-21
Guacamole,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Guacamole Large,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
HH Guacamole,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Guacamole,1.0,0.0,12.0,-3.6,-0.0,8.4,0.3,8.4,8.95,3,0,1,27,-0.55,2019-10-3
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.11,3.0,0.0,3,0,1,27,3.0,2019-10-3
Guacamole half order,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Guacamole Large,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
HH Guacamole,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Guacamole Full Size,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Guacamole,2.0,0.0,23.99,-3.6,-0.0,20.39,2.42,10.2,17.9,2,0,1,27,2.49,2019-10-2
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.36,3.0,0.0,2,0,1,27,3.0,2019-10-2
Guacamole half order,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Guacamole Large,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
HH Guacamole,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Guacamole Full Size,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.11,3.0,0.0,2,0,2,25,6.0,2019-10-9
Guacamole,1.0,0.0,8.0,-2.4,-0.0,5.6,0.1,5.6,8.95,2,0,2,25,-3.35,2019-10-9
Guacamole half order,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Guacamole Large,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
HH Guacamole,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Guacamole Full Size,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.62,3.0,0.0,1,0,2,29,3.0,2019-10-8
Guacamole half order,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Guacamole,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Guacamole Large,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
HH Guacamole,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Guacamole Full Size,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Side Guacamole,6.0,0.0,18.0,-0.11,-0.0,17.89,0.85,2.98,0.0,4,0,1,26,17.89,2019-10-4
Guacamole,2.0,0.0,20.0,-2.4,-0.0,17.6,0.83,8.8,17.9,4,0,1,26,-0.3,2019-10-4
Guacamole half order,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Guacamole Large,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
HH Guacamole,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Guacamole Full Size,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Guacamole,3.0,0.0,24.0,0.0,-0.0,24.0,3.06,8.0,26.85,5,1,1,30,-2.85,2019-10-5
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.38,3.0,0.0,5,1,1,30,3.0,2019-10-5
Guacamole half order,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Guacamole Large,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
HH Guacamole,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Guacamole Full Size,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Guacamole Full Size,1.0,0.0,10.95,0.0,-0.0,10.95,2.06,10.95,8.95,2,0,5,18,2.0,2019-10-30
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,1.13,3.0,0.0,2,0,5,18,6.0,2019-10-30
Guacamole half order,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Guacamole,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Guacamole Large,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
HH Guacamole,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
HH Guacamole,1.0,0.0,7.95,-2.39,-0.0,5.56,0.7,5.56,0.0,3,0,5,20,5.56,2019-10-31
Side Guacamole,1.0,0.0,3.0,0.0,-0.0,3.0,0.38,3.0,0.0,3,0,5,20,3.0,2019-10-31
Guacamole half order,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Guacamole,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Guacamole Large,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Guacamole Full Size,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Guacamole,4.0,0.0,43.8,0.0,-0.0,43.8,1.52,10.95,35.8,6,0,2,26,8.0,2019-10-13
Side Guacamole,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Guacamole half order,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Guacamole Large,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
HH Guacamole,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Guacamole Full Size,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Guacamole,4.0,0.0,43.8,-10.95,-0.0,32.85,1.81,8.21,35.8,5,1,2,28,-2.95,2019-10-12
Side Guacamole,2.0,0.0,6.0,0.0,-0.0,6.0,0.33,3.0,0.0,5,1,2,28,6.0,2019-10-12
