Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Horchata,2.0,0.0,9.0,0.0,-0.0,9.0,1.19,4.5,0.0,1,0,1,21,9.0,2019-10-1
Horchata,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Horchata,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Horchata,3.0,0.0,13.5,0.0,-0.0,13.5,0.64,4.5,0.0,4,0,1,26,13.5,2019-10-4
Horchata,1.0,0.0,4.5,0.0,-0.0,4.5,0.57,4.5,0.0,5,1,1,30,4.5,2019-10-5
Horchata,2.0,0.0,9.0,0.0,-0.0,9.0,0.39,4.5,0.0,6,0,1,32,9.0,2019-10-6
Horchata,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Horchata,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Horchata,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Horchata,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Horchata,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Horchata,4.0,0.0,18.0,0.0,-0.0,18.0,0.99,4.5,0.0,5,1,2,28,18.0,2019-10-12
Horchata,4.0,0.0,18.0,0.0,-0.0,18.0,0.63,4.5,0.0,6,0,2,26,18.0,2019-10-13
Horchata,1.0,0.0,4.5,0.0,-0.0,4.5,0.64,4.5,0.0,0,0,2,22,4.5,2019-10-14
Horchata,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Horchata,1.0,0.0,4.5,0.0,-0.0,4.5,1.54,4.5,0.0,2,0,3,29,4.5,2019-10-16
Horchata,2.0,0.0,9.0,0.0,-0.0,9.0,0.36,4.5,0.0,3,0,3,25,9.0,2019-10-17
Horchata,3.0,0.0,13.5,0.0,-0.0,13.5,1.1,4.5,0.0,4,0,3,23,13.5,2019-10-18
Horchata,2.0,0.0,9.0,0.0,-0.0,9.0,0.59,4.5,0.0,5,1,3,26,9.0,2019-10-19
Horchata,2.0,0.0,9.0,0.0,-0.0,9.0,0.26,4.5,0.0,6,0,3,27,9.0,2019-10-20
Horchata,2.0,0.0,9.0,0.0,-0.0,9.0,1.27,4.5,0.0,0,0,3,31,9.0,2019-10-21
Horchata,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Horchata,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Horchata,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Horchata,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Horchata,1.0,0.0,4.5,0.0,-0.0,4.5,0.25,4.5,0.0,5,1,4,30,4.5,2019-10-26
Horchata,5.0,0.0,22.5,0.0,-0.0,22.5,0.64,4.5,0.0,6,0,4,22,22.5,2019-10-27
Horchata,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
