Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
House Cadillac Margarita,6.0,0.0,60.0,-12.0,-0.0,48.0,2.27,8.0,0.0,4,0,1,26,48.0,2019-10-4
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
House Cadillac Margarita,14.0,0.0,137.0,-28.0,-0.0,109.0,5.83,7.79,0.0,4,0,2,27,109.0,2019-10-11
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
House Cadillac Margarita,1.0,0.0,10.0,0.0,-0.0,10.0,3.41,10.0,0.0,2,0,3,29,10.0,2019-10-16
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
House Cadillac Margarita,7.0,0.0,70.0,-14.0,-0.0,56.0,4.82,8.0,0.0,4,0,4,31,56.0,2019-10-25
House Cadillac Margarita,2.0,0.0,22.0,0.0,-0.0,22.0,1.23,11.0,0.0,5,1,4,30,22.0,2019-10-26
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2019-12-1
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
House Cadillac Margarita,2.0,0.0,20.0,-4.0,-0.0,16.0,0.87,8.0,0.0,4,0,1,18,16.0,2019-12-6
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,5,1,1,16,0,2019-12-7
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
House Cadillac Margarita,2.0,0.0,19.0,-4.0,-0.0,15.0,1.27,7.5,0.0,4,0,2,22,15.0,2019-12-13
House Cadillac Margarita,1.0,0.0,10.0,-1.0,-0.0,9.0,0.4,9.0,0.0,5,1,2,15,9.0,2019-12-14
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,1,0,3,12,0,2019-12-17
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
House Cadillac Margarita,1.0,0.0,9.0,-2.0,-0.0,7.0,0.28,7.0,0.0,4,0,3,17,7.0,2019-12-20
House Cadillac Margarita,2.0,0.0,24.0,0.0,-0.0,24.0,1.59,12.0,0.0,5,1,3,18,24.0,2019-12-21
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,6,0,4,17,0,2019-12-22
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,0,0,4,9,0,2019-12-23
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
House Cadillac Margarita,2.0,0.0,20.0,-4.0,-0.0,16.0,1.36,8.0,0.0,4,0,4,11,16.0,2019-12-27
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,5,1,4,13,0,2019-12-28
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,6,0,5,12,0,2019-12-29
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
House Cadillac Margarita,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
