Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
House Margarita,2.0,0.0,14.0,-2.0,-0.0,12.0,1.58,6.0,0.0,1,0,1,21,12.0,2019-10-1
House Margarita,5.0,0.0,35.0,-8.0,-0.0,27.0,3.2,5.4,0.0,2,0,1,27,27.0,2019-10-2
House Margarita,5.0,0.0,35.0,-4.0,-0.0,31.0,1.1,6.2,0.0,3,0,1,27,31.0,2019-10-3
House Margarita,18.0,0.0,126.0,-16.0,-0.0,110.0,5.21,6.11,0.0,4,0,1,26,110.0,2019-10-4
House Margarita,11.0,0.0,77.0,0.0,-0.0,77.0,9.81,7.0,0.0,5,1,1,30,77.0,2019-10-5
House Margarita,5.0,0.0,38.0,0.0,-0.0,38.0,1.65,7.6,0.0,6,0,1,32,38.0,2019-10-6
House Margarita,4.0,0.0,28.0,-8.0,-0.0,20.0,6.53,5.0,0.0,0,0,1,32,20.0,2019-10-7
House Margarita,6.0,0.0,42.0,-12.0,-0.0,30.0,6.2,5.0,0.0,1,0,2,29,30.0,2019-10-8
House Margarita,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
House Margarita,9.0,0.0,63.0,-16.1,-0.0,46.9,1.89,5.21,0.0,3,0,2,24,46.9,2019-10-10
House Margarita,12.0,0.0,89.0,-6.0,-0.0,83.0,4.44,6.92,0.0,4,0,2,27,83.0,2019-10-11
House Margarita,12.0,0.0,89.0,0.0,-0.0,89.0,4.9,7.42,0.0,5,1,2,28,89.0,2019-10-12
House Margarita,14.0,0.0,114.0,0.0,-0.0,114.0,3.96,8.14,0.0,6,0,2,26,114.0,2019-10-13
House Margarita,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
House Margarita,8.0,0.0,56.0,-16.0,-0.0,40.0,5.72,5.0,0.0,1,0,3,29,40.0,2019-10-15
House Margarita,3.0,0.0,21.0,-6.0,-0.0,15.0,5.12,5.0,0.0,2,0,3,29,15.0,2019-10-16
House Margarita,7.0,0.0,60.0,-4.0,-0.0,56.0,2.25,8.0,0.0,3,0,3,25,56.0,2019-10-17
House Margarita,10.0,0.0,70.0,-4.0,-0.0,66.0,5.39,6.6,0.0,4,0,3,23,66.0,2019-10-18
House Margarita,9.0,0.0,76.0,0.0,-0.0,76.0,4.98,8.44,0.0,5,1,3,26,76.0,2019-10-19
House Margarita,15.0,0.0,109.0,0.0,-0.0,109.0,3.17,7.27,0.0,6,0,3,27,109.0,2019-10-20
House Margarita,3.0,0.0,36.0,0.0,-0.0,36.0,5.1,12.0,0.0,0,0,3,31,36.0,2019-10-21
House Margarita,14.0,0.0,98.0,-24.0,-0.0,74.0,6.9,5.29,0.0,1,0,4,32,74.0,2019-10-22
House Margarita,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
House Margarita,23.0,0.0,166.0,-38.0,-0.0,128.0,14.73,5.57,0.0,3,0,4,31,128.0,2019-10-24
House Margarita,17.0,0.0,137.0,-24.0,-0.0,113.0,9.72,6.65,0.0,4,0,4,31,113.0,2019-10-25
House Margarita,7.0,0.0,61.0,0.0,-0.0,61.0,3.42,8.71,0.0,5,1,4,30,61.0,2019-10-26
House Margarita,5.0,0.0,41.0,0.0,-0.0,41.0,1.17,8.2,0.0,6,0,4,22,41.0,2019-10-27
House Margarita,1.0,0.0,13.0,0.0,-0.0,13.0,2.39,13.0,0.0,0,0,4,20,13.0,2019-10-28
House Margarita,13.0,0.0,109.0,-14.59,-0.0,94.41,8.97,7.26,0.0,1,0,5,21,94.41,2019-10-29
House Margarita,9.0,0.0,69.0,-4.0,-0.0,65.0,12.24,7.22,0.0,2,0,5,18,65.0,2019-10-30
House Margarita,17.0,0.0,125.0,-30.0,-0.0,95.0,11.99,5.59,0.0,3,0,5,20,95.0,2019-10-31
House Margarita,2.0,0.0,14.0,0.0,-0.0,14.0,0.53,7.0,0.0,6,0,1,14,14.0,2019-12-1
House Margarita,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
House Margarita,7.0,0.0,49.0,-14.0,-0.0,35.0,4.71,5.0,0.0,1,0,1,18,35.0,2019-12-3
House Margarita,4.0,0.0,46.0,0.0,-0.0,46.0,11.22,11.5,0.0,2,0,1,11,46.0,2019-12-4
House Margarita,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
House Margarita,17.0,0.0,167.0,-23.9,-0.0,143.1,7.82,8.42,0.0,4,0,1,18,143.1,2019-12-6
House Margarita,9.0,0.0,63.0,-4.2,-0.0,58.8,1.91,6.53,0.0,5,1,1,16,58.8,2019-12-7
House Margarita,6.0,0.0,42.0,0.0,-0.0,42.0,1.14,7.0,0.0,6,0,2,15,42.0,2019-12-8
House Margarita,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
House Margarita,7.0,0.0,61.0,-14.75,-0.0,46.25,7.52,6.61,0.0,1,0,2,16,46.25,2019-12-10
House Margarita,14.0,0.0,130.0,-22.0,-0.0,108.0,12.66,7.71,0.0,2,0,2,18,108.0,2019-12-11
House Margarita,12.0,0.0,84.0,-8.0,-0.0,76.0,10.01,6.33,0.0,3,0,2,19,76.0,2019-12-12
House Margarita,11.0,0.0,77.0,-10.0,-0.0,67.0,5.65,6.09,0.0,4,0,2,22,67.0,2019-12-13
House Margarita,17.0,0.0,161.0,0.0,-0.0,161.0,7.19,9.47,0.0,5,1,2,15,161.0,2019-12-14
House Margarita,6.0,0.0,48.0,0.0,-0.0,48.0,2.45,8.0,0.0,6,0,3,14,48.0,2019-12-15
