Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Huevos Rancheros,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Huevos Rancheros,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Huevos Rancheros,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Huevos Rancheros,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Huevos Rancheros,1.0,0.0,9.95,-1.0,-0.0,8.95,1.14,8.95,0.0,5,1,1,30,8.95,2019-10-5
Huevos Rancheros,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Huevos Rancheros,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Huevos Rancheros,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Huevos Rancheros,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Huevos Rancheros,1.0,0.0,9.95,0.0,-0.0,9.95,0.4,9.95,0.0,3,0,2,24,9.95,2019-10-10
Huevos Rancheros,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Huevos Rancheros,3.0,0.0,29.85,0.0,-0.0,29.85,1.64,9.95,0.0,5,1,2,28,29.85,2019-10-12
Huevos Rancheros,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Huevos Rancheros,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Huevos Rancheros,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Huevos Rancheros,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Huevos Rancheros,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Huevos Rancheros,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Huevos Rancheros,1.0,0.0,9.95,0.0,-0.0,9.95,0.65,9.95,0.0,5,1,3,26,9.95,2019-10-19
Huevos Rancheros,1.0,0.0,9.95,0.0,-0.0,9.95,0.29,9.95,0.0,6,0,3,27,9.95,2019-10-20
Huevos Rancheros,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Huevos Rancheros,2.0,0.0,19.9,0.0,-0.0,19.9,1.86,9.95,0.0,1,0,4,32,19.9,2019-10-22
Huevos Rancheros,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Huevos Rancheros,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Huevos Rancheros,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
