Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
IPA Pale Ale,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
IPA Pale Ale,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
IPA Pale Ale,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
IPA Pale Ale,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
IPA Pale Ale,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
IPA Pale Ale,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
IPA Pale Ale,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
IPA Pale Ale,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
IPA Pale Ale,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
IPA Pale Ale,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
IPA Pale Ale,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
IPA Pale Ale,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
IPA Pale Ale,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
IPA Pale Ale,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
IPA Pale Ale,1.0,0.0,6.0,-2.0,-0.0,4.0,0.57,4.0,0.0,1,0,3,29,0.0,2019-10-15
IPA Pale Ale,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
IPA Pale Ale,1.0,0.0,6.0,0.0,-0.0,6.0,0.85,6.0,0.0,0,0,3,31,0.0,2019-10-21
IPA Pale Ale,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
IPA Pale Ale,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
IPA Pale Ale,1.0,0.0,6.0,0.0,-0.0,6.0,0.11,6.0,0.0,2,0,2,25,0.0,2019-10-9
IPA Pale Ale,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
IPA Pale Ale,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
IPA Pale Ale,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
IPA Pale Ale,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
IPA Pale Ale,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
IPA Pale Ale,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
IPA Pale Ale,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
