Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Item 1,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Item 1,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Item 1,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Item 1,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Item 1,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Item 1,1.0,0.0,1640.17,0.0,-0.0,1640.17,65.98,1640.17,0.0,3,0,3,25,0.0,2019-10-17
Item 1,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Item 1,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Item 1,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Item 1,1.0,0.0,1600.0,0.0,-0.0,1600.0,64.62,1600.0,0.0,3,0,2,24,0.0,2019-10-10
Item 1,1.0,0.0,328.5,0.0,-0.0,328.5,13.27,328.5,0.0,3,0,2,24,0.0,2019-10-10
Item 1,1.0,0.0,128.65,0.0,-0.0,128.65,5.2,128.65,0.0,3,0,2,24,0.0,2019-10-10
Item 1,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Item 1,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Item 1,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Item 1,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Item 1,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Item 1,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Item 1,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Item 1,1.0,0.0,1287.34,0.0,-0.0,1287.34,45.76,1287.34,0.0,3,0,1,27,0.0,2019-10-3
Item 1,1.0,0.0,712.0,0.0,-0.0,712.0,25.31,712.0,0.0,3,0,1,27,0.0,2019-10-3
Item 1,1.0,0.0,258.6,0.0,-0.0,258.6,30.65,258.6,0.0,2,0,1,27,0.0,2019-10-2
Item 1,1.0,0.0,5043.32,0.0,-0.0,5043.32,93.96,5043.32,0.0,2,0,2,25,0.0,2019-10-9
Item 1,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Item 1,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Item 1,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Item 1,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Item 1,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Item 1,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Item 1,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Item 1,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Item 1,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Item 1,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Item 1,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Item 1,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Item 1,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Item 1,1.0,0.0,3047.69,0.0,-0.0,3047.69,54.68,3047.69,0.0,1,0,5,15,0.0,2019-12-31
Item 1,1.0,0.0,1242.21,0.0,-0.0,1242.21,22.29,1242.21,0.0,1,0,5,15,0.0,2019-12-31
Item 1,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Item 1,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Item 1,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Item 1,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Item 1,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
Item 1,1.0,0.0,391.74,0.0,-0.0,391.74,55.87,391.74,0.0,2,0,3,12,0.0,2019-12-18
