Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Jamaica,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Jamaica,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Jamaica,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Jamaica,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Jamaica,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Jamaica,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Jamaica,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Jamaica,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Jamaica,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Jamaica,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Jamaica,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Jamaica,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Jamaica,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Jamaica,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Jamaica,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Jamaica,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Jamaica,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Jamaica,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Jamaica,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Jamaica,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Jamaica,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Jamaica,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Jamaica,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Jamaica,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Jamaica,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Jamaica,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Jamaica,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Jamaica,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Jamaica,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Jamaica,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Jamaica,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Jamaica,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Jamaica,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Jamaica,1.0,0.0,4.5,0.0,-0.0,4.5,0.08,4.5,0.0,1,0,5,15,4.5,2019-12-31
Jamaica,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Jamaica,2.0,0.0,9.0,0.0,-0.0,9.0,1.18,4.5,0.0,3,0,2,19,9.0,2019-12-12
Jamaica,1.0,0.0,4.5,0.0,-0.0,4.5,0.38,4.5,0.0,4,0,2,22,4.5,2019-12-13
Jamaica,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Jamaica,2.0,0.0,9.0,0.0,-0.0,9.0,0.76,4.5,0.0,4,0,4,11,9.0,2019-12-27
Jamaica,1.0,0.0,4.5,0.0,-0.0,4.5,0.64,4.5,0.0,2,0,3,12,4.5,2019-12-18
Jamaica,2.0,0.0,9.0,0.0,-0.0,9.0,0.99,4.5,0.0,3,0,3,15,9.0,2019-12-19
Jamaica,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
Jamaica,3.0,0.0,13.5,0.0,-0.0,13.5,0.6,4.5,0.0,5,1,2,15,13.5,2019-12-14
Jamaica,2.0,0.0,9.0,0.0,-0.0,9.0,0.6,4.5,0.0,5,1,3,18,9.0,2019-12-21
Jamaica,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
Jamaica,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Jamaica,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Jamaica,2.0,0.0,9.0,0.0,-0.0,9.0,0.24,4.5,0.0,6,0,2,15,9.0,2019-12-8
Jamaica,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
Jamaica,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Jamaica,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Jamaica,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
Jamaica,1.0,0.0,4.5,0.0,-0.0,4.5,0.73,4.5,0.0,1,0,2,16,4.5,2019-12-10
Jamaica,3.0,0.0,13.5,-0.45,-0.0,13.05,0.71,4.35,0.0,4,0,1,18,13.05,2019-12-6
Jamaica,2.0,0.0,9.0,0.0,-0.0,9.0,0.29,4.5,0.0,5,1,1,16,9.0,2019-12-7
Jamaica,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2019-12-1
Jamaica,0,0,0,0,0,0,0,0,0,6,0,4,17,0,2019-12-22
Jamaica,2.0,0.0,9.0,0.0,-0.0,9.0,0.81,4.5,0.0,0,0,4,9,9.0,2019-12-23
Jamaica,0,0,0,0,0,0,0,0,0,5,1,4,13,0,2019-12-28
Jamaica,0,0,0,0,0,0,0,0,0,6,0,5,12,0,2019-12-29
Jamaica,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
Jamaica,1.0,0.0,4.5,0.0,-0.0,4.5,0.93,4.5,0.0,1,0,3,12,4.5,2019-12-17
Jamaica,0,0,0,0,0,0,0,0,0,1,0,1,9,0,2020-2-4
Jamaica,0,0,0,0,0,0,0,0,0,2,0,1,12,0,2020-2-5
Jamaica,1.0,0.0,4.5,0.0,-0.0,4.5,1.25,4.5,0.0,2,0,3,19,4.5,2020-2-19
