Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Juices,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Juices,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Juices,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Juices,1.0,0.0,3.5,0.0,-0.0,3.5,0.33,3.5,0.0,1,0,5,21,3.5,2019-10-29
Juices,2.0,0.0,7.0,0.0,-0.0,7.0,1.29,3.5,0.0,0,0,4,20,7.0,2019-10-28
Juices,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Juices,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Juices,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Juices,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Juices,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Juices,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Juices,1.0,0.0,3.5,-3.5,-0.0,0.0,0.0,0.0,0.0,0,0,1,32,0.0,2019-10-7
Juices,1.0,0.0,3.5,0.0,-0.0,3.5,0.15,3.5,0.0,6,0,1,32,3.5,2019-10-6
Juices,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Juices,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Juices,3.0,0.0,10.5,0.0,-0.0,10.5,0.31,3.5,0.0,6,0,3,27,10.5,2019-10-20
Juices,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Juices,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Juices,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Juices,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Juices,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Juices,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Juices,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Juices,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Juices,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Juices,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Juices,3.0,0.0,10.5,0.0,-0.0,10.5,0.58,3.5,0.0,5,1,2,28,10.5,2019-10-12
Juices,2.0,0.0,7.0,-3.5,-0.0,3.5,0.1,1.75,0.0,6,0,4,22,3.5,2019-10-27
Juices,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Juices,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Juices,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Juices,1.0,0.0,3.5,0.0,-0.0,3.5,1.02,3.5,0.0,3,0,1,15,3.5,2019-12-5
Juices,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Juices,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
Juices,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Juices,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Juices,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Juices,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Juices,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
Juices,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Juices,1.0,0.0,3.5,0.0,-0.0,3.5,0.39,3.5,0.0,3,0,3,15,3.5,2019-12-19
Juices,1.0,0.0,3.5,0.0,-0.0,3.5,0.18,3.5,0.0,6,0,3,14,3.5,2019-12-15
Juices,3.0,0.0,10.5,0.0,-0.0,10.5,0.47,3.5,0.0,5,1,2,15,10.5,2019-12-14
Juices,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
Juices,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
Juices,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Juices,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Juices,1.0,0.0,3.5,0.0,-0.0,3.5,0.1,3.5,0.0,6,0,2,15,3.5,2019-12-8
Juices,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
Juices,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Juices,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Juices,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
Juices,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
Juices,0,0,0,0,0,0,0,0,0,4,0,1,18,0,2019-12-6
Juices,0,0,0,0,0,0,0,0,0,5,1,1,16,0,2019-12-7
Juices,1.0,0.0,3.5,0.0,-0.0,3.5,0.13,3.5,0.0,6,0,1,14,3.5,2019-12-1
Juices,0,0,0,0,0,0,0,0,0,6,0,4,17,0,2019-12-22
Juices,0,0,0,0,0,0,0,0,0,0,0,4,9,0,2019-12-23
Juices,2.0,0.0,7.0,0.0,-0.0,7.0,0.41,3.5,0.0,5,1,4,13,7.0,2019-12-28
Juices,4.0,0.0,14.0,0.0,-0.0,14.0,0.85,3.5,0.0,6,0,5,12,14.0,2019-12-29
Juices,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
Juices,0,0,0,0,0,0,0,0,0,1,0,3,12,0,2019-12-17
Juices,1.0,0.0,3.5,0.0,-0.0,3.5,0.56,3.5,0.0,1,0,1,9,3.5,2020-2-4
Juices,0,0,0,0,0,0,0,0,0,2,0,1,12,0,2020-2-5
Juices,0,0,0,0,0,0,0,0,0,2,0,3,19,0,2020-2-19
Juices,2.0,0.0,7.0,0.0,-0.0,7.0,0.37,3.5,0.0,1,0,3,19,7.0,2020-2-18
Juices,0,0,0,0,0,0,0,0,0,3,0,4,24,0,2020-2-27
Juices,0,0,0,0,0,0,0,0,0,2,0,4,21,0,2020-2-26
Juices,0,0,0,0,0,0,0,0,0,3,0,2,17,0,2020-2-13
Juices,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-2-12
Juices,0,0,0,0,0,0,0,0,0,3,0,3,23,0,2020-2-20
Juices,0,0,0,0,0,0,0,0,0,4,0,3,24,0,2020-2-21
