Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
KIDS Cheeseburger,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
KIDS Cheeseburger,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
KIDS Cheeseburger,1.0,0.0,8.95,0.0,-0.0,8.95,0.84,8.95,0.0,1,0,4,32,8.95,2019-10-22
KIDS Cheeseburger,3.0,0.0,26.85,0.0,-0.0,26.85,2.55,8.95,0.0,1,0,5,21,26.85,2019-10-29
KIDS Cheeseburger,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
KIDS Cheeseburger,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
KIDS Cheeseburger,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
KIDS Cheeseburger,1.0,0.0,8.95,0.0,-0.0,8.95,1.03,8.95,0.0,3,0,4,31,8.95,2019-10-24
KIDS Cheeseburger,2.0,0.0,17.9,0.0,-0.0,17.9,1.54,8.95,0.0,4,0,4,31,17.9,2019-10-25
KIDS Cheeseburger,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
KIDS Cheeseburger,1.0,0.0,8.95,0.0,-0.0,8.95,0.48,8.95,0.0,4,0,2,27,8.95,2019-10-11
KIDS Cheeseburger,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
KIDS Cheeseburger,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
KIDS Cheeseburger,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
KIDS Cheeseburger,1.0,0.0,8.95,0.0,-0.0,8.95,1.28,8.95,0.0,1,0,3,29,8.95,2019-10-15
KIDS Cheeseburger,1.0,0.0,8.95,0.0,-0.0,8.95,0.26,8.95,0.0,6,0,3,27,8.95,2019-10-20
KIDS Cheeseburger,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
KIDS Cheeseburger,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
KIDS Cheeseburger,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
KIDS Cheeseburger,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
KIDS Cheeseburger,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
KIDS Cheeseburger,1.0,0.0,8.95,0.0,-0.0,8.95,0.42,8.95,0.0,4,0,1,26,8.95,2019-10-4
KIDS Cheeseburger,1.0,0.0,8.95,0.0,-0.0,8.95,1.14,8.95,0.0,5,1,1,30,8.95,2019-10-5
