Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Kids Drink Only,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Kids Drink Only,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Kids Drink Only,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Kids Drink Only,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Kids Drink Only,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Kids Drink Only,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Kids Drink Only,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Kids Drink Only,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Kids Drink Only,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
Kids Drink Only,1.0,0.0,2.0,0.0,-0.0,2.0,0.08,2.0,0.0,3,0,2,24,2.0,2019-10-10
Kids Drink Only,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Kids Drink Only,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Kids Drink Only,6.0,0.0,12.0,0.0,-0.0,12.0,0.52,2.0,0.0,6,0,1,32,12.0,2019-10-6
Kids Drink Only,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Kids Drink Only,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Kids Drink Only,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
Kids Drink Only,1.0,0.0,2.0,0.0,-0.0,2.0,0.28,2.0,0.0,0,0,3,31,2.0,2019-10-21
Kids Drink Only,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Kids Drink Only,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
