Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
MONDAY Margarita,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
MONDAY Margarita,2.0,0.0,14.0,0.0,-0.0,14.0,11.5,7.0,0.0,2,0,4,32,14.0,2019-10-23
MONDAY Margarita,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
MONDAY Margarita,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
MONDAY Margarita,13.0,0.0,91.0,-52.68,-0.0,38.32,7.05,2.95,0.0,0,0,4,20,38.32,2019-10-28
MONDAY Margarita,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
MONDAY Margarita,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
MONDAY Margarita,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
MONDAY Margarita,0,0,0,0,0,0,0,0,0,4,0,4,31,0,2019-10-25
MONDAY Margarita,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
MONDAY Margarita,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
MONDAY Margarita,11.0,0.0,77.0,-44.0,-0.0,33.0,10.77,3.0,0.0,0,0,1,32,33.0,2019-10-7
MONDAY Margarita,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
MONDAY Margarita,38.0,0.0,266.0,-152.0,-0.0,114.0,16.28,3.0,0.0,0,0,2,22,114.0,2019-10-14
MONDAY Margarita,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
MONDAY Margarita,0,0,0,0,0,0,0,0,0,6,0,3,27,0,2019-10-20
MONDAY Margarita,19.0,0.0,133.0,-76.0,-0.0,57.0,8.07,3.0,0.0,0,0,3,31,57.0,2019-10-21
MONDAY Margarita,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
MONDAY Margarita,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
MONDAY Margarita,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
MONDAY Margarita,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
MONDAY Margarita,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
MONDAY Margarita,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
MONDAY Margarita,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
MONDAY Margarita,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
MONDAY Margarita,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
MONDAY Margarita,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
MONDAY Margarita,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
MONDAY Margarita,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
MONDAY Margarita,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
MONDAY Margarita,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
MONDAY Margarita,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
MONDAY Margarita,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
MONDAY Margarita,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
MONDAY Margarita,27.0,0.0,189.0,-108.0,-0.0,81.0,11.75,3.0,0.0,0,0,5,11,81.0,2019-12-30
MONDAY Margarita,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
MONDAY Margarita,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
MONDAY Margarita,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
MONDAY Margarita,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
MONDAY Margarita,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
MONDAY Margarita,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
MONDAY Margarita,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
MONDAY Margarita,0,0,0,0,0,0,0,0,0,5,1,2,15,0,2019-12-14
MONDAY Margarita,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
MONDAY Margarita,0,0,0,0,0,0,0,0,0,4,0,3,17,0,2019-12-20
MONDAY Margarita,11.0,0.0,77.0,-45.34,-0.0,31.66,5.96,2.88,0.0,0,0,1,17,31.66,2019-12-2
MONDAY Margarita,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
MONDAY Margarita,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
MONDAY Margarita,17.0,0.0,119.0,-68.0,-0.0,51.0,1.69,3.0,0.0,0,0,2,16,51.0,2019-12-9
MONDAY Margarita,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
MONDAY Margarita,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
MONDAY Margarita,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
MONDAY Margarita,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
MONDAY Margarita,0,0,0,0,0,0,0,0,0,4,0,1,18,0,2019-12-6
MONDAY Margarita,0,0,0,0,0,0,0,0,0,5,1,1,16,0,2019-12-7
MONDAY Margarita,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2019-12-1
MONDAY Margarita,0,0,0,0,0,0,0,0,0,6,0,4,17,0,2019-12-22
MONDAY Margarita,25.0,0.0,175.0,-101.8,-0.0,73.2,6.6,2.93,0.0,0,0,4,9,73.2,2019-12-23
MONDAY Margarita,0,0,0,0,0,0,0,0,0,5,1,4,13,0,2019-12-28
MONDAY Margarita,0,0,0,0,0,0,0,0,0,6,0,5,12,0,2019-12-29
MONDAY Margarita,18.0,0.0,126.0,-72.0,-0.0,54.0,14.06,3.0,0.0,0,0,3,15,54.0,2019-12-16
MONDAY Margarita,0,0,0,0,0,0,0,0,0,1,0,3,12,0,2019-12-17
MONDAY Margarita,0,0,0,0,0,0,0,0,0,1,0,1,9,0,2020-2-4
MONDAY Margarita,0,0,0,0,0,0,0,0,0,2,0,1,12,0,2020-2-5
MONDAY Margarita,0,0,0,0,0,0,0,0,0,2,0,3,19,0,2020-2-19
MONDAY Margarita,0,0,0,0,0,0,0,0,0,1,0,3,19,0,2020-2-18
MONDAY Margarita,0,0,0,0,0,0,0,0,0,3,0,4,24,0,2020-2-27
MONDAY Margarita,0,0,0,0,0,0,0,0,0,2,0,4,21,0,2020-2-26
MONDAY Margarita,0,0,0,0,0,0,0,0,0,3,0,2,17,0,2020-2-13
MONDAY Margarita,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-2-12
MONDAY Margarita,0,0,0,0,0,0,0,0,0,3,0,3,23,0,2020-2-20
MONDAY Margarita,0,0,0,0,0,0,0,0,0,4,0,3,24,0,2020-2-21
MONDAY Margarita,0,0,0,0,0,0,0,0,0,4,0,2,18,0,2020-2-14
MONDAY Margarita,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2020-2-15
MONDAY Margarita,0,0,0,0,0,0,0,0,0,6,0,2,10,0,2020-2-9
MONDAY Margarita,0,0,0,0,0,0,0,0,0,5,1,2,20,0,2020-2-8
MONDAY Margarita,7.0,0.0,49.0,-28.0,-0.0,21.0,5.1,3.0,0.0,0,0,1,11,21.0,2020-2-3
MONDAY Margarita,0,0,0,0,0,0,0,0,0,6,0,1,21,0,2020-2-2
MONDAY Margarita,7.0,0.0,49.0,-28.0,-0.0,21.0,4.43,3.0,0.0,0,0,2,13,21.0,2020-2-10
MONDAY Margarita,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2020-2-11
MONDAY Margarita,8.0,0.0,56.0,-32.0,-0.0,24.0,4.46,3.0,0.0,0,0,4,20,24.0,2020-2-24
MONDAY Margarita,0,0,0,0,0,0,0,0,0,1,0,4,25,0,2020-2-25
MONDAY Margarita,0,0,0,0,0,0,0,0,0,4,0,1,19,0,2020-2-7
MONDAY Margarita,0,0,0,0,0,0,0,0,0,3,0,1,14,0,2020-2-6
MONDAY Margarita,0,0,0,0,0,0,0,0,0,5,1,1,24,0,2020-2-1
MONDAY Margarita,21.0,0.0,147.0,-84.0,-0.0,63.0,7.72,3.0,0.0,0,0,3,19,63.0,2020-2-17
MONDAY Margarita,0,0,0,0,0,0,0,0,0,6,0,3,20,0,2020-2-16
MONDAY Margarita,0,0,0,0,0,0,0,0,0,5,1,5,19,0,2020-2-29
MONDAY Margarita,0,0,0,0,0,0,0,0,0,4,0,4,23,0,2020-2-28
MONDAY Margarita,0,0,0,0,0,0,0,0,0,6,0,4,14,0,2020-2-23
MONDAY Margarita,0,0,0,0,0,0,0,0,0,5,1,4,14,0,2020-2-22
MONDAY Margarita,0,0,0,0,0,0,0,0,0,4,0,1,19,0,2020-1-3
MONDAY Margarita,0,0,0,0,0,0,0,0,0,3,0,1,17,0,2020-1-2
MONDAY Margarita,0,0,0,0,0,0,0,0,0,3,0,2,11,0,2020-1-9
MONDAY Margarita,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-1-8
MONDAY Margarita,0,0,0,0,0,0,0,0,0,1,0,2,15,0,2020-1-14
MONDAY Margarita,0,0,0,0,0,0,0,0,0,2,0,3,15,0,2020-1-15
MONDAY Margarita,9.0,0.0,63.0,-36.0,-0.0,27.0,1.73,3.0,0.0,0,0,3,17,27.0,2020-1-20
MONDAY Margarita,0,0,0,0,0,0,0,0,0,1,0,3,11,0,2020-1-21
MONDAY Margarita,9.0,0.0,63.0,-36.0,-0.0,27.0,4.54,3.0,0.0,0,0,2,13,27.0,2020-1-13
MONDAY Margarita,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2020-1-12
MONDAY Margarita,10.0,0.0,70.0,-40.0,-0.0,30.0,7.57,3.0,0.0,0,0,4,19,30.0,2020-1-27
MONDAY Margarita,0,0,0,0,0,0,0,0,0,6,0,4,19,0,2020-1-26
MONDAY Margarita,0,0,0,0,0,0,0,0,0,6,0,3,19,0,2020-1-19
MONDAY Margarita,0,0,0,0,0,0,0,0,0,5,1,3,17,0,2020-1-18
MONDAY Margarita,0,0,0,0,0,0,0,0,0,5,1,1,18,0,2020-1-4
MONDAY Margarita,0,0,0,0,0,0,0,0,0,6,0,1,17,0,2020-1-5
MONDAY Margarita,0,0,0,0,0,0,0,0,0,3,0,5,18,0,2020-1-30
MONDAY Margarita,0,0,0,0,0,0,0,0,0,4,0,5,21,0,2020-1-31
MONDAY Margarita,0,0,0,0,0,0,0,0,0,3,0,4,19,0,2020-1-23
MONDAY Margarita,0,0,0,0,0,0,0,0,0,2,0,4,14,0,2020-1-22
MONDAY Margarita,0,0,0,0,0,0,0,0,0,2,0,5,17,0,2020-1-29
MONDAY Margarita,0,0,0,0,0,0,0,0,0,1,0,4,21,0,2020-1-28
MONDAY Margarita,0,0,0,0,0,0,0,0,0,4,0,3,12,0,2020-1-17
MONDAY Margarita,0,0,0,0,0,0,0,0,0,3,0,3,14,0,2020-1-16
MONDAY Margarita,0,0,0,0,0,0,0,0,0,2,0,1,16,0,2020-1-1
MONDAY Margarita,0,0,0,0,0,0,0,0,0,1,0,1,19,0,2020-1-7
MONDAY Margarita,15.0,0.0,105.0,-60.0,-0.0,45.0,3.2,3.0,0.0,0,0,1,19,45.0,2020-1-6
MONDAY Margarita,0,0,0,0,0,0,0,0,0,4,0,4,21,0,2020-1-24
MONDAY Margarita,0,0,0,0,0,0,0,0,0,5,1,4,22,0,2020-1-25
MONDAY Margarita,0,0,0,0,0,0,0,0,0,4,0,2,15,0,2020-1-10
MONDAY Margarita,0,0,0,0,0,0,0,0,0,5,1,2,16,0,2020-1-11
