Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Machaca Con Huevo,1.0,0.0,10.95,0.0,-0.0,10.95,1.44,10.95,0.0,1,0,1,21,10.95,2019-10-1
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Machaca Con Huevo,1.0,0.0,10.95,0.0,-0.0,10.95,0.44,10.95,0.0,3,0,3,25,10.95,2019-10-17
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,3,0,4,31,0,2019-10-24
Machaca Con Huevo,1.0,0.0,10.95,0.0,-0.0,10.95,0.94,10.95,0.0,4,0,4,31,10.95,2019-10-25
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,6,0,1,32,0,2019-10-6
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Machaca Con Huevo,1.0,0.0,10.95,0.0,-0.0,10.95,1.57,10.95,0.0,1,0,3,29,10.95,2019-10-15
Machaca Con Huevo,1.0,0.0,10.95,0.0,-0.0,10.95,0.32,10.95,0.0,6,0,3,27,10.95,2019-10-20
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,3,0,1,27,0,2019-10-3
Machaca Con Huevo,1.0,0.0,10.95,0.0,-0.0,10.95,1.3,10.95,0.0,2,0,1,27,10.95,2019-10-2
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,5,1,1,30,0,2019-10-5
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,2,0,5,18,0,2019-10-30
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,6,0,2,26,0,2019-10-13
Machaca Con Huevo,3.0,0.0,32.85,0.0,-0.0,32.85,1.81,10.95,0.0,5,1,2,28,32.85,2019-10-12
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,6,0,4,22,0,2019-10-27
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,5,1,4,30,0,2019-10-26
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,4,0,3,23,0,2019-10-18
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,3,0,1,15,0,2019-12-5
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,1,0,5,15,0,2019-12-31
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,3,0,2,19,0,2019-12-12
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,4,0,4,11,0,2019-12-27
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,3,0,3,15,0,2019-12-19
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,6,0,3,14,0,2019-12-15
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,5,1,2,15,0,2019-12-14
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,5,1,3,18,0,2019-12-21
Machaca Con Huevo,1.0,0.0,10.95,0.0,-0.0,10.95,0.44,10.95,0.0,4,0,3,17,10.95,2019-12-20
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,1,0,1,18,0,2019-12-3
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,6,0,2,15,0,2019-12-8
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,0,0,2,16,0,2019-12-9
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,2,0,4,9,0,2019-12-25
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,1,0,4,12,0,2019-12-24
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,2,0,2,18,0,2019-12-11
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2019-12-10
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,4,0,1,18,0,2019-12-6
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,5,1,1,16,0,2019-12-7
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,6,0,1,14,0,2019-12-1
Machaca Con Huevo,1.0,0.0,10.95,0.0,-0.0,10.95,0.34,10.95,0.0,6,0,4,17,10.95,2019-12-22
Machaca Con Huevo,1.0,0.0,10.95,0.0,-0.0,10.95,0.99,10.95,0.0,0,0,4,9,10.95,2019-12-23
Machaca Con Huevo,1.0,0.0,10.95,0.0,-0.0,10.95,0.63,10.95,0.0,5,1,4,13,10.95,2019-12-28
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,6,0,5,12,0,2019-12-29
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,0,0,3,15,0,2019-12-16
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,1,0,3,12,0,2019-12-17
Machaca Con Huevo,1.0,0.0,10.95,0.0,-0.0,10.95,1.77,10.95,0.0,1,0,1,9,10.95,2020-2-4
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,2,0,1,12,0,2020-2-5
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,2,0,3,19,0,2020-2-19
Machaca Con Huevo,1.0,0.0,10.95,0.0,-0.0,10.95,0.58,10.95,0.0,1,0,3,19,10.95,2020-2-18
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,3,0,4,24,0,2020-2-27
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,2,0,4,21,0,2020-2-26
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,3,0,2,17,0,2020-2-13
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-2-12
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,3,0,3,23,0,2020-2-20
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,4,0,3,24,0,2020-2-21
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,4,0,2,18,0,2020-2-14
Machaca Con Huevo,1.0,0.0,10.95,0.0,-0.0,10.95,0.68,10.95,0.0,5,1,3,18,10.95,2020-2-15
Machaca Con Huevo,2.0,0.0,21.9,0.0,-0.0,21.9,0.62,10.95,0.0,6,0,2,10,21.9,2020-2-9
Machaca Con Huevo,1.0,0.0,10.95,0.0,-0.0,10.95,1.01,10.95,0.0,5,1,2,20,10.95,2020-2-8
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,0,0,1,11,0,2020-2-3
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,6,0,1,21,0,2020-2-2
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,0,0,2,13,0,2020-2-10
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,1,0,2,16,0,2020-2-11
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2020-2-24
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,1,0,4,25,0,2020-2-25
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,4,0,1,19,0,2020-2-7
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,3,0,1,14,0,2020-2-6
Machaca Con Huevo,1.0,0.0,10.95,-2.74,-0.0,8.21,0.41,8.21,0.0,5,1,1,24,8.21,2020-2-1
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,0,0,3,19,0,2020-2-17
Machaca Con Huevo,2.0,0.0,21.9,0.0,-0.0,21.9,0.74,10.95,0.0,6,0,3,20,21.9,2020-2-16
Machaca Con Huevo,2.0,0.0,21.9,0.0,-0.0,21.9,1.61,10.95,0.0,5,1,5,19,21.9,2020-2-29
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,4,0,4,23,0,2020-2-28
Machaca Con Huevo,1.0,0.0,10.95,0.0,-0.0,10.95,0.28,10.95,0.0,6,0,4,14,10.95,2020-2-23
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,5,1,4,14,0,2020-2-22
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,4,0,1,19,0,2020-1-3
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,3,0,1,17,0,2020-1-2
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,3,0,2,11,0,2020-1-9
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,2,0,2,15,0,2020-1-8
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,1,0,2,15,0,2020-1-14
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,2,0,3,15,0,2020-1-15
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,0,0,3,17,0,2020-1-20
Machaca Con Huevo,0,0,0,0,0,0,0,0,0,1,0,3,11,0,2020-1-21
