Name,Sold,Refunded,Gross Sales,Discounts,Refunds,Net Sales,% Net Sales,Avg Net Sales,COGS,Day of Week,Weekend,Week of Month,Day Temperature Cel,Gross Profit,Date
Menudo Soup,0,0,0,0,0,0,0,0,0,1,0,1,21,0,2019-10-1
Menudo Soup,0,0,0,0,0,0,0,0,0,2,0,4,32,0,2019-10-23
Menudo Soup,0,0,0,0,0,0,0,0,0,1,0,4,32,0,2019-10-22
Menudo Soup,0,0,0,0,0,0,0,0,0,1,0,5,21,0,2019-10-29
Menudo Soup,0,0,0,0,0,0,0,0,0,0,0,4,20,0,2019-10-28
Menudo Soup,0,0,0,0,0,0,0,0,0,3,0,3,25,0,2019-10-17
Menudo Soup,0,0,0,0,0,0,0,0,0,2,0,3,29,0,2019-10-16
Menudo Soup,1.0,0.0,11.95,-11.95,-0.0,0.0,0.0,0.0,0.0,3,0,4,31,0.0,2019-10-24
Menudo Soup,3.0,0.0,35.85,0.0,-0.0,35.85,3.08,11.95,0.0,4,0,4,31,35.85,2019-10-25
Menudo Soup,0,0,0,0,0,0,0,0,0,3,0,2,24,0,2019-10-10
Menudo Soup,0,0,0,0,0,0,0,0,0,4,0,2,27,0,2019-10-11
Menudo Soup,0,0,0,0,0,0,0,0,0,0,0,1,32,0,2019-10-7
Menudo Soup,2.0,0.0,23.9,0.0,-0.0,23.9,1.04,11.95,0.0,6,0,1,32,23.9,2019-10-6
Menudo Soup,0,0,0,0,0,0,0,0,0,0,0,2,22,0,2019-10-14
Menudo Soup,0,0,0,0,0,0,0,0,0,1,0,3,29,0,2019-10-15
Menudo Soup,7.0,0.0,83.65,-5.0,-0.0,78.65,2.29,11.24,0.0,6,0,3,27,78.65,2019-10-20
Menudo Soup,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2019-10-21
Menudo Soup,2.0,0.0,23.9,0.0,-0.0,23.9,0.85,11.95,0.0,3,0,1,27,23.9,2019-10-3
Menudo Soup,0,0,0,0,0,0,0,0,0,2,0,1,27,0,2019-10-2
Menudo Soup,0,0,0,0,0,0,0,0,0,2,0,2,25,0,2019-10-9
Menudo Soup,0,0,0,0,0,0,0,0,0,1,0,2,29,0,2019-10-8
Menudo Soup,0,0,0,0,0,0,0,0,0,4,0,1,26,0,2019-10-4
Menudo Soup,1.0,0.0,11.95,0.0,-0.0,11.95,1.52,11.95,0.0,5,1,1,30,11.95,2019-10-5
Menudo Soup,1.0,0.0,11.95,-11.95,-0.0,0.0,0.0,0.0,0.0,2,0,5,18,0.0,2019-10-30
Menudo Soup,0,0,0,0,0,0,0,0,0,3,0,5,20,0,2019-10-31
Menudo Soup,2.0,0.0,23.9,0.0,-0.0,23.9,0.83,11.95,0.0,6,0,2,26,23.9,2019-10-13
Menudo Soup,0,0,0,0,0,0,0,0,0,5,1,2,28,0,2019-10-12
Menudo Soup,17.0,0.0,203.15,0.0,-0.0,203.15,5.81,11.95,0.0,6,0,4,22,203.15,2019-10-27
Menudo Soup,3.0,0.0,35.85,0.0,-0.0,35.85,2.01,11.95,0.0,5,1,4,30,35.85,2019-10-26
Menudo Soup,0,0,0,0,0,0,0,0,0,5,1,3,26,0,2019-10-19
Menudo Soup,2.0,0.0,23.9,0.0,-0.0,23.9,1.95,11.95,0.0,4,0,3,23,23.9,2019-10-18
Menudo Soup,1.0,0.0,11.95,0.0,-0.0,11.95,3.47,11.95,0.0,3,0,1,15,11.95,2019-12-5
Menudo Soup,0,0,0,0,0,0,0,0,0,2,0,1,11,0,2019-12-4
Menudo Soup,3.0,0.0,35.85,0.0,-0.0,35.85,0.64,11.95,0.0,1,0,5,15,35.85,2019-12-31
Menudo Soup,0,0,0,0,0,0,0,0,0,0,0,5,11,0,2019-12-30
Menudo Soup,1.0,0.0,11.95,0.0,-0.0,11.95,1.57,11.95,0.0,3,0,2,19,11.95,2019-12-12
Menudo Soup,0,0,0,0,0,0,0,0,0,4,0,2,22,0,2019-12-13
Menudo Soup,0,0,0,0,0,0,0,0,0,3,0,4,6,0,2019-12-26
Menudo Soup,2.0,0.0,23.9,-23.9,-0.0,0.0,0.0,0.0,0.0,4,0,4,11,0.0,2019-12-27
Menudo Soup,0,0,0,0,0,0,0,0,0,2,0,3,12,0,2019-12-18
Menudo Soup,6.0,0.0,71.7,-2.99,-0.0,68.71,7.59,11.45,0.0,3,0,3,15,68.71,2019-12-19
Menudo Soup,2.0,0.0,23.9,-2.99,-0.0,20.91,1.07,10.46,0.0,6,0,3,14,20.91,2019-12-15
Menudo Soup,7.0,0.0,83.65,0.0,-0.0,83.65,3.73,11.95,0.0,5,1,2,15,83.65,2019-12-14
Menudo Soup,4.0,0.0,47.8,-11.95,-0.0,35.85,2.38,8.96,0.0,5,1,3,18,35.85,2019-12-21
Menudo Soup,1.0,0.0,11.95,0.0,-0.0,11.95,0.48,11.95,0.0,4,0,3,17,11.95,2019-12-20
Menudo Soup,0,0,0,0,0,0,0,0,0,0,0,1,17,0,2019-12-2
